冊	ʦʰɤʔ˥$
册	ʦʰɤʔ˥$
再	ʦe˦˦˥$
冒	mɔ˨˨˧$
写	ɕia˦˦˥$
军	ʨyeŋ˦˦˥$
农	noŋ˨˨˧$
冠	kuœ̃˦˦˥$
冤	yœ̃˦˦˥$
冪	meʔ˨$
冬	toŋ˦˦˥$
冯	voŋ˨˨˧$
冰	peŋ˦˦˥$
冲	ʦʰoŋ˦˦˥$
决	ʨyeʔ˥$
况	huɔ̃˦˦˥$
冶	ɦia˨˨˧$
冷	lã˨˨˧$
冻	toŋ˦˦˥$
净	ʥieŋ˨˨˧$
准	ʦeŋ˦˦˥$
凉	liã˨˨˧$
凋	tiɔ˦˦˥$
凍	toŋ˦˦˥$
减	kæ̃˦˦˥$
凑	ʦʰɤ˦˦˥$
凝	ȵieŋ˨˨˧$
几	ʨi˦˦˥$
凡	væ̃˨˨˧$
凤	voŋ˨˨˧$
凫	vu˨˨˧$
凭	beŋ˨˨˧$
凯	kʰe˦˦˥$
凰	ɦuɔ̃˨˨˧$
凱	kʰe˦˦˥$
凳	təŋ˦˦˥$
凶	ɕioŋ˦˦˥$
凹	ɔ˦˦˥$
出	ʦʰeʔ˥$
函	ɦẽ˨˨˧$
凿	zoʔ˨$
刀	tɔ˦˦˥$
刁	tiɔ˦˦˥$
刃	zeŋ˨˨˧$
分	feŋ˦˦˥$
切	ʨʰieʔ˥$
刈	ȵi˨˨˧$
刊	kʰæ̃˦˦˥$
刍	ʦʰʮ˦˦˥$
刑	ɦieŋ˨˨˧$
划	uo˦˦˥$
列	leʔ˨$
刘	liɤ˨˨˧$
则	ʦɤʔ˥$
刚	kɔ̃˦˦˥$
创	ʦʰɔ̃˦˦˥$
初	ʦʰʮ˦˦˥$
删	sæ̃˦˦˥$
判	pʰœ̃˦˦˥$
別	beʔ˨$
刨	bɔ˨˨˧$
利	li˨˨˧$
刪	sæ̃˦˦˥$
别	beʔ˨$
刭	ʨieŋ˦˦˥$
刮	kuaʔ˥$
到	tɔ˦˦˥$
刷	seʔ˥$
