勳	ɕin˦$
勵	li˩˩˧$
勸	ʨʰiɛ˧˧˦$
勹	pɔ˦$
勺	zoʔ˨$
勻	ɦin˨$
勼	ʨiɤ˦$
勾	kɤ˦$
勿	vəʔ˨$
匀	ɦin˨$
包	pɔ˦$
匆	ʦʰõ˦$
匈	ɕiõ˦$
匍	bu˨$
匏	bɔ˨$
匐	voʔ˨$
匕	pi˥˧$
化	ho˧˧˦$
北	poʔ˥$
匙	zɿ˨$
匚	fɔ̃˦$
匝	ʦaʔ˥$
匠	ziã˩˩˧$
匡	kʰuɔ̃˦$
匣	ɦaʔ˨$
匦	kui˥˧$
匪	fi˥˧$
匭	kui˥˧$
匮	gui˩˩˧$
匯	ɦui˩˩˧$
匱	gui˩˩˧$
匹	pʰiəʔ˥$
区	ʨʰi˦$
医	i˦$
匽	iɛ˥˧$
匾	piɛ˥˧$
匿	ȵiəʔ˨$
區	ʨʰi˦$
十	so˥˧$
千	ʦʰiɛ˦$
卅	saʔ˥$
升	sən˦$
午	vu˦˨$
卉	hui˧˧˦$
半	pɛ˧˧˦$
卍	væ˩˩˧$
华	ɦo˨$
协	jaʔ˨$
卐	væ˩˩˧$
卑	pi˦$
卒	ʦəʔ˥$
卓	ʦoʔ˥$
協	jaʔ˨$
单	tæ˦$
卖	ma˩˩˧$
南	nɛ˨$
博	poʔ˥$
卜	poʔ˥$
卞	biɛ˩˩˧$
卟	poʔ˥$
占	ʦɛ˦$
卡	kʰa˥˧$
卢	lu˨$
卤	ʔlu˥˧$
卦	ko˧˧˦$
卧	u˧˧˦$
卫	ɦui˩˩˧$
卬	ɦɔ̃˨$
卮	ʦɿ˦$
卯	ʔmɔ˥˧$
印	in˧˧˦$
危	ɦui˨$
即	ʦiəʔ˥$
却	ʨʰiaʔ˥$
卵	ʔlɛ˥˧$
卷	ʨiɛ˧˧˦$
卸	sia˧˧˦$
卹	siəʔ˥$
卻	ʨʰiaʔ˥$
卿	ʨʰin˦$
厂	hɛ˧˧˦$
厄	əʔ˥$
厅	tʰin˦$
历	liəʔ˨$
厉	li˩˩˧$
压	aʔ˥$
厌	iɛ˧˧˦$
厍	so˧˧˦$
厕	ʦʰɿ˧˧˦$
厘	li˨$
厙	so˧˧˦$
厚	ɤ˥˧$
厝	ʦʰoʔ˥$
原	ȵiɛ˨$
厢	siã˦$
厣	iɛ˥˧$
厥	ʨiəʔ˥$
厦	sa˧˧˦$
厨	zɿ˨$
厩	ʨiɤ˧˧˦$
厭	iɛ˧˧˦$
厮	sɿ˦$
厲	li˩˩˧$
厴	iɛ˥˧$
去	ʨʰi˧˧˦$
厾	toʔ˥$
县	jɛ˩˩˧$
叁	sæ˦$
参	sən˦$
參	sən˦$
叇	dɛ˩˩˧$
又	iɤ˧˧˦$
叉	ʦʰa˦$
及	ʥiəʔ˨$
友	iɤ˥˧$
双	sɔ̃˦$
反	fæ˥˧$
发	faʔ˥$
叔	soʔ˥$
取	ʦʰi˥˧$
受	zɤ˦˨$
变	piɛ˧˧˦$
叙	zi˦˨$
叛	bɛ˩˩˧$
叟	sɤ˥˧$
叠	diaʔ˨$
叡	zi˩˩˧$
叢	zõ˨$
口	kʰɤ˥˧$
古	ku˥˧$
句	ʨi˧˧˦$
另	lin˩˩˧$
叨	tɔ˦$
叩	kʰɤ˧˧˦$
只	ʦəʔ˥$
叫	kɔ˧˧˦$
召	zɔ˩˩˧$
叭	ba˨$
叮	tin˦$
可	kʰo˥˧$
台	dɛ˨$
叱	ʦʰəʔ˥$
史	sɿ˥˧$
右	iɤ˧˧˦$
叵	pʰu˦$
叶	jaʔ˨$
号	ɦɔ˩˩˧$
司	sɿ˦$
叹	tʰæ˧˧˦$
叻	ləʔ˨$
叼	tiɔ˦$
叽	ʨi˦$
吁	ɕi˦$
吃	ʨiəʔ˥$
各	koʔ˥$
吆	iɔ˦$
合	ɦəʔ˨$
吉	ʨiəʔ˥$
吊	tiɔ˧˧˦$
吋	ʦʰən˧˧˦$
同	dõ˨$
名	min˨$
后	ɤ˥˧$
吏	li˩˩˧$
吐	tʰu˧˧˦$
向	ɕiã˧˧˦$
吒	ʦoʔ˥$
吓	haʔ˥$
吕	ʔli˥˧$
吖	o˦$
吗	ʔma˦$
吘	ʔŋ˥˧$
吚	i˦$
君	ʨin˦$
吝	lin˩˩˧$
吞	tʰən˦$
吟	ȵin˨$
吠	vi˩˩˧$
吡	biəʔ˨$
否	fɤ˥˧$
吧	po˦$
吨	tən˦$
吩	fən˦$
含	ɦɛ˨$
听	tʰin˦$
吭	ɦɔ̃˨$
吮	zən˦˨$
启	ʨʰi˥˧$
吱	ʦɿ˦$
吳	ŋ˨$
吴	ŋ˨$
吵	ʦʰɔ˥˧$
吶	nəʔ˨$
吸	ɕiəʔ˥$
吹	ʦʰɿ˦$
吻	ʔvən˥˧$
吼	hɤ˥˧$
吾	o˥˧$
呀	iaʔ˥$
呂	ʔli˥˧$
呃	əʔ˥$
呆	ɦɛ˨$
呈	zən˨$
呉	ɦu˨$
告	kɔ˧˧˦$
呋	fu˦$
呐	nəʔ˨$
呒	ʔm˦$
呓	ȵi˩˩˧$
呔	tɛ˦$
呕	ɤ˥˧$
呗	ba˩˩˧$
员	jɛ˨$
呛	ʦʰiã˧˧˦$
呜	u˦$
呢	ʔnɛ˦$
呦	iɤ˦$
周	ʦɤ˦$
呫	tʰiaʔ˥$
呱	ko˦$
味	mi˩˩˧$
呵	ho˦$
呶	nɔ˨$
呷	haʔ˥$
呸	pʰi˦$
呻	sən˦$
呼	fu˦$
命	min˩˩˧$
咀	ʦi˧˧˦$
咂	ʦaʔ˥$
咄	təʔ˥$
咆	bɔ˨$
咋	ʦo˧˧˦$
和	ɦu˨$
咍	hɛ˦$
咎	ʥiɤ˦˨$
咏	iõ˥˧$
咐	fu˧˧˦$
咒	ʦɤ˧˧˦$
咔	kʰa˥˧$
咕	ku˦$
咖	ka˧˧˦$
咙	lõ˨$
咚	dõ˨$
咛	ȵin˨$
咜	du˨$
咝	sɿ˦$
咤	ʦo˧˧˦$
咦	ɦi˨$
咧	liəʔ˨$
咨	ʦɿ˦$
咩	ʔmɛ˦$
咪	ʔmi˦$
咫	ʦɿ˥˧$
咬	ɔ˥˧$
咭	ʨiəʔ˥$
咯	koʔ˥$
咳	kʰəʔ˥$
咸	jɛ˨$
咻	ɕiɤ˦$
咽	iəʔ˥$
咾	ʔlɔ˥˧$
咿	i˦$
哀	ɛ˦$
品	pʰin˥˧$
哂	sən˥˧$
哄	hõ˦$
哆	tu˦$
哇	ua˦$
哈	ha˦$
哉	ʦɛ˦$
响	ɕiã˥˧$
哎	ɛ˦$
哐	kʰuɔ̃˦$
哑	ia˦$
哒	daʔ˨$
哕	hui˧˧˦$
哗	hua˦$
哙	kʰua˧˧˦$
哚	tu˥˧$
哞	mɤ˨$
哟	iaʔ˥$
員	jɛ˨$
哥	kɤ˦$
哦	u˦$
哨	sɔ˧˧˦$
哩	laʔ˨$
哪	nu˨$
哭	kʰoʔ˥$
哮	ɕiɔ˧˧˦$
哰	ʔlɔ˥˧$
哱	pəʔ˥$
哲	ʦəʔ˥$
哴	lɔ̃˨$
哺	bu˩˩˧$
哼	hã˦$
哽	kã˥˧$
哿	ku˥˧$
唁	ȵiɛ˩˩˧$
唃	koʔ˥$
唄	ba˩˩˧$
唆	su˦$
唇	zən˨$
唉	ɛ˦$
唏	ɕi˥˧$
唐	dɔ̃˨$
唑	zu˦˨$
唔	ŋ˨$
唛	maʔ˨$
唠	ʔlɔ˦$
唢	so˥˧$
唤	huɛ˧˧˦$
唧	ʦiəʔ˥$
唬	fu˥˧$
售	zɤ˩˩˧$
唯	vi˨$
唰	səʔ˥$
唱	ʦʰɔ̃˧˧˦$
唳	li˩˩˧$
唵	ɛ˦$
唶	ʦəʔ˥$
唷	ioʔ˥$
唸	ȵiæ˩˩˧$
唻	ʔlɛ˦$
唾	tʰu˧˧˦$
啀	a˦$
啃	kʰən˥˧$
