㔢	ʨiæʔ˥$
删	sᴇ˧˧˦$
判	pʰø˥$
刨	bau˧˥$
利	li˧˥$
刪	sᴇ˧˧˦$
别	biæʔ˨˧$
刬	ʦʰᴇ˧˨˥$
刭	kiŋ˧˨˥$
刮	kuæʔ˥$
到	tau˥$
刳	kʰu˧˧˦$
制	ʦɿ˥$
刷	ɕyəʔ˥$
券	kʰyø˥$
刺	ʦʰɿ˥$
刻	kʰæʔ˥$
刽	kuei˥$
剁	to˥$
剂	ʑi˧˥$
剃	tʰi˥$
則	ʦøʔ˥$
削	ɕiaʔ˥$
前	ʑiᴇ˨˨˦$
剐	kua˧˨˥$
剑	kiᴇ˥$
剔	tʰiɪʔ˥$
剖	pʰɤu˧˨˥$
剗	ʦʰᴇ˧˨˥$
剛	kɔ̃˧˧˦$
剜	uᴇ˧˧˦$
剝	pɔʔ˥$
剡	ʑiᴇ˨˩˦$
剥	pɔʔ˥$
剧	gyʔ˨˧$
剩	ʥiŋ˧˥$
剪	ʨiᴇ˧˨˥$
剮	kua˧˨˥$
副	fu˥$
割	kæʔ˥$
創	ʦʰɔ̃˥$
剽	pʰiau˥$
剿	ʨiau˧˨˥$
劃	ɦuaʔ˨˧$
劇	gyʔ˨˧$
劈	pʰiɪʔ˥$
劉	liɤu˨˨˦$
劊	kuei˥$
劍	kiᴇ˥$
劐	huaʔ˥$
劑	ʑi˧˥$
劓	ni˧˥$
力	liɪʔ˨˧$
劝	kʰyø˥$
办	bᴇ˧˥$
功	koŋ˧˧˦$
加	kia˧˧˦$
务	ɦu˧˥$
劣	liæʔ˨˧$
动	doŋ˨˩˦$
助	zu˧˥$
努	nu˨˩˦$
劫	kiæʔ˥$
劬	gy˨˨˦$
励	li˧˥$
劲	kiŋ˥$
劳	lau˨˨˦$
势	ɕi˥$
勁	kiŋ˥$
勃	buəʔ˨˧$
勇	yoŋ˧˨˥$
勉	miᴇ˨˩˦$
勋	hyoŋ˧˧˦$
勍	giŋ˨˨˦$
勒	løʔ˨˧$
動	doŋ˨˩˦$
勘	kʰᴇ˧˧˦$
務	ɦu˧˥$
勛	hyoŋ˧˧˦$
