㔢	ʨiæʔ˥$
拜	pa˥$
拟	ni˨˩˦$
拢	loŋ˨˩˦$
拣	kᴇ˧˨˥$
拥	yoŋ˧˧˦$
拦	lᴇ˨˨˦$
拧	niŋ˨˩˦$
拨	puəʔ˥$
择	ʣaʔ˨˧$
括	kuəʔ˥$
拮	kiæʔ˥$
拯	ʨiŋ˧˨˥$
拱	koŋ˧˨˥$
拳	gyø˨˨˦$
拴	ɕyø˧˧˦$
拷	kʰau˧˨˥$
拼	pʰiŋ˧˧˦$
拽	ɦiæʔ˨˧$
拾	ʑiɪʔ˨˧$
拿	na˨˨˦$
持	ʣɿ˨˨˦$
挂	kua˥$
指	ʦɿ˧˨˥$
挈	kʰiæʔ˥$
按	ᴇ˥$
挑	tʰiau˧˨˥$
挖	uæʔ˥$
挜	o˥$
挟	ɦiæʔ˨˧$
挠	nau˨˨˦$
挡	tɔ̃˧˨˥$
挣	ʦaŋ˥$
挤	ʨi˧˨˥$
挥	huei˧˧˦$
挨	a˧˧˦$
挪	na˨˨˦$
挫	zo˨˩˦$
挲	so˧˧˦$
挺	diŋ˨˩˦$
挼	no˨˨˦$
挽	uᴇ˧˨˥$
挾	ɦiæʔ˨˧$
捂	ŋ˨˩˦$
捅	tʰoŋ˧˨˥$
捆	kʰuəŋ˧˨˥$
捉	ʨyɔʔ˥$
捋	luøʔ˨˧$
捍	ɦᴇ˧˥$
捎	sau˧˧˦$
捏	niæʔ˨˧$
捐	kyø˧˧˦$
捕	bu˧˥$
捞	lau˨˨˦$
损	səŋ˧˨˥$
换	ɦuø˧˥$
捧	pʰoŋ˧˨˥$
捨	so˧˨˥$
捩	liæʔ˨˧$
捫	məŋ˧˥$
据	ky˥$
捲	kyø˧˨˥$
捷	ʥiæʔ˨˧$
捺	næʔ˨˧$
捻	niᴇ˨˩˦$
掀	hiᴇ˧˧˦$
掂	tiᴇ˧˧˦$
掃	sau˧˨˥$
掄	ləŋ˨˨˦$
掇	tuəʔ˥$
授	ʑiɤu˧˥$
掉	diau˧˥$
掌	ʦɔ̃˧˨˥$
掏	dau˨˨˦$
掐	kʰæʔ˥$
排	ba˨˨˦$
掗	o˥$
掘	gyəʔ˨˧$
掙	ʦaŋ˥$
掛	kua˥$
掠	liaʔ˨˧$
探	tʰø˥$
掣	ʨi˥$
接	ʨiæʔ˥$
控	kʰoŋ˥$
推	tʰei˧˧˦$
掩	iᴇ˧˨˥$
措	ʦʰo˥$
掬	kyuʔ˥$
掳	lo˨˩˦$
掴	kuaʔ˥$
掷	ʥiɪʔ˨˧$
掸	tᴇ˧˨˥$
掼	guᴇ˧˥$
掾	ɦyø˧˥$
揀	kᴇ˧˨˥$
揆	guei˨˩˦$
揉	ʑiɤu˨˨˦$
揎	ɕyø˧˧˦$
描	miau˨˨˦$
提	di˨˨˦$
插	ʦʰæʔ˥$
揕	ʨiŋ˥$
揖	iɪʔ˥$
揚	ɦiaŋ˨˨˦$
換	ɦuø˧˥$
揠	æʔ˥$
握	uɔʔ˥$
揢	kʰæʔ˥$
揣	ʨʰyø˧˨˥$
揩	kʰa˧˧˦$
揪	ʨiɤu˧˧˦$
揭	kiæʔ˥$
揮	huei˧˧˦$
援	ɦyø˨˨˦$
揽	lᴇ˨˩˦$
揿	kʰiŋ˥$
搀	ʦʰᴇ˧˧˦$
搁	gɔʔ˨˧$
搂	lɤu˨˩˦$
搅	kau˧˨˥$
損	səŋ˧˨˥$
搓	ʦʰo˧˧˦$
搖	ɦiau˨˨˦$
搜	sɤu˧˧˦$
搞	kau˧˨˥$
搡	sɔ̃˧˨˥$
搢	ʨiŋ˥$
搧	ɕiᴇ˧˧˦$
搨	tʰæʔ˥$
搪	dɔ̃˨˨˦$
搬	pø˧˧˦$
搭	tæʔ˥$
搶	ʨʰiaŋ˧˨˥$
携	ɕiᴇ˧˧˦$
搽	ʣa˨˨˦$
搿	gæʔ˨˧$
摄	ɕiæʔ˥$
摅	ɕy˧˧˦$
摆	pa˧˨˥$
摇	ɦiau˨˨˦$
摈	piŋ˥$
摊	tʰᴇ˧˧˦$
摑	kuaʔ˥$
摒	piŋ˥$
摔	sei˧˧˦$
摘	ʦaʔ˥$
摜	guᴇ˧˥$
摟	lɤu˨˩˦$
摧	zei˨˨˦$
摩	mo˨˨˦$
摳	kʰɤu˧˧˦$
摶	duø˨˨˦$
摸	mɔʔ˨˧$
摹	mo˨˨˦$
摺	ʨiæʔ˥$
撅	gyəʔ˨˧$
撇	pʰiæʔ˥$
撈	lau˨˨˦$
撐	ʦʰaŋ˧˧˦$
撑	ʦʰaŋ˧˧˦$
撒	sæʔ˥$
撓	nau˨˨˦$
撕	sɿ˧˧˦$
撙	ʦəŋ˧˨˥$
撚	niᴇ˨˩˦$
撝	huei˧˧˦$
撞	ʥyɔ̃˧˥$
撣	tᴇ˧˨˥$
撤	ʨʰiæʔ˥$
撥	puəʔ˥$
撩	liau˨˨˦$
撫	fu˧˨˥$
撬	kʰiau˥$
播	po˧˧˦$
撮	ʦʰuøʔ˥$
撰	ʣuø˨˩˦$
撲	boʔ˨˧$
撳	kʰiŋ˥$
撵	niᴇ˨˩˦$
撺	ʦʰuø˧˧˦$
撼	ɦᴇ˨˩˦$
擀	kᴇ˧˨˥$
擁	yoŋ˧˧˦$
擂	lei˨˨˦$
擄	lo˨˩˦$
擅	ʑiᴇ˧˥$
擇	ʣaʔ˨˧$
擊	kiɪʔ˥$
擋	tɔ̃˧˨˥$
操	ʦʰau˧˧˦$
擎	giŋ˨˨˦$
擐	guᴇ˧˥$
擒	giŋ˨˨˦$
擔	tᴇ˧˧˦$
據	ky˥$
擞	sɤu˧˨˥$
擠	ʨi˧˨˥$
擢	ʥyɔʔ˨˧$
擤	hiŋ˧˨˥$
擦	ʦʰæʔ˥$
擩	ʑy˨˩˦$
擬	ni˨˩˦$
擯	piŋ˥$
擰	niŋ˨˩˦$
擱	gɔʔ˨˧$
擲	ʥiɪʔ˨˧$
擴	kʰuɔʔ˥$
擺	pa˧˨˥$
擻	sɤu˧˨˥$
擾	ʑiau˨˩˦$
攀	pʰᴇ˧˧˦$
攄	ɕy˧˧˦$
攆	niᴇ˨˩˦$
攏	loŋ˨˩˦$
攒	ʦᴇ˧˨˥$
攔	lᴇ˨˨˦$
攘	ʑiaŋ˨˩˦$
攙	ʦʰᴇ˧˧˦$
攛	ʦʰuø˧˧˦$
攜	ɕiᴇ˧˧˦$
攝	ɕiæʔ˥$
攢	ʦᴇ˧˨˥$
攤	tʰᴇ˧˧˦$
攥	ʦuø˥$
攪	kau˧˨˥$
攫	kyəʔ˥$
攬	lᴇ˨˩˦$
攮	nɔ̃˨˩˦$
支	ʦɿ˧˧˦$
收	ɕiɤu˧˧˦$
攷	kʰau˧˨˥$
攸	iɤu˧˧˦$
改	kei˧˨˥$
攻	koŋ˧˧˦$
放	fɔ̃˥$
政	ʨiŋ˥$
故	ku˥$
效	hau˧˥$
敌	diɪʔ˨˧$
敏	miŋ˨˩˦$
救	kiɤu˥$
敖	ŋau˨˨˦$
敗	ba˧˥$
敘	ʑy˨˩˦$
教	kau˧˧˦$
敛	liᴇ˨˩˦$
敝	bi˧˥$
敞	ʨʰiaŋ˧˨˥$
敢	kᴇ˧˨˥$
散	sᴇ˧˨˥$
敦	təŋ˧˧˦$
敬	kiŋ˧˨˥$
数	su˧˨˥$
敲	kʰau˧˧˦$
整	ʨiŋ˧˨˥$
敵	diɪʔ˨˧$
敷	fu˧˨˥$
數	su˧˨˥$
斂	liᴇ˨˩˦$
斃	bi˧˥$
文	vəŋ˨˨˦$
斋	ʦa˧˧˦$
斌	piŋ˧˧˦$
斐	fi˧˨˥$
斓	lᴇ˨˨˦$
斕	lᴇ˨˨˦$
斗	tɤu˧˨˥$
料	liau˧˥$
斛	hoʔ˥$
斜	ʑia˨˨˦$
斡	uəʔ˥$
斤	kiŋ˧˧˦$
斥	ʨʰiɪʔ˥$
斧	fu˧˨˥$
斩	ʦᴇ˧˨˥$
斫	ʦɔʔ˥$
斬	ʦᴇ˧˨˥$
断	duø˨˩˦$
斯	sɿ˧˧˦$
新	ɕiŋ˧˧˦$
斷	duø˨˩˦$
方	fɔ̃˧˧˦$
於	y˧˧˦$
施	sɿ˧˧˦$
旁	bɔ̃˨˨˦$
旄	mau˨˨˦$
旅	ly˨˩˦$
旋	ʑyø˨˨˦$
旌	kiŋ˧˧˦$
旎	ni˨˩˦$
族	zoʔ˨˧$
旑	i˧˨˥$
旗	gi˨˨˦$
无	vu˨˨˦$
既	ki˥$
日	niɪʔ˨˧$
旦	tᴇ˥$
旧	giɤu˧˥$
旨	ʦɿ˧˨˥$
早	ʦau˧˨˥$
旬	ɕyoŋ˧˨˥$
旭	hyuʔ˥$
旱	ɦei˨˩˦$
时	zɿ˨˨˦$
旷	kʰuɔ̃˥$
旺	ɦuɔ̃˧˥$
旻	miŋ˨˨˦$
昂	ŋɔ̃˨˨˦$
昆	kʰuəŋ˧˧˦$
昊	hau˨˩˦$
昌	ʦʰɔ̃˧˧˦$
明	miŋ˨˨˦$
昏	huəŋ˧˧˦$
易	ɦi˧˥$
昔	ɕiɪʔ˥$
昕	hiŋ˧˧˦$
昙	dᴇ˨˨˦$
昞	piŋ˧˨˥$
星	ɕiŋ˧˧˦$
映	iŋ˥$
春	ʨʰyoŋ˧˧˦$
昧	mei˧˥$
昨	ʣɔʔ˨˧$
昫	hy˥$
昭	ʨiau˧˧˦$
是	zɿ˨˩˦$
昱	ɦyuʔ˨˧$
昴	mau˨˩˦$
昵	niɪʔ˨˧$
昺	piŋ˧˨˥$
昼	ʨiɤu˥$
显	hiᴇ˧˨˥$
晁	ʥiau˨˩˦$
時	zɿ˨˨˦$
晃	huɔ̃˧˨˥$
晉	ʨiŋ˥$
晋	ʨiŋ˥$
晏	ᴇ˥$
晒	sa˥$
晓	hiau˧˨˥$
晕	ɦyoŋ˧˥$
晖	huei˧˧˦$
晚	mᴇ˨˩˦$
晝	ʨiɤu˥$
晤	ɦu˧˥$
晦	huei˥$
晨	ʑiŋ˨˨˦$
普	pʰu˧˨˥$
景	kiŋ˧˨˥$
晴	ʑiŋ˨˨˦$
晶	ʨiŋ˧˧˦$
晷	kuei˧˨˥$
智	ʦɿ˥$
暂	ʣᴇ˧˥$
暄	hyø˧˧˦$
暇	ɦia˧˥$
暈	ɦyoŋ˧˥$
暉	huei˧˧˦$
暑	ɕy˧˨˥$
暖	nuø˨˩˦$
暗	ᴇ˥$
暝	miŋ˨˨˦$
暢	ʨʰiaŋ˥$
暧	ei˥$
暨	gi˧˥$
暫	ʣᴇ˧˥$
暮	mu˧˥$
暱	niɪʔ˨˧$
暴	bau˧˥$
暹	ɕiᴇ˧˧˦$
曆	liɪʔ˨˧$
曇	dᴇ˨˨˦$
曉	hiau˧˨˥$
曖	ei˥$
曙	ʑy˧˥$
曝	boʔ˨˧$
曠	kʰuɔ̃˥$
曦	hi˧˧˦$
曩	nɔ̃˨˩˦$
曬	sa˥$
曰	ɦiaʔ˨˧$
曲	kʰuøʔ˥$
曳	ɦiæʔ˨˧$
更	kaŋ˧˧˦$
曷	æʔ˥$
書	ɕy˧˧˦$
曹	zau˨˨˦$
曼	mᴇ˧˥$
曾	ʦəŋ˧˧˦$
替	tʰi˥$
最	ʦei˥$
會	ɦuei˧˥$
月	nyəʔ˨˧$
有	ɦiɤu˨˩˦$
朋	baŋ˨˨˦$
服	voʔ˨˧$
朔	sɔʔ˥$
朕	ʥiŋ˨˩˦$
朗	lɔ̃˨˩˦$
望	mɔ̃˧˥$
朝	ʥiau˨˨˦$
期	gi˨˨˦$
朦	moŋ˨˨˦$
朧	loŋ˨˨˦$
木	moʔ˨˧$
未	vi˧˥$
末	muəʔ˨˧$
本	pəŋ˧˨˥$
札	ʦæʔ˥$
朮	ʥyʔ˨˧$
术	ʑyʔ˨˧$
朱	ʨy˧˧˦$
朴	pʰoʔ˥$
朵	to˧˨˥$
机	ki˧˧˦$
朽	hiɤu˧˨˥$
朿	ʦʰɿ˥$
杀	sæʔ˥$
权	gyø˨˨˦$
杆	kᴇ˧˨˥$
杈	ʦʰa˧˧˦$
杉	sᴇ˧˧˦$
杌	ɦuøʔ˨˧$
李	li˨˩˦$
杏	ɦaŋ˨˩˦$
材	zei˨˨˦$
村	ʦʰəŋ˧˧˦$
杖	ʥiaŋ˨˩˦$
杜	du˧˨˥$
杞	kʰi˧˨˥$
束	soʔ˥$
杠	kɔ̃˥$
条	diau˨˨˦$
来	lei˨˨˦$
杨	ɦiaŋ˨˨˦$
杭	ɦɔ̃˨˨˦$
杯	pei˧˧˦$
杰	giæʔ˨˧$
東	toŋ˧˧˦$
杲	kau˧˨˥$
杳	iau˧˨˥$
杵	ʦʰɿ˧˨˥$
杷	ba˨˨˦$
杼	ʥy˨˩˦$
松	ɕyoŋ˧˧˦$
板	pᴇ˧˨˥$
极	giɪʔ˨˧$
构	kɤu˥$
枇	bi˨˨˦$
枉	uɔ̃˧˨˥$
枋	fɔ̃˧˧˦$
析	ɕiɪʔ˥$
枕	ʨiŋ˧˨˥$
林	liŋ˨˨˦$
枘	zei˧˥$
枚	mei˨˨7$
果	ku˧˨˥$
枝	ʦɿ˧˧˦$
枞	ʦoŋ˧˧˦$
枢	ɕy˧˧˦$
枣	ʦau˧˨˥$
枥	liɪʔ˨˧$
枪	ʨʰiaŋ˧˧˦$
枫	foŋ˧˧˦$
枭	hiau˧˧˦$
枯	kʰu˧˧˦$
枵	hiau˧˧˦$
架	kia˥$
枷	ka˧˧˦$
柄	piŋ˥$
柎	fu˧˧˦$
柏	paʔ˥$
某	m˨˩˦$
柑	kᴇ˧˧˦$
染	niᴇ˨˩˦$
柔	ʑiɤu˨˨˦$
柚	ɦiɤu˧˥$
柜	gy˧˥$
柝	tʰɔʔ˥$
柞	zɔʔ˨˧$
柢	ti˧˨˥$
查	ʣa˨˨˦$
柩	giɤu˧˥$
柬	kᴇ˧˨˥$
柯	kʰp˧˧˦$
柱	ʥy˨˩˦$
柳	liɤu˨˩˦$
柴	za˨˨˦$
柵	saʔ˥$
栅	saʔ˥$
标	piau˧˧˦$
栈	ʣᴇ˧˥$
栋	toŋ˥$
栎	liɪʔ˨˧$
栏	lᴇ˨˨˦$
树	ʑy˧˥$
栓	ɕyø˧˧˦$
栖	ɕi˧˧˦$
栗	liɪʔ˨˧$
校	hau˧˥$
栩	hy˧˨˥$
株	ʨy˧˧˦$
栲	kʰau˧˨˥$
栳	lau˨˩˦$
样	ɦiaŋ˧˥$
核	ɦoʔ˨˧$
根	kəŋ˧˧˦$
格	kaʔ˥$
栽	ʦei˧˧˦$
栾	luø˨˨˦$
栿	voʔ˨˧$
桀	giæʔ˨˧$
桂	kuei˥$
桃	dau˨˨˦$
桄	kuɔ̃˥$
桅	ɦuei˨˨˦$
框	kʰuɔ̃˧˧˦$
桊	kyø˥$
桌	ʨyɔʔ˥$
桐	doŋ˨˨˦$
桑	sɔ̃˧˧˦$
桓	ɦuø˨˨˦$
桔	kiæʔ˥$
桕	giɤu˨˩˦$
桠	ia˧˧˦$
桡	nau˨˨˦$
桢	ʨiŋ˧˧˦$
桥	giau˨˨˦$
桦	ɦua˨˨˦$
桨	ʨiaŋ˧˨˥$
桩	ʨyɔ̃˧˧˦$
桯	tʰiŋ˧˧˦$
桴	vɤu˨˨˦$
桶	doŋ˨˩˦$
桷	kɔʔ˥$
桿	kᴇ˧˨˥$
梁	liaŋ˨˨˦$
梃	diŋ˨˩˦$
梅	mei˨˨˦$
梆	pɔ̃˧˧˦$
梏	kuɔʔ˥$
梓	ʦɿ˧˨˥$
梗	kaŋ˧˨˥$
條	diau˨˨˦$
梟	hiau˧˧˦$
梢	sau˧˧˦$
梦	moŋ˧˥$
梧	ɦu˨˨˦$
梨	li˨˨˦$
梭	so˧˧˦$
梯	tʰi˧˧˦$
械	ɦa˧˥$
梳	su˧˧˦$
梵	vᴇ˧˥$
检	kiᴇ˧˨˥$
棂	liŋ˨˨˦$
棄	kʰi˥$
棉	miᴇ˨˨˦$
棋	gi˨˨˦$
棍	kuəŋ˥$
棒	bɔ̃˨˩˦$
棕	ʦoŋ˧˧˦$
棗	ʦau˧˨˥$
棘	kiɪʔ˥$
棚	baŋ˨˨˦$
棟	toŋ˥$
棠	dɔ̃˨˨˦$
棣	di˧˥$
棦	ʦaŋ˧˧˦$
棧	ʣᴇ˧˥$
森	səŋ˧˧˦$
棲	ʨʰi˧˧˦$
棵	kʰou˧˧˦$
棺	kuø˧˧˦$
棼	vəŋ˨˨˦$
椅	i˧˨˥$
椎	ʥy˨˨˦$
椏	ia˧˧˦$
椒	ʨiau˧˧˦$
椟	doʔ˨˧$
椰	ɦia˨˨˦$
椴	duø˧˥$
椽	ʥyø˨˨˦$
椿	ʨʰyoŋ˧˧˦$
楂	ʦo˧˧˦$
楊	ɦiaŋ˨˨˦$
楓	foŋ˧˧˦$
楔	ɕiæʔ˥$
楚	ʦʰu˧˨˥$
楞	ləŋ˨˨˦$
楠	nᴇ˨˨˦$
楣	mei˨˨9$
楦	hyø˥$
楨	ʨiŋ˧˧˦$
業	niæʔ˨˧$
極	giɪʔ˨˧$
楷	kʰa˧˨˥$
楹	ɦiŋ˨˨˦$
概	kei˥$
榄	lᴇ˨˩˦$
榆	ɦy˨˨˦$
榉	ky˧˨˥$
榔	lɔ̃˨˨˦$
榕	ɦyoŋ˨˨˦$
榘	ky˧˨˥$
榛	ʨiŋ˧˧˦$
榜	pɔ̃˧˨˥$
榧	fi˧˨˥$
榨	ʦa˥$
榫	ɕyoŋ˧˨˥$
榭	ʑia˧˥$
榮	ɦyoŋ˨˨˦$
榴	liɤu˨˨˦$
榻	tʰæʔ˥$
槁	kau˧˨˥$
槃	bø˨˨˦$
槊	sɔʔ˥$
構	kɤu˥$
槌	ʥy˨˨˦$
槍	ʨʰiaŋ˧˧˦$
槎	ʦʰa˧˧˦$
槐	ɦua˨˨˦$
槓	kɔ̃˥$
槔	kau˧˧˦$
槟	piŋ˧˧˦$
槲	hoʔ˥$
槳	ʨiaŋ˧˨˥$
槿	kiŋ˧˨˥$
樁	ʨyɔ̃˧˧˦$
樂	lɔʔ˨˧$
樅	ʦoŋ˧˧˦$
樊	vᴇ˨˨˦$
樗	ɕy˧˧˦$
樘	dɔ̃˨˨˦$
標	piau˧˧˦$
樞	ɕy˧˧˦$
樟	ʦɔ̃˧˧˦$
模	mo˨˨˦$
樣	ɦiaŋ˧˥$
横	ɦuaŋ˨˨˦$
樯	ʑiaŋ˨˨˦$
樱	aŋ˧˧˦$
樵	ʥiau˨˨˦$
樸	pʰoʔ˥$
樹	ʑy˧˥$
樺	ɦua˨˨˦$
樽	ʦəŋ˧˧˦$
樾	ɦiaʔ˨˧$
橄	kᴇ˧˨˥$
橈	nau˨˨˦$
橋	giau˨˨˦$
橘	kyuʔ˥$
橙	ʣaŋ˨˨˦$
橛	gyəʔ˨˧$
機	ki˧˧˦$
橡	ʑiaŋ˨˩˦$
橥	ʨy˧˧˦$
橫	ɦuaŋ˨˨˦$
橱	ʥy˨˨˦$
橹	lu˨˩˦$
橼	ɦyø˨˨˦$
檀	dᴇ˨˨˦$
檁	liŋ˨˩˦$
檄	ɦiɪʔ˨˧$
檎	giŋ˨˨˦$
檐	ɦiᴇ˨˨˦$
檑	lei˨˨˦$
檠	giŋ˨˨˦$
檢	kiᴇ˧˨˥$
檣	ʑiaŋ˨˨˦$
檩	liŋ˨˩˦$
檳	piŋ˧˧˦$
檾	kʰiŋ˧˨˥$
櫃	gy˧˥$
櫓	lu˨˩˦$
櫝	doʔ˨˧$
櫞	ɦyø˨˨˦$
櫟	liɪʔ˨˧$
櫥	ʥy˨˨˦$
櫪	liɪʔ˨˧$
櫸	ky˧˨˥$
櫺	liŋ˨˨˦$
櫻	aŋ˧˧˦$
欄	lᴇ˨˨˦$
權	gyø˨˨˦$
欒	luø˨˨˦$
欖	lᴇ˨˩˦$
欠	kʰiᴇ˥$
次	ʦʰɿ˥$
欢	huø˧˧˦$
欣	hiŋ˧˧˦$
欤	ɦy˨˨˦$
欧	ɤu˧˧˦$
欲	ɦyuʔ˨˧$
欹	kʰi˧˧˦$
欺	kʰi˧˧˦$
欽	kʰiŋ˧˧˦$
款	kʰuø˧˨˥$
歆	hiŋ˧˧˦$
歇	hiæʔ˥$
歉	kʰiᴇ˧˨˥$
歌	kia˧˧˦$
歎	tʰᴇ˥$
歐	ɤu˧˧˦$
歟	ɦy˨˨˦$
歡	huø˧˧˦$
止	ʦɿ˧˨˥$
正	ʨiŋ˧˧˦$
此	ʦʰɿ˧˨˥$
步	bu˧˥$
武	vu˨˩˦$
歪	ua˧˧˦$
歲	ɕy˥$
歷	liɪʔ˨˧$
歸	kuei˧˧˦$
死	sɿ˧˨˥$
歼	ʨiᴇ˧˧˦$
歿	muəʔ˨˧$
殁	muəʔ˨˧$
殂	zu˨˨˦$
殃	iaŋ˧˧˦$
殄	tʰiᴇ˧˨˥$
殆	dei˨˩˦$
殇	sɔ̃˧˧˦$
殉	ʑyoŋ˧˥$
殊	ʑy˨˨˦$
残	ʣᴇ˨˨˦$
殍	biau˨˨˦$
殓	liᴇ˧˥$
殘	ʣᴇ˨˨˦$
殚	tᴇ˧˧˦$
殛	kiɪʔ˥$
殡	piŋ˥$
殣	giŋ˧˥$
殤	sɔ̃˧˧˦$
殪	i˥$
殫	tᴇ˧˧˦$
殭	kiaŋ˧˧˦$
殮	liᴇ˧˥$
殯	piŋ˥$
殲	ʨiᴇ˧˧˦$
殳	ʑy˨˨˦$
殴	ɤu˧˨˥$
段	duø˧˥$
殷	iŋ˧˧˦$
殺	sæʔ˥$
殼	kʰɔʔ˥$
殿	diᴇ˧˥$
毀	huei˧˨˥$
毁	huei˧˨˥$
毂	koʔ˥$
毅	ni˧˥$
毆	ɤu˧˨˥$
毋	vu˨˨˦$
母	mu˨˩˦$
每	mei˨˩˦$
毒	doʔ˨˧$
毓	ɦyuʔ˨˧$
比	pi˧˨˥$
毕	piɪʔ˥$
毖	pi˥$
毗	bi˨˨˦$
毙	bi˧˥$
毛	mau˨˨˦$
毡	ʨiᴇ˧˧˦$
毫	ɦau˨˨˦$
毬	giɤu˨˨˦$
毯	tʰᴇ˧˨˥$
毳	ʦʰei˥$
毹	ɕy˧˨˥$
氅	ʨʰiaŋ˧˨˥$
氈	ʨiᴇ˧˧˦$
氍	gy˨˨˦$
氏	zɿ˨˩˦$
氐	ti˧˧˦$
民	miŋ˨˨˦$
氓	maŋ˨˨˦$
气	kʰi˥$
氛	vəŋ˧˥$
氣	kʰi˥$
氤	iŋ˧˧˦$
氲	yoŋ˧˧˦$
氳	yoŋ˧˧˦$
水	sei˧˨˥$
永	yoŋ˧˨˥$
汀	tʰiŋ˧˧˦$
汁	ʨiɪʔ˥$
求	giɤu˨˨˦$
汆	ʦʰuø˧˧˦$
汇	ɦuei˧˥$
汉	hᴇ˥$
汊	ʦʰa˥$
汍	ɦuø˨˨˦$
汕	sᴇ˥$
汗	ɦᴇ˧˥$
汝	ʑy˨˩˦$
汞	koŋ˧˨˥$
江	kɔ̃˧˧˦$
池	ʣɿ˨˨˦$
污	u˧˧˦$
汤	tʰɔ̃˧˧˦$
汨	miɪʔ˨˧$
汩	ku˧˨˥$
汪	uɔ̃˧˧˦$
汰	da˨˩˦$
汲	kiɪʔ˥$
汴	biᴇ˧˥$
汹	hyoŋ˧˧˦$
決	kyəʔ˥$
汽	kʰi˥$
汾	vəŋ˨˨˦$
沂	ɦi˨˨˦$
沃	uɔʔ˥$
沅	nyø˨˨˦$
沈	ɕiŋ˧˨˥$
沉	ʥiŋ˨˨˦$
沌	dəŋ˨˩˦$
沐	moʔ˨˧$
沒	muəʔ˨˧$
沓	dæʔ˨˧$
沔	miᴇ˨˩˦$
沖	ʨʰyoŋ˧˧˦$
沙	sa˧˧˦$
沛	pʰei˥$
沟	kɤu˧˧˦$
没	muəʔ˨˧$
沣	foŋ˧˧˦$
沤	ɤu˥$
沥	liɪʔ˨˧$
沦	ləŋ˨˨˦$
沧	ʦʰɔ̃˧˧˦$
沪	ɦu˨˩˦$
沫	muəʔ˨˧$
沱	dou˨˨˦$
河	ɦou˨˨˦$
沸	fi˥$
油	ɦiɤu˨˨˦$
治	ʣɿ˧˥$
沼	ʨiau˧˨˥$
沽	ku˧˧˦$
沾	ʦᴇ˧˧˦$
沿	ɦiᴇ˨˨˦$
況	huɔ̃˥$
泄	ɕiæʔ˥$
泅	ʥiɤu˨˨˦$
泉	ʑyø˨˨˦$
泊	bɔʔ˨˧$
泌	pi˥$
泓	oŋ˧˧˦$
泔	kᴇ˧˧˦$
法	fæʔ˥$
泖	mau˨˩˦$
泗	sɿ˥$
泚	ʦʰɿ˧˨˥$
泛	fᴇ˥$
泞	niŋ˧˥$
泠	liŋ˨˨˦$
泡	pʰau˧˧˦$
波	po˧˧˦$
泣	ʨʰiɪʔ˥$
泥	ni˨˨˦$
注	ʨy˥$
泪	lei˧˥$
泫	ɦyø˨˩˦$
泭	vu˨˨˦$
泮	pʰø˥$
泯	miŋ˨˩˦$
泰	tʰa˥$
泱	iaŋ˧˧˦$
泳	yoŋ˧˨˥$
泸	lu˨˨˦$
泻	ɕia˥$
泼	pʰuəʔ˥$
泽	ʣaʔ˨˧$
泾	kiŋ˧˧˦$
洁	kiæʔ˥$
洋	ɦiaŋ˨˨˦$
洒	sa˧˨˥$
洗	ɕi˧˨˥$
洙	ʨy˧˧˦$
洛	lɔʔ˨˧$
洞	doŋ˧˥$
津	ʨiŋ˧˧˦$
洪	ɦoŋ˨˨˦$
洮	dau˨˨˦$
洲	ʨiɤu˧˧˦$
洴	biŋ˨˨˦$
洶	hyoŋ˧˧˦$
洸	kuɔ̃˧˧˦$
洹	ɦuø˨˨˦$
活	ɦuəʔ˨˧$
洼	ua˧˧˦$
洽	ɦæʔ˨˧$
派	pʰa˥$
流	liɤu˨˨˦$
浄	ʑiŋ˧˥$
浅	ʨʰiᴇ˧˨˥$
浆	ʨiaŋ˧˧˦$
浇	kiau˧˧˦$
浊	ʥyɔʔ˨˧$
测	ʦʰøʔ˥$
济	ʨi˧˨˥$
浏	liɤu˨˨˦$
浑	ɦuəŋ˨˨˦$
浒	hu˧˨˥$
浓	noŋ˨˨˦$
浙	ʨiæʔ˥$
浚	ʨyoŋ˥$
浜	paŋ˧˧˦$
浣	ɦuø˨˩˦$
浥	iɪʔ˥$
浦	pʰu˧˨˥$
浩	hau˨˩˦$
浪	lɔ̃˧˥$
浮	vu˨˨˦$
浯	ɦu˨˨˦$
浴	ɦyuʔ˨˧$
海	hei˧˨˥$
浸	ʨiŋ˥$
浼	mei˨˩˦$
涂	du˨˨˦$
涅	niæʔ˨˧$
涇	kiŋ˧˧˦$
消	ɕiau˧˧˦$
涉	ʑiæʔ˨˧$
涌	yoŋ˧˨˥$
涎	ʑiᴇ˨˨˦$
涓	kyø˧˧˦$
涔	zəŋ˨˨˦$
涕	tʰi˥$
涛	dau˨˨˦$
涝	lau˧˥$
涟	liᴇ˨˨˦$
涡	ou˧˧˦$
涤	diɪʔ˨˧$
润	nyoŋ˧˥$
涨	ʨiaŋ˧˨˥$
涩	søʔ˥$
涪	vɤu˨˨˦$
涯	ŋa˨˨˦$
液	ɦiɪʔ˨˧$
涼	liaŋ˨˨˦$
涿	ʨyɔʔ˥$
淀	diᴇ˧˥$
淄	ʦɿ˧˧˦$
淆	ɦau˨˨˦$
淇	gi˨˨˦$
淋	liŋ˨˨˦$
淌	tʰɔ̃˧˨˥$
淑	ʑyuʔ˨˧$
淒	ʨʰi˧˧˦$
淖	nau˧˥$
淘	dau˨˨˦$
淙	ʦoŋ˧˧˦$
淚	lei˧˥$
淝	vi˨˨˦$
