㮸	soŋ˥$
励	li˩˧$
劲	ʨiən˩˧$
劳	lɔ˧˩$
势	sɿ˦˦˥$
勁	ʨiən˩˧$
勃	bəʔ˨$
勇	ioŋ˥$
勉	mie˩˧$
勋	ɕyən˥˧$
勒	ləʔ˨$
動	doŋ˩˧$
勘	kʰø˩˧$
務	vu˩˧$
勝	sən˦˦˥$
勞	lɔ˧˩$
募	mo˩˧$
勢	sɿ˦˦˥$
勤	ʥiən˧˩$
勳	ɕyən˥˧$
勵	li˩˧$
勸	ʨʰiø˩˧$
勺	zoʔ˨$
勻	jyən˧˩$
勾	kəɯ˦˦˥$
勿	vəʔ˨$
匀	jyən˧˩$
包	pɔ˥˧$
匆	ʦʰoŋ˥˧$
化	ho˦˦˥$
匙	zɿ˧˩$
匠	ziã˩˧$
匡	kʰɑ̃˥˧$
匣	ɦaʔ˨$
匪	fi˦˦˥$
匯	ɦue˩˧$
匹	pʰiəʔ˥$
区	əɯ˥˧$
医	i˥˧$
匾	pie˥$
匿	ȵiəʔ˨$
區	əɯ˥˧$
十	zəʔ˨$
千	ʦʰie˥˧$
升	sən˥˧$
午	n̩˩˧$
卉	hue˦˦˥$
半	pø˦˦˥$
华	ɦo˧˩$
协	jiaʔ˨$
卑	pe˥˧$
卓	ʦoʔ˥$
協	jiaʔ˨$
单	tɛ˥˧$
卖	ma˩˧$
南	nø˥$
博	poʔ˥$
卜	poʔ˥$
占	ʦø˥˧$
卤	lu˩˧$
卦	ko˦˦˥$
卧	ŋu˩˧$
卫	ɦue˧˩$
卯	mɔ˩˧$
印	iən˦˦˥$
危	ŋue˧˩$
即	ʦiəʔ˥$
却	ʨʰiaʔ˥$
卵	lø˩˧$
卷	ʨiø˥$
卸	sia˦˦˥$
卻	ʨʰiaʔ˥$
卿	ʨʰiən˥˧$
厂	ʦʰã˩˧$
厄	ŋəʔ˥$
厅	tʰiən˥˧$
历	liəʔ˨$
厉	li˩˧$
压	aʔ˥$
厌	ie˦˦˥$
厕	ʦʰɿ˩˧$
厘	li˧˩$
厚	ɦəɯ$
原	ȵiø˧˩$
厢	siã˥˧$
厣	ie˥$
厥	ʨioʔ˥$
厦	ɦo˩˧$
厨	zʮ˧˩$
厭	ie˦˦˥$
厮	sɿ˥˧$
厲	li˩˧$
厴	ie˥$
去	ʨʰy˩˧$
参	sən˥˧$
參	sən˥˧$
又	iəɯ˦˦˥$
叉	ʦʰo˥˧$
及	ʥiəʔ˨$
友	jiəɯ˩˧$
双	sɑ̃˥˧$
反	fɛ˥$
发	faʔ˥$
受	zəɯ˩˧$
变	pie˦˦˥$
叙	zy˩˧$
叛	bø˩˧$
叟	səɯ˥$
叢	zoŋ˧˩$
口	kʰəɯ˩˧$
古	ku˥$
句	ʨy˦˦˥$
另	liən˧˩$
叨	tʰɔ˥˧$
只	ʦaʔ˥$
召	zɔ˩˧$
可	kʰo˩˧$
台	tʰɛ˥˧$
史	sɿ˥$
右	iəɯ˦˦˥$
叶	jiəʔ˨$
号	ɦɔ˧˩$
司	sɿ˥˧$
叹	tʰɛ˩˧$
吃	ʨʰiəʔ˥$
各	koʔ˥$
合	kəʔ˥$
吉	ʨiəʔ˥$
吊	tiɔ˦˦˥$
同	doŋ˧˩$
名	miən˧˩$
后	ɦəɯ$
吏	li˩˧$
吐	tʰu˩˧$
向	ɕiã˦˦˥$
吓	haʔ˥$
君	ʨyən˥˧$
吝	liən˩˧$
吞	tʰən˥˧$
吠	vi˩˧$
否	fəɯ˥$
含	ɦø˧˩$
听	tʰiən˩˧$
启	ʨʰi˩˧$
吳	ɦu˧˩$
吴	ɦu˧˩$
吵	ʦʰɔ˥$
吸	ɕiəʔ˥$
吹	ʦʰue˥˧$
吻	vən˩˧$
吼	həɯ˥$
吾	ŋu˧˩$
呈	zən˧˩$
呉	ɦu˧˩$
告	kɔ˦˦˥$
呕	əɯ˥$
员	jiø˧˩$
呢	ȵi˧˩$
周	ʦəɯ˥˧$
味	mi˩˧$
呶	no˦˦˥$
呼	hu˥˧$
命	miən˩˧$
和	ɦu˧˩$
咎	ʥiəɯ˩˧$
咏	ioŋ˥$
咨	ʦɿ˥˧$
咸	jie˧˩$
哀	ɛ˥˧$
品	pʰiən˩˧$
哄	hoŋ˥˧$
响	ɕiã˥$
哑	o˥$
員	jiø˧˩$
哥	ku˥˧$
哭	kʰoʔ˥$
哲	ʦəʔ˥$
哽	kã˥$
唆	su˥˧$
唇	zən˧˩$
唉	ɛ˥˧$
唐	dɑ̃˧˩$
唤	hø˦˦˥$
售	zəɯ˩˧$
唯	vi˧˩$
唱	ʦʰã˩˧$
唸	ȵie˩˧$
啄	ʦoʔ˥$
商	sã˥˧$
問	mən˩˧$
啞	o˥$
啟	ʨʰi˩˧$
啸	siɔ˦˦˥$
啼	di˥$
喂	ue˦˦˥$
善	zø˩˧$
喉	ɦəɯ˧˩$
喘	ʦʰø˩˧$
喚	hø˦˦˥$
喜	ɕi˥$
喝	həʔ˥$
喧	ɕiø˥˧$
喪	sɑ̃˥˧$
喬	ʥiɔ˧˩$
單	tɛ˥˧$
喷	pʰən˥˧$
喻	jy˩˧$
嗅	hoŋ˦˦˥$
嗜	zɿ˩˧$
嗟	ʦie˥˧$
嗣	zɿ˩˧$
嗤	ʦʰɿ˥˧$
嗽	səɯ˦˦˥$
嘉	ka˥˧$
嘔	əɯ˥$
嘗	zã˧˩$
嘯	siɔ˦˦˥$
嘱	ʦoʔ˥$
嘴	ʦue˥$
嘻	ɕi˥˧$
噎	iəʔ˥$
器	ʨʰi˩˧$
噴	pʰən˥˧$
嚇	haʔ˥$
嚣	ɕiɔ˥˧$
嚴	ȵie˧˩$
嚷	zã˩˧$
嚼	ziaʔ˨$
囂	ɕiɔ˥˧$
囑	ʦoʔ˥$
囚	ziəɯ˧˩$
四	sɿ˦˦˥$
回	ɦue˧˩$
因	iən˥˧$
囡	nø˥˧$
囤	dən˩˧$
囥	kʰɑ̃˦˦˥$
囪	ʦʰoŋ˥˧$
囫	ɦuəʔ˨$
困	kʰuən˩˧$
囱	ʦʰoŋ˥˧$
围	ɦue˧˩$
固	ku˦˦˥$
国	kuəʔ˥$
图	du˧˩$
圆	jiø˧˩$
圈	ʨʰiø˥˧$
國	kuəʔ˥$
圍	ɦue˧˩$
圓	jiø˧˩$
圖	du˧˩$
土	tʰu˩˧$
在	zɛ˩˧$
圭	kue˥˧$
地	di˩˧$
场	zã˧˩$
址	ʦɿ˦˦˥$
均	ʨyən˥˧$
坍	tʰɛ˥˧$
坎	kʰø˩˧$
坏	ua˥˧$
坐	zu˩˧$
坑	kʰã˥˧$
块	kʰue˩˧$
坚	ʨie˥˧$
坛	dɛ˧˩$
坝	po˦˦˥$
坞	u˥˧$
坟	vən˧˩$
坠	zue˩˧$
坡	pʰu˥˧$
坤	kʰuən˥˧$
坯	pʰe˥˧$
坳	ɔ˥˧$
垂	zue˧˩$
型	jiən˧˩$
垒	le˩˧$
垢	kəɯ˥$
垣	jiø˧˩$
垦	kʰən˩˧$
垫	die˩˧$
垮	kʰo˥˧$
埂	kã˥$
埃	a˥˧$
埋	ma˧˩$
城	zən˧˩$
域	jyəʔ˨$
埠	bu˩˧$
埭	da˩˧$
執	ʦəʔ˥$
培	be˧˩$
基	ʨi˥˧$
堂	dɑ̃˧˩$
堅	ʨie˥˧$
堆	te˥˧$
堕	du˩˧$
堡	pɔ˥$
堤	di˥$
堪	kʰø˥˧$
堰	ie˦˦˥$
報	pɔ˦˦˥$
場	zã˧˩$
堵	tu˥$
塊	kʰue˩˧$
塌	tʰaʔ˥$
塑	soʔ˥$
塔	tʰaʔ˥$
塘	dɑ̃˧˩$
塞	səʔ˥$
塢	u˥˧$
填	die˧˩$
塵	zən˧˩$
境	ʨiən˩˧$
墅	zʮ˩˧$
墊	die˩˧$
墓	mo˩˧$
墜	zue˩˧$
增	ʦən˥˧$
墨	məʔ˨$
墩	tən˥˧$
墮	du˩˧$
墳	vən˧˩$
墾	kʰən˩˧$
壁	piəʔ˥$
壇	dɛ˧˩$
壑	hoʔ˥$
壓	aʔ˥$
壕	ɦɔ˧˩$
壞	ua˥˧$
壤	zã˩˧$
壩	po˦˦˥$
士	zɿ˩˧$
壬	ȵiən˧˩$
