㮸	soŋ˥$
疆	ʨiã˥˧$
疊	diəʔ˨$
疏	su˥˧$
疑	ȵi˧˩$
疔	tiən˥˧$
疗	liɔ˧˩$
疝	sɛ˥˧$
疤	po˥˧$
疥	ka˦˦˥$
疫	jioʔ˨$
疮	ʦʰɑ̃˥˧$
疯	foŋ˥˧$
疲	bi˥˧$
疵	ʦʰɿ˥˧$
疹	ʦən˦˦˥$
疼	dən˥$
疽	ʦy˥˧$
疾	ziəʔ˨$
病	biən˩˧$
症	ȵiaʔ˨$
痈	jioŋ˧˩$
痒	jiã˧˩$
痔	zɿ˩˧$
痕	ɦən˧˩$
痛	tʰoŋ˩˧$
痢	li˩˧$
痣	ʦɿ˦˦˥$
痰	dɛ˧˩$
痱	fi˥˧$
痳	mo˧˩$
痴	ʦʰɿ˥˧$
痹	bi˩˧$
瘋	foŋ˥˧$
瘟	uən˥˧$
瘡	ʦʰɑ̃˥˧$
瘤	ləɯ˧˩$
瘦	səɯ˦˦˥$
療	liɔ˧˩$
癝	liən˩˧$
癞	laʔ˨$
癡	ʦʰɿ˥˧$
癢	jiã˧˩$
癣	sie˥$
癩	laʔ˨$
癫	la˩˧$
癬	sie˥$
癲	la˩˧$
癸	gue˧˩$
登	tən˥˧$
發	faʔ˥$
白	bəʔ˨$
百	paʔ˥$
皂	zɔ˩˧$
的	tiəʔ˥$
皇	ɦuɑ̃˧˩$
皖	ø˥$
皮	bi˥˧$
皱	ʦəɯ˦˦˥$
皴	ʦʰən˥˧$
皺	ʦəɯ˦˦˥$
皿	miən˩˧$
盅	ʦoŋ˥˧$
盆	bən˧˩$
盈	jiən˧˩$
益	iəʔ˥$
盏	ʦɛ˦˦˥$
盐	jie˧˩$
监	kɛ˥˧$
盒	ɦaʔ˨$
盔	kʰue˥˧$
盖	kɛ˦˦˥$
盗	dɔ˩˧$
盘	bø˧˩$
盛	zən˧˩$
盜	dɔ˩˧$
盞	ʦɛ˦˦˥$
盡	ziən˩˧$
監	kɛ˥˧$
盤	bø˧˩$
目	moʔ˨$
盲	mã˧˩$
直	voʔ˨$
相	siã˦˦˥$
盼	pʰɛ˩˧$
盾	dən˩˧$
省	sã˥$
眉	me˧˩$
看	kʰø˩˧$
眍	kʰəɯ˥˧$
真	ʦən˥˧$
眠	mie˧˩$
眩	jiø˧˩$
眯	mi˥˧$
眷	ʨiø˦˦˥$
眸	məɯ˧˩$
眼	jie˩˧$
眾	ʦoŋ˦˦˥$
着	zaʔ˨$
睏	kʰuən˩˧$
睛	ziən˧˩$
睡	zue˩˧$
督	toʔ˥$
瞎	haʔ˥$
瞒	mø˧˩$
瞘	kʰəɯ˥˧$
瞞	mø˧˩$
瞬	sən˦˦˥$
瞭	liɔ˩˧$
瞳	doŋ˧˩$
瞻	ʦø˥˧$
瞿	ʥy˧˩$
矛	məɯ˧˩$
矢	sɿ˥˧$
知	ʦɿ˥˧$
矩	ʨy˥$
矫	ʨiɔ˥˧$
矬	zu˧˩$
短	tø˥$
矮	a˥$
矯	ʨiɔ˥˧$
石	zaʔ˨$
矾	vɛ˧˩$
矿	kʰuɑ̃˩˧$
码	mo˩˧$
砌	ʦʰi˩˧$
砍	kʰø˩˧$
砑	ŋa˦˦˥$
研	ȵie˥˧$
砖	ʦø˥˧$
砚	ȵie˩˧$
破	pʰu˦˦˥$
硝	siɔ˥˧$
硫	liəɯ˧˩$
硬	ŋã˩˧$
确	ʨʰioʔ˥$
硯	ȵie˩˧$
碍	ŋɛ˩˧$
碎	sue˦˦˥$
碑	pe˥˧$
碓	te˦˦˥$
碗	ø˥$
碧	piəʔ˥$
碱	kɛ˥$
確	ʨʰioʔ˥$
碼	mo˩˧$
碾	ȵie˩˧$
磁	zɿ˧˩$
磕	kʰəʔ˥$
磚	ʦø˥˧$
磨	mo˩˧$
磬	ʨʰiən˩˧$
磷	liən˧˩$
礙	ŋɛ˩˧$
礦	kʰuɑ̃˩˧$
礬	vɛ˧˩$
示	zɿ˩˧$
礼	li˩˧$
社	zo˩˧$
祀	zɿ˩˧$
祁	ʥi˧˩$
祖	ʦu˥$
祝	ʦoʔ˥$
祠	zɿ˧˩$
祥	iã˦˦˥$
票	pʰiɔ˥˧$
祭	ʦi˦˦˥$
祷	tɔ˥$
祸	ɦu˩˧$
祿	loʔ˨$
禁	ʨiən˩˧$
禄	loʔ˨$
禅	zø˧˩$
禍	ɦu˩˧$
福	foʔ˥$
禧	ɕi˥˧$
禪	zø˧˩$
禮	li˩˧$
禱	tɔ˥$
禹	y˥$
禽	ʥiən˧˩$
禾	ɦu˧˩$
禿	tʰoʔ˥$
秀	siəɯ˦˦˥$
私	sɿ˥˧$
秃	tʰoʔ˥$
秉	piən˥$
秋	ʦʰiəɯ˥˧$
种	ʦoŋ˦˦˥$
科	kʰu˥˧$
秒	miɔ˥$
秘	pi˦˦˥$
租	ʦu˥˧$
秤	kø˥$
秦	ziən˧˩$
秧	iã˥˧$
秩	zəʔ˨$
积	ʦiəʔ˥$
称	ʦʰən˥˧$
移	ji˧˩$
秽	ɦue˩˧$
稀	ɕi˥˧$
稅	sue˦˦˥$
程	zən˧˩$
稍	sɔ˦˦˥$
税	sue˦˦˥$
稗	ba˩˧$
稚	zɿ˩˧$
稠	zəɯ˧˩$
種	ʦoŋ˦˦˥$
稱	ʦʰən˥˧$
稳	uən˥$
稷	ʦiəʔ˥$
稻	dɔ˩˧$
稼	ka˦˦˥$
稽	ʨi˥˧$
稿	kɔ˥$
穄	ʦi˦˦˥$
穆	moʔ˨$
積	ʦiəʔ˥$
穗	zue˩˧$
穢	ɦue˩˧$
穩	uən˥$
究	ʨiəɯ˦˦˥$
穷	ʥioŋ˧˩$
穹	ʥioŋ˧˩$
空	kʰoŋ˩˧$
穿	ʦʰø˥˧$
突	dəʔ˨$
窄	ʦaʔ˥$
窍	ʨʰiɔ˩˧$
窑	jiɔ˧˩$
窖	kɔ˦˦˥$
窗	ʦʰɑ̃˥˧$
窘	ʨyən˥$
窜	ʦʰø˩˧$
窝	u˥˧$
窟	kʰuəʔ˥$
窠	kʰu˥˧$
窥	kʰue˥˧$
窨	iən˦˦˥$
窩	u˥˧$
窮	ʥioŋ˧˩$
窯	jiɔ˧˩$
窺	kʰue˥˧$
竄	ʦʰø˩˧$
竅	ʨʰiɔ˩˧$
竈	ʦɔ˦˦˥$
立	liəʔ˨$
竖	zʮ˩˧$
站	zɛ˩˧$
竟	ʥiən˩˧$
章	ʦã˥˧$
童	doŋ˧˩$
端	tø˥˧$
竹	ʦoʔ˥$
竿	kø˥˧$
笃	toʔ˥$
笊	ʦa˥$
笋	sən˥$
笑	siɔ˦˦˥$
笔	piəʔ˥$
笙	sã˥˧$
笛	diəʔ˨$
笡	ʦʰia˩˧$
符	vu˧˩$
笨	bən˩˧$
第	di˩˧$
笺	ʦie˥˧$
笼	loŋ˧˩$
筆	piəʔ˥$
等	tən˥$
筋	ʨiən˥˧$
筍	sən˥$
筏	vaʔ˨$
筐	kʰɑ̃˥˧$
筑	ʦoʔ˥$
筒	doŋ˧˩$
答	təʔ˥$
策	ʦʰaʔ˥$
筛	sa˥˧$
筝	ʦən˥˧$
筷	kʰuɛ˥˧$
签	ʦʰie˥˧$
简	kɛ˥$
箋	ʦie˥˧$
箍	ku˥˧$
箏	ʦən˥˧$
算	sø˦˦˥$
管	kø˥$
箫	siɔ˥˧$
箬	ȵiaʔ˨$
箭	ʦie˩˧$
箱	siã˥˧$
箴	miəʔ˨$
節	ʦiəʔ˥$
範	vɛ˩˧$
篆	zø˩˧$
篇	pʰie˥˧$
築	ʦoʔ˥$
篝	zəɯ˧˩$
篡	ʦʰø˩˧$
篤	toʔ˥$
篩	sa˥˧$
篮	lɛ˧˩$
篷	boŋ˧˩$
簟	die˩˧$
簡	kɛ˥$
簪	ʦø˥˧$
簫	siɔ˥˧$
簸	pu˦˦˥$
簽	ʦʰie˥˧$
簾	lie˧˩$
簿	bu˩˧$
籃	lɛ˧˩$
籍	ziəʔ˨$
籠	loŋ˧˩$
籴	diəʔ˨$
类	le˩˧$
粉	fən˥$
粒	liəʔ˨$
粗	ʦʰu˥˧$
粟	soʔ˥$
粤	ioʔ˥$
粥	ʦoʔ˥$
粪	fən˦˦˥$
粮	liã˨$
粱	liã˨$
粵	ioʔ˥$
粹	zue˩˧$
粽	ʦoŋ˦˦˥$
精	ʦiən˥˧$
糕	kɔ˥˧$
糖	dɑ̃˧˩$
糙	ʦʰɔ˦˦˥$
糜	mi˧˩$
糞	fən˦˦˥$
糟	ʦɔ˥˧$
糠	kʰɑ̃˥˧$
糧	liã˨$
糯	nu˩˧$
系	ʨi˦˦˥$
糾	ʨiəɯ˥˧$
紀	ʨi˥$
紂	zəɯ˩˧$
約	iaʔ˥$
紅	ɦoŋ˧˩$
紋	vən˧˩$
納	nəʔ˨$
紐	ȵiəɯ˩˧$
純	zən˧˩$
紗	so˥˧$
紙	ʦɿ˥$
級	ʨiəʔ˥$
紛	fən˥˧$
紝	zən˩˧$
素	su˦˦˥$
紡	fɑ̃˥$
索	soʔ˥$
紧	ʨiən˥$
紫	ʦɿ˥$
紮	ʦaʔ˥$
累	le˩˧$
細	si˦˦˥$
紹	zɔ˩˧$
終	ʦoŋ˥˧$
組	ʦu˥$
結	ʨiəʔ˥$
絕	ziəʔ˨$
絞	kɔ˥$
絡	loʔ˨$
給	ʨiəʔ˥$
絨	ȵioŋ˧˩$
絮	sy˦˦˥$
統	tʰoŋ˩˧$
絲	sɿ˥˧$
絹	ʨiø˦˦˥$
綁	pɑ̃˥$
綏	sue˥˧$
經	ʨiən˩˧$
綜	ʦoŋ˥˧$
綠	loʔ˨$
綢	zəɯ˧˩$
維	vi˧˩$
綱	kɑ̃˥˧$
綴	ʦue˦˦˥$
綻	zɛ˩˧$
綽	ʦʰaʔ˥$
綿	mie˧˩$
緊	ʨiən˥$
緒	zy˩˧$
線	sie˦˦˥$
緝	ʦʰiəʔ˥$
緞	dø˩˧$
緣	jiø˧˩$
編	pie˥˧$
緩	ø˥$
緬	mie˩˧$
緯	ɦue˩˧$
練	lie˩˧$
縐	ʦəɯ˦˦˥$
縛	voʔ˨$
縫	voŋ˧˩$
縮	soʔ˥$
縱	ʦoŋ˦˦˥$
縷	ly˩˧$
總	ʦoŋ˥$
績	ʦiəʔ˥$
繁	vɛ˧˩$
織	ʦəʔ˥$
繞	zɔ˩˧$
繡	siəɯ˦˦˥$
繩	zən˧˩$
繪	ɦue˩˧$
繭	ʨie˥$
繰	ʦʰiɔ˥˧$
繼	ʨi˦˦˥$
纂	ʦʰø˩˧$
續	zoʔ˨$
纏	zø˩˧$
纓	iən˥˧$
纖	ʦʰie˥˧$
纠	ʨiəɯ˥˧$
红	ɦoŋ˧˩$
纣	zəɯ˩˧$
纤	ʦʰie˥˧$
约	iaʔ˥$
级	ʨiəʔ˥$
纪	ʨi˥$
纬	ɦue˩˧$
纯	zən˧˩$
纱	so˥˧$
纲	kɑ̃˥˧$
纳	nəʔ˨$
纴	zən˩˧$
纵	ʦoŋ˦˦˥$
纷	fən˥˧$
纸	ʦɿ˥$
纹	vən˧˩$
纺	fɑ̃˥$
纽	ȵiəɯ˩˧$
线	sie˦˦˥$
练	lie˩˧$
组	ʦu˥$
细	si˦˦˥$
织	ʦəʔ˥$
终	ʦoŋ˥˧$
绉	ʦəɯ˦˦˥$
绍	zɔ˩˧$
经	ʨiən˩˧$
绑	pɑ̃˥$
绒	ȵioŋ˧˩$
结	ʨiəʔ˥$
绕	zɔ˩˧$
绘	ɦue˩˧$
给	ʨiəʔ˥$
络	loʔ˨$
绝	ziəʔ˨$
绞	kɔ˥$
统	tʰoŋ˩˧$
绢	ʨiø˦˦˥$
绣	siəɯ˦˦˥$
绥	sue˥˧$
继	ʨi˦˦˥$
绩	ʦiəʔ˥$
绪	zy˩˧$
续	zoʔ˨$
绰	ʦʰaʔ˥$
绳	zən˧˩$
维	vi˧˩$
绵	mie˧˩$
绸	zəɯ˧˩$
综	ʦoŋ˥˧$
绽	zɛ˩˧$
绿	loʔ˨$
缀	ʦue˦˦˥$
缅	mie˩˧$
缉	ʦʰiəʔ˥$
缎	dø˩˧$
缓	ø˥$
缕	ly˩˧$
编	pie˥˧$
缘	jiø˧˩$
缚	voʔ˨$
缝	voŋ˧˩$
缠	zø˩˧$
缨	iən˥˧$
缩	soʔ˥$
缲	ʦʰiɔ˥˧$
缸	kɑ̃˥˧$
缺	ʨʰioʔ˥$
罐	kø˦˦˥$
罕	hø˥$
罗	lu˧˩$
罚	vaʔ˨$
罢	ba˩˧$
罩	ʦɔ˦˦˥$
罪	zue˩˧$
置	ʦɿ˦˦˥$
罰	vaʔ˨$
罵	mo˩˧$
罷	ba˩˧$
羁	ʨi˥˧$
羅	lu˧˩$
羈	ʨi˥˧$
羊	jiã˧˩$
羌	ʨʰiã˥˧$
美	me˩˧$
羔	kɔ˥˧$
羞	siəɯ˥˧$
羡	zie˩˧$
群	ʥyən˧˩$
羨	zie˩˧$
義	ȵi˩˧$
羹	kã˥˧$
羽	y˥$
翁	oŋ˥˧$
翅	ʦʰɿ˩˧$
習	ziəʔ˨$
翠	ʦʰue˩˧$
翰	ɦø˩˧$
翻	fɛ˥˧$
翼	jiəʔ˨$
耀	jiɔ˩˧$
老	la˥˧$
考	kʰɔ˦˦˥$
耆	ʥi˧˩$
耐	nɛ˩˧$
耕	kã˥˧$
耗	hɔ˦˦˥$
耳	ȵi˩˧$
耻	ʦʰɿ˩˧$
耽	tɛ˥˧$
耿	kã˥$
聂	ȵiəʔ˨$
聊	liɔ˧˩$
聋	loŋ˧˩$
职	ʦəʔ˥$
联	lie˧˩$
聞	mən˧˩$
聪	ʦʰoŋ˥˧$
聯	lie˧˩$
聰	ʦʰoŋ˥˧$
聲	sən˥˧$
聶	ȵiəʔ˨$
職	ʦəʔ˥$
聽	tʰiən˩˧$
聾	loŋ˧˩$
肃	soʔ˥$
肄	ji˧˩$
肅	soʔ˥$
肆	sɿ˦˦˥$
肇	pʰɛ$
肉	ȵioʔ˨$
肋	ləʔ˨$
肌	ʨi˥˧$
肘	ʦəɯ˥$
肚	du˩˧$
肛	kɑ̃˥˧$
肝	kø˥˧$
肠	zã˧˩$
股	ku˥$
肢	ʦɿ˥˧$
肤	fu˥˧$
肥	vi˧˩$
肩	ʨie˥˧$
肪	fɑ̃˥˧$
肫	ʦən˥˧$
肯	kʰən˩˧$
育	jioʔ˨$
肴	jiɔ˧˩$
肺	fi˦˦˥$
肾	zən˩˧$
胁	ɕiəʔ˥$
胃	ɦue˩˧$
胆	tɛ˥$
背	pe˦˦˥$
胎	tʰɛ˥˧$
胖	pʰɑ̃˩˧$
胚	pʰe˥˧$
胛	kaʔ˥$
胜	sən˦˦˥$
胞	pɔ˥˧$
胡	ɦu˧˩$
胥	sy˥˧$
胳	koʔ˥$
胶	kɔ˥˧$
脂	ʦɿ˥˧$
脅	ɕiəʔ˥$
脆	ʦʰue˩˧$
脈	maʔ˨$
脉	maʔ˨$
脊	ʦiəʔ˥$
脏	zɑ̃˩˧$
脐	zi˧˩$
脑	nɔ˩˧$
脓	loŋ˧˩$
脚	ʨiaʔ˥$
脫	tʰəʔ˥$
脯	bu˧˩$
脱	tʰəʔ˥$
脶	lu˧˩$
脸	lie˩˧$
脾	bi˥˧$
腊	laʔ˨$
腌	ie˥˧$
腎	zən˩˧$
腐	vu˩˧$
腑	fu˥$
腔	ʨʰiã˥˧$
腕	ø˦˦˥$
腡	lu˧˩$
腥	siən˥˧$
腦	nɔ˩˧$
腮	sɛ˥˧$
腰	iɔ˥˧$
腱	ʥie˧˩$
腳	ʨiaʔ˥$
腸	zã˧˩$
腹	foʔ˥$
腻	ȵi˩˧$
腾	dən˥$
腿	tʰe˩˧$
膏	kɔ˥˧$
膘	piɔ˥$
膚	fu˥˧$
膜	moʔ˨$
膝	siəʔ˥$
膠	kɔ˥˧$
膩	ȵi˩˧$
膽	tɛ˥$
膿	loŋ˧˩$
臀	dən˥$
臂	pi˦˦˥$
臆	i˦˦˥$
臉	lie˩˧$
臍	zi˧˩$
臘	laʔ˨$
臟	zɑ̃˩˧$
臣	zən˧˩$
臥	ŋu˩˧$
臧	ʦɑ̃˥˧$
臨	liən˧˩$
臭	ɕiəɯ˦˦˥$
至	ʦɿ˦˦˥$
致	ʦɿ˦˦˥$
臺	dɛ˧˩$
臻	ʦən˥˧$
臼	ʥiəɯ˩˧$
舀	jiɔ˩˧$
舂	ʦʰoŋ˥˧$
舅	ʥiəɯ˩˧$
興	ɕiən˥˧$
舉	ʨy˥$
舊	ʥiəɯ˩˧$
舍	so˩˧$
舔	tʰie˩˧$
舛	ʦʰø˩˧$
舜	sən˦˦˥$
舞	vu˩˧$
舟	ʦəɯ˥˧$
航	ɦɑ̃˧˩$
般	pø˥˧$
舰	kʰɛ˩˧$
船	zø˧˩$
艇	tʰiən˩˧$
艦	kʰɛ˩˧$
良	liã˨$
艰	kɛ˥˧$
艱	kɛ˥˧$
色	səʔ˥$
艳	jie˩˧$
艺	ȵi˩˧$
艾	ŋɛ˩˧$
节	ʦiəʔ˥$
芋	y˦˦˥$
芍	zaʔ˨$
芒	mɑ̃˧˩$
芝	ʦɿ˥˧$
芥	ka˦˦˥$
芬	fən˥˧$
芭	po˥˧$
花	ho˥˧$
芳	fɑ̃˥˧$
芹	ʥiən˧˩$
芽	jia˧˩$
苇	ɦue˩˧$
苋	hɛ˥˧$
苍	ʦʰɑ̃˥˧$
苎	zʮ˩˧$
苏	su˥˧$
苔	tʰɛ˥˧$
苗	miɔ˧˩$
苟	kəɯ˥$
若	zaʔ˨$
苦	kʰu˥$
苧	zʮ˩˧$
英	iən˥˧$
茂	məɯ˩˧$
范	vɛ˩˧$
茄	ga˧˩$
茧	ʨie˥$
茫	mɑ̃˧˩$
茲	ʦɿ˥˧$
茶	zo˧˩$
茸	zoŋ˧˩$
荀	siən˥˧$
荆	ʨiən˥˧$
草	ziən˩˧$
荊	ʨiən˥˧$
荐	ʦie˩˧$
荒	huɑ̃˥˧$
荞	ʥiɔ˧˩$
荠	zi˧˩$
荡	dɑ̃˩˧$
荣	jioŋ˧˩$
荤	huən˥˧$
荫	iən˥˧$
药	jiaʔ˨$
荷	ɦu˧˩$
莊	ʦɑ̃˥˧$
莠	jiəɯ˩˧$
莧	hɛ˥˧$
莫	moʔ˨$
莲	lie˧˩$
获	ɦoʔ˨$
莹	jioŋ˧˩$
莼	zən˧˩$
莽	mɑ̃˩˧$
菊	ʨioʔ˥$
菌	ʨʰyən˩˧$
菖	ʦʰã˥˧$
菜	ʦʰɛ˩˧$
菩	bu˧˩$
華	ɦo˧˩$
菱	liən˧˩$
萄	dɔ˧˩$
萌	mən˧˩$
萍	biən˧˩$
萎	ue˥˧$
萝	lu˧˩$
萤	jioŋ˧˩$
营	jiən˧˩$
萧	siɔ˥˧$
萬	mɛ˩˧$
落	loʔ˨$
葉	jiəʔ˨$
著	zaʔ˨$
葚	zən˩˧$
葛	kəʔ˥$
董	toŋ˥$
葦	ɦue˩˧$
葬	ʦɑ̃˦˦˥$
葱	ʦʰoŋ˥˧$
葵	gue˧˩$
葷	huən˥˧$
蒋	ʦiã˥$
蒙	moŋ˧˩$
蒲	bu˧˩$
蒸	ʦən˥˧$
蒼	ʦʰɑ̃˥˧$
蒿	hɔ˥˧$
蓄	ɕioʔ˥$
蓋	kɛ˦˦˥$
蓑	su˥˧$
蓝	lɛ˧˩$
蓬	boŋ˧˩$
蓮	lie˧˩$
蓴	zən˧˩$
蔗	ʦo˥˧$
蔡	ʦʰa˩˧$
蔣	ʦiã˥$
蔥	ʦʰoŋ˥˧$
蔫	ie˥˧$
蔬	su˥˧$
蔭	iən˥˧$
蔽	bi˩˧$
蕈	ziən˩˧$
蕊	zue˩˧$
蕎	ʥiɔ˧˩$
蕩	dɑ̃˩˧$
蕭	siɔ˥˧$
薄	boʔ˨$
薇	vi˧˩$
薑	ʨiã˥˧$
薛	siəʔ˥$
薦	ʦie˩˧$
薪	siən˥˧$
薯	zʮ˩˧$
薰	ɕyən˥˧$
薹	dɛ˧˩$
薺	zi˧˩$
藉	ziəʔ˨$
藍	lɛ˧˩$
藏	zɑ̃˩˧$
藐	miɔ˥$
藕	ŋəɯ˩˧$
藝	ȵi˩˧$
藤	dən˥$
藥	jiaʔ˨$
藩	vɛ˧˩$
蘇	su˥˧$
蘭	lɛ˧˩$
蘸	ʦɛ˦˦˥$
蘿	lu˧˩$
虎	hu˥$
虏	lu˩˧$
虐	ȵiaʔ˨$
虑	ly˩˧$
處	ʦʰʮ˩˧$
虚	ɕy˥˧$
虛	ɕy˥˧$
虜	lu˩˧$
虞	ȵy˧˩$
號	ɦɔ˧˩$
虢	kuaʔ˥$
虧	kʰue˥˧$
虫	zoŋ˧˩$
虱	səʔ˥$
虹	hoŋ˥˧$
虽	sue˥˧$
虾	ɕia˥˧$
蚀	zəʔ˨$
蚁	ȵi˩˧$
蚊	mən˧˩$
蚌	bã˩˧$
蚕	zø˧˩$
蚤	ʦɔ˥$
蚶	hø˥˧$
蛆	ʦy˥˧$
蛋	dɛ˩˧$
蛏	ʦʰən˩˧$
蛙	o˥˧$
蛛	ʦʮ˥˧$
蛤	kəʔ˥$
蛮	mɛ˧˩$
蛰	zəʔ˨$
蜀	zoʔ˨$
蜂	foŋ˥˧$
蜒	diən˧˩$
蜗	ko˥˧$
蜜	miəʔ˨$
蜡	laʔ˨$
蜮	jioʔ˨$
蜻	siən˥˧$
蝇	iən˥˧$
蝉	zø˧˩$
蝎	ɕiəʔ˥$
蝕	zəʔ˨$
蝗	ɦuɑ̃˧˩$
蝙	pie˥˧$
蝟	ɦue˩˧$
蝠	foʔ˥$
蝦	ɕia˥˧$
蝶	diəʔ˨$
蝸	ko˥˧$
融	jioŋ˧˩$
螟	miən˩˧$
螳	dɑ̃˧˩$
螺	lu˧˩$
蟆	mo˧˩$
蟢	ɕi˥$
蟬	zø˧˩$
蟲	zoŋ˧˩$
蟶	ʦʰən˩˧$
蟹	ha˥$
蟻	ȵi˩˧$
蟾	zø˧˩$
蠅	iən˥˧$
蠟	laʔ˨$
蠢	ʦʰən˩˧$
蠶	zø˧˩$
蠻	mɛ˧˩$
血	ɕioʔ˥$
衅	ɕiən˦˦˥$
行	ɦã˧˩$
術	zəʔ˨$
衔	ŋɛ˧˩$
街	ka˥˧$
衙	ŋa˧˩$
衛	ɦue˧˩$
衝	ʦʰoŋ˥˧$
衡	ɦən˧˩$
衣	i˥˧$
表	piɔ˥$
衫	sɛ˥˧$
袁	jiø˧˩$
袄	ɔ˥$
袋	dɛ˩˧$
袖	ziəɯ˩˧$
袭	ziəʔ˨$
裁	zɛ˧˩$
裂	liəʔ˨$
装	ʦɑ̃˥˧$
裏	li˩˧$
裕	jy˩˧$
裙	ʥyən˧˩$
裝	ʦɑ̃˥˧$
裡	li˩˧$
裤	kʰu˩˧$
裨	be˧˩$
裱	piɔ˥$
裳	zã˧˩$
裴	be˧˩$
裸	lu˩˧$
裹	ku˥$
複	foʔ˥$
褒	pəɯ˥˧$
褚	ʦʰɿ˩˧$
褥	ȵioʔ˨$
褲	kʰu˩˧$
襄	siã˥˧$
襖	ɔ˥$
襟	ʨiən˥˧$
襲	ziəʔ˨$
西	si˥˧$
要	iɔ˦˦˥$
覅	fiɔ˥˧$
覆	foʔ˥$
見	ʨie˦˦˥$
規	kue˥˧$
視	zɿ˩˧$
親	ʦʰiən˥˧$
覺	kɔ˦˦˥$
覽	lɛ˦˦˥$
觀	kø˦˦˥$
见	ʨie˦˦˥$
观	kø˦˦˥$
规	kue˥˧$
视	zɿ˩˧$
览	lɛ˦˦˥$
觉	kɔ˦˦˥$
角	koʔ˥$
触	ʦʰoʔ˥$
觸	ʦʰoʔ˥$
言	jie˧˩$
訂	tiən˦˦˥$
訇	hoŋ˥˧$
計	ʨi˦˦˥$
訊	siən˦˦˥$
討	tʰɔ˦˦˥$
訓	ɕyən˦˦˥$
訕	sɛ˥˧$
訖	ʨʰiəʔ˥$
記	ʨi˦˦˥$
訛	ŋu˧˩$
訟	zoŋ˩˧$
訣	ʨioʔ˥$
訪	fɑ̃˥$
設	səʔ˥$
許	he˥$
訴	su˦˦˥$
診	ʦən˦˦˥$
詐	ʦo˦˦˥$
詔	ʦɔ˦˦˥$
評	biən˧˩$
詞	zɿ˧˩$
詢	siən˥˧$
詣	ȵi˩˧$
試	sɿ˦˦˥$
詩	sɿ˥˧$
詫	ʦʰo˩˧$
詭	kue˦˦˥$
該	kɛ˥˧$
詳	ziã˧˩$
詼	hue˥˧$
誅	ʦʮ˥˧$
誇	kʰo˥˧$
誉	jy˩˧$
誊	dən˥$
誌	ʦɿ˦˦˥$
認	zən˩˧$
誒	e˥˧$
誓	zɿ˩˧$
誘	jiəɯ˩˧$
語	ȵy˩˧$
誠	zən˧˩$
誣	vu˧˩$
誤	ŋu˩˧$
誦	zoŋ˩˧$
說	sue˦˦˥$
誰	zue˧˩$
課	kʰu˩˧$
誼	ȵi˩˧$
調	diɔ˧˩$
談	dɛ˧˩$
請	ʦʰiən˩˧$
諒	liã˩˧$
論	lən˧˩$
諜	diəʔ˨$
諫	ʨie˦˦˥$
諮	ʦɿ˥˧$
諱	ɦue˩˧$
諷	foŋ˦˦˥$
諸	ʦʮ˥˧$
諺	jie˩˧$
諾	noʔ˨$
謀	məɯ˧˩$
謁	ɛ˦˦˥$
謂	ɦue˩˧$
謊	huɑ̃˥$
謔	ȵiaʔ˨$
謗	pɑ̃˥$
謙	ʨʰie˥˧$
講	kɑ̃˥$
謝	zia˩˧$
謠	jiɔ˧˩$
謳	əɯ˥˧$
謹	ʨiən˥$
證	ʦən˦˦˥$
譏	ʨi˥˧$
識	səʔ˥$
譚	dø˥$
警	ʨiən˩˧$
譬	pʰi˥˧$
譯	jiəʔ˨$
議	ȵi˩˧$
護	ɦu˩˧$
譽	jy˩˧$
讀	doʔ˨$
變	pie˦˦˥$
讒	zɛ˧˩$
讓	zã˩˧$
计	ʨi˦˦˥$
订	tiən˦˦˥$
认	zən˩˧$
讥	ʨi˥˧$
讨	tʰɔ˦˦˥$
让	zã˩˧$
讪	sɛ˥˧$
讫	ʨʰiəʔ˥$
训	ɕyən˦˦˥$
议	ȵi˩˧$
讯	siən˦˦˥$
记	ʨi˦˦˥$
讲	kɑ̃˥$
讳	ɦue˩˧$
讴	əɯ˥˧$
许	he˥$
讹	ŋu˧˩$
论	lən˧˩$
讼	zoŋ˩˧$
讽	foŋ˦˦˥$
设	səʔ˥$
访	fɑ̃˥$
诀	ʨioʔ˥$
证	ʦən˦˦˥$
评	biən˧˩$
识	səʔ˥$
诈	ʦo˦˦˥$
诉	su˦˦˥$
诊	ʦən˦˦˥$
词	zɿ˧˩$
诏	ʦɔ˦˦˥$
译	jiəʔ˨$
试	sɿ˦˦˥$
诗	sɿ˥˧$
诙	hue˥˧$
诚	zən˧˩$
诛	ʦʮ˥˧$
诡	kue˦˦˥$
询	siən˥˧$
诣	ȵi˩˧$
该	kɛ˥˧$
详	ziã˧˩$
诧	ʦʰo˩˧$
诬	vu˧˩$
语	ȵy˩˧$
误	ŋu˩˧$
诱	jiəɯ˩˧$
说	sue˦˦˥$
诵	zoŋ˩˧$
诶	e˥˧$
请	ʦʰiən˩˧$
诸	ʦʮ˥˧$
诺	noʔ˨$
读	doʔ˨$
课	kʰu˩˧$
谁	zue˧˩$
调	diɔ˧˩$
谅	liã˩˧$
谈	dɛ˧˩$
谊	ȵi˩˧$
谋	məɯ˧˩$
谍	diəʔ˨$
谎	huɑ̃˥$
谏	ʨie˦˦˥$
谑	ȵiaʔ˨$
谒	ɛ˦˦˥$
谓	ɦue˩˧$
谗	zɛ˧˩$
谚	jie˩˧$
