㞘底	toʔ˥ ti˥˧
七月半	ʨʰiəʔ˥ ɦiəʔ˥ puõ˥
七窜八跳	ʨʰiəʔ˥ ʦʰʮõ˥ pɑʔ˥ tʰiɔ˥
七竄八跳	ʨʰiəʔ˥ ʦʰʮõ˥ pɑʔ˥ tʰiɔ˥
七紫三羊	ʨʰiəʔ˥ ʦɿ˥˧ sɛ̃˧ ɦiɑŋ˨˩˧
七老八十	ʨʰiəʔ˥ lɔ˥˧ pɑʔ˥ zəʔ˥
七號	ʨʰiəʔ˥ ɦɔ˩˧
七長八短	ʨʰiəʔ˥ ʣɑŋ˧˩ pɑʔ˥ tuõ˥˧
七长八短	ʨʰiəʔ˥ ʣɑŋ˧˩ pɑʔ˥ tuõ˥˧
七顛八倒	ʨʰiəʔ˥ tiɛ̃˧ pɑʔ˥ tɔ˥
七颠八倒	ʨʰiəʔ˥ tiɛ̃˧ pɑʔ˥ tɔ˥
七高八低	ʨʰiəʔ˥ kɔ˧ pɑʔ˥ ti˧
万	vɛ̃˩˧
万子	vɛ̃˩˧ ʦɿ˥˧
万宝全书	vɛ̃˩˧ pø˥˧ ʥyõ˧˩ sʮ˧
万年青	vɛ̃˩˧ niɛ̃˥˧ ʨʰin˧˩
万花筒	vɛ̃˩˧ huɑ˥˧ doŋ˧˩
万金油	vɛ̃˩˧ ʨin˥˧ ɦiø˧˩
丈	ʣɑŋ˩˧
丈人老头儿	ʣɑŋ˩˧ zen˥˧ lɔ˩˧ dei əl
丈人老頭兒	ʣɑŋ˩˧ zen˥˧ lɔ˩˧ dei əl
丈夫	ʣɑŋ˩˧ fu˥˧
丈姆娘	ʣɑŋ˩˧ m˥˧ niɑŋ˧˩
丈姆家	ʣɑŋ˩˧ m˥˧ ʨiɑ˧˩
三	sɛ̃˧
三三两两	sɛ̃˧ sɛ̃˧ liɑŋ˥˧ liɑŋ˧˩
三三兩兩	sɛ̃˧ sɛ̃˧ liɑŋ˥˧ liɑŋ˧˩
三九	sɛ̃˧ ʨiø˥˧
三伏天	sɛ̃˧ voʔ˥ tʰiɛ̃˧
三分三	sɛ̃˧ fen˧ sɛ̃˧
三十	sɛ̃˧ zəʔ˥
三十一	sɛ̃˧ zəʔ˥ ʔiəʔ˥
三只手	sɛ̃˧ ʦɑʔ˥ sei˥˧
三号	sɛ̃˧ ɦɔ˧
三块板儿两条缝	sɛ̃˧ kʰui˧ pɛ̃˥˧ əl˧˩ liɑŋ˥˧ diɔ˧˩ voŋ˩˧
三塊板兒兩條縫	sɛ̃˧ kʰui˧ pɛ̃˥˧ əl˧˩ liɑŋ˥˧ diɔ˧˩ voŋ˩˧
三头六臂	sɛ̃˧ dei˧ loʔ˨ pi˥
三对六面	sɛ̃˧ tui˥ loʔ˨ miɛ̃˩˧
三對六面	sɛ̃˧ tui˥ loʔ˨ miɛ̃˩˧
三年两年	sɛ̃˧ niɛ̃˧ liɑŋ˥˧ niɛ̃˧˩
三年五載	sɛ̃˧ niɛ̃˧ ʔu˥˧ ʦɛ˧˩
三年五载	sɛ̃˧ niɛ̃˧ ʔu˥˧ ʦɛ˧˩
三年兩年	sɛ̃˧ niɛ̃˧ liɑŋ˥˧ niɛ̃˧˩
三心二意	sɛ̃˧ ɕin˧ əl˥ ʔi˥
三斗桌	sɛ̃˧ tei˥˧ ʦoʔ˥
三日两头	sɛ̃˧ zəʔ˥ liɑŋ˥˧ dei
三日兩頭	sɛ̃˧ zəʔ˥ liɑŋ˥˧ dei
三朝	sɛ̃˧ ʦɔ˧
三枪儿	sɛ̃˧ ʨʰiɑŋ˧ əl˧
三槍兒	sɛ̃˧ ʨʰiɑŋ˧ əl˧
三潭印月	sɛ̃˧ dɛ̃˧ ʔin˥ ɦiəʔ˨
三点水	sɛ̃˧ tiɛ̃˥˧ sʮei˧˩
三番两次	sɛ̃˧ fɛ̃˧ liɑŋ˥˧ ʦʰɿ˧˩
三番五次	sɛ̃˧ fɛ̃˧ ʔu˥˧ ʦʰɿ˧˩
三番兩次	sɛ̃˧ fɛ̃˧ liɑŋ˥˧ ʦʰɿ˧˩
三百十	sɛ̃˧ pɑʔ˥ zəʔ˨
三脚猫	sɛ̃˧ ʨiɑʔ˥ mɔ˧
三腳貓	sɛ̃˧ ʨiɑʔ˥ mɔ˧
三號	sɛ̃˧ ɦɔ˧
三角板	sɛ̃˧ koʔ˥ pɛ̃˥˧
三角裤	sɛ̃˧ koʔ˥ kʰu˧
三角褲	sɛ̃˧ koʔ˥ kʰu˧
三言两语	sɛ̃˧ ɦiɛ̃˧ liɑŋ˥˧ ʔy˧˩
三言兩語	sɛ̃˧ ɦiɛ̃˧ liɑŋ˥˧ ʔy˧˩
三輪卡	sɛ̃˧ len˧ kʰɑ˥˧
三輪車	sɛ̃˧ len˧ ʦʰʮei˧
三輪車夫	sɛ̃˧ len˧ ʦʰʮei˧ fu˧
三轮卡	sɛ̃˧ len˧ kʰɑ˥˧
三轮车	sɛ̃˧ len˧ ʦʰʮei˧
