㞘底	toʔ˥ ti˥˧
盤纏	buõ˧˩ ʣɛ̃˩˧
盤點	buõ˧˩ tiɛ̃˥˧
盧	lu˨˩˧
盪	dɑŋ˩˧
目	moʔ˨
盯	tin˧
盯牢	tin˧ lɔ˧
盲	mɑŋ˨˩˧
盲肠	mɑŋ˧˩ ʣɑŋ˩˧
盲肠炎	mɑŋ˧˩ ʣɑŋ˩˧ ɦiɛ̃˨˩˧
盲腸	mɑŋ˧˩ ʣɑŋ˩˧
盲腸炎	mɑŋ˧˩ ʣɑŋ˩˧ ɦiɛ̃˨˩˧
直	ʣəʔ˨
直对面	ʣəʔ˨ tui˥ miɛ̃˧˩
直對面	ʣəʔ˨ tui˥ miɛ̃˧˩
直拢统	ʣəʔ˨ loŋ˥˧ tʰoŋ˧˩
直攏統	ʣəʔ˨ loŋ˥˧ tʰoŋ˧˩
直淌淌	ʣəʔ˨ tʰɑŋ˥˧ tʰɑŋ˧˩
直直	ʣəʔ˨ ʣəʔ˨
直統裙	ʣəʔ˨ tʰoŋ˥˧ ʥyn˧˩
直统裙	ʣəʔ˨ tʰoŋ˥˧ ʥyn˧˩
相	ɕiɑŋ˥
相亲	ɕiɑŋ˥ ʨʰin˧
相信	ɕiɑŋ˧ ɕin˧
相信你个萝卜	ɕiɑŋ˧ ɕin˧ ni˥˧ koʔ˥ lo˧˩ boʔ˨
相信你個蘿蔔	ɕiɑŋ˧ ɕin˧ ni˥˧ koʔ˥ lo˧˩ boʔ˨
相公	ɕiɑŋ˥ koŋ˧˩
相帮	ɕiɑŋ˧ pɑŋ˧
相幫	ɕiɑŋ˧ pɑŋ˧
相思树	ɕiɑŋ˧ sɿ˧ zʮ˩˧
相思樹	ɕiɑŋ˧ sɿ˧ zʮ˩˧
相思病	ɕiɑŋ˧ sɿ˧ bin˧
相親	ɕiɑŋ˥ ʨʰin˧
相貌儿	ɕiɑŋ˥ mɔ˧˩ əl˧˩
相貌兒	ɕiɑŋ˥ mɔ˧˩ əl˧˩
盼	pʰᴇ̃˦˦˥
盾	den˩˧
盾头	den˩˧ dei
盾頭	den˩˧ dei
省	sen˥˧
省价点儿	sen˥˧ kɑ˧˩ tiɛ̃˥˧ əl˧˩
省價點兒	sen˥˧ kɑ˧˩ tiɛ̃˥˧ əl˧˩
省力	sen˥˧ liəʔ˥
省得	sen˥˧ tɛ
眉	mei˨˩˧
眉头	mi˧˩ dei
眉毛	mi˧˩ mɔ˥˧
眉毛鉗兒	mi˧˩ mɔ˥˧ ʥiɛ̃˧˩ əl˥˦
眉毛钳儿	mi˧˩ mɔ˥˧ ʥiɛ̃˧˩ əl˥˦
眉笔	mi˧˩ piəʔ˥
眉筆	mi˧˩ piəʔ˥
眉頭	mi˧˩ dei
看	kɛ̃˥
看不穿	kɛ̃˥ pəʔ˥ ʦʰʮõ˧˩
看不起	kɛ̃˥ pəʔ˥ ʨʰi˥˧
看人	kɛ̃˥ zen˨˩˧
看伢儿	kɛ̃˥ ɦiɑ˧˩ əl˧˩
看伢兒	kɛ̃˥ ɦiɑ˧˩ əl˧˩
看医生	kɛ̃˥ ʔi˧ sen˧
看头	kɛ̃˥ dei
看客	kɛ̃˥ kʰɑʔ˥
看家	kɛ̃˥ ʨiɑ˧
看得起	kɛ̃˥ təʔ ʨʰi˥˧
看毛病	kɛ̃˥ mɔ˧˩ bin˩˧
看牛牧童	kɛ̃˥ niø˧˩ moʔ˨ doŋ˩˧
看白戏	kɛ̃˥ bɑʔ˨ ɕi˥
看白戲	kɛ̃˥ bɑʔ˨ ɕi˥
看相	kɛ̃˥ ɕiɑŋ˧˩
看相先生	kɛ̃˥ ɕiɑŋ˧˩ ɕiɛ̃˧ sen˧
看穿	kɛ̃˥ ʦʰʮõ˧
看舌苔	kɛ̃˥ zəʔ˨ tʰɛ˧
看西洋景	kɛ̃˥ ɕi˧ ɦiɑŋ˧ ʨin˧
看醫生	kɛ̃˥ ʔi˧ sen˧
看頭	kɛ̃˥ dei
看風水	kɛ̃˥ foŋ˧ sʮei˧
看风水	kɛ̃˥ foŋ˧ sʮei˧
眍	kʰei˧
真	ʦen˧
真丝双绉	ʦen˧ sɿ˧ sʮɑŋ˧ ʦei˥
真丝绡	ʦen˧ sɿ˧ ɕiɔ˧
真当	ʦen˧ tɑŋ˧
真生活	ʦen˧ sen˧ ɦuoʔ˥
真當	ʦen˧ tɑŋ˧
真絲綃	ʦen˧ sɿ˧ ɕiɔ˧
真絲雙縐	ʦen˧ sɿ˧ sʮɑŋ˧ ʦei˥
眠	miɛ̃˨˩˧
眠床	miɛ̃˧˩ ʣʮɑŋ˩˧
眠床下底	miɛ̃˧˩ ʣʮɑŋ˩˧ ɦiɑ˩˧ ti
眠牀	miɛ̃˧˩ ʣʮɑŋ˩˧
眠牀下底	miɛ̃˧˩ ʣʮɑŋ˩˧ ɦiɑ˩˧ ti
眨	ʦɑʔ˥
眯	mi˧
眯眯小	mi˧ mi˧ ɕiɔ˥˧
眯覷眼	mi˧ ʨʰi˧ ʔiɛ̃˧
眯觑眼	mi˧ ʨʰi˧ ʔiɛ̃˧
眵	ʦɿ˧
眶	kʰuɑŋ˧
眷	ʨyõ˦˦˥
眺	tʰiɔ˦˦˥
眼	ʔiɛ̃˥˧
眼乌珠	ʔiɛ̃˥˧ ʔu˧˩ ʦʮ˧˩
眼乌珠脱出	ʔiɛ̃˥˧ ʔu˧˩ ʦʮ˧˩ tʰəʔ˥ ʦʰʮəʔ˥
眼圈儿	ʔiɛ̃˥˧ ʨʰyõ˧˩ əl˧˩
眼圈兒	ʔiɛ̃˥˧ ʨʰyõ˧˩ əl˧˩
眼梢儿	ʔiɛ̃˥˧ sɔ˧ əl˧
眼梢兒	ʔiɛ̃˥˧ sɔ˧ əl˧
眼泡皮儿	ʔiɛ̃˥˧ pʰɔ˧˩ bi˧˩ əl˧˩
眼泡皮兒	ʔiɛ̃˥˧ pʰɔ˧˩ bi˧˩ əl˧˩
眼泪水儿	ʔiɛ̃˥˧ lei˧˩(或li˧˩) sʮei˥˧ əl˧˩
眼淚水兒	ʔiɛ̃˥˧ lei˧˩(或li˧˩) sʮei˥˧ əl˧˩
眼火	ʔiɛ̃˥˧ ho˥˧
眼烏珠	ʔiɛ̃˥˧ ʔu˧˩ ʦʮ˧˩
眼烏珠脫出	ʔiɛ̃˥˧ ʔu˧˩ ʦʮ˧˩ tʰəʔ˥ ʦʰʮəʔ˥
眼热	ʔiɛ̃˥˧ zʮəʔ˨
眼熱	ʔiɛ̃˥˧ zʮəʔ˨
眼白儿	ʔiɛ̃˥˧ bɑʔ˨ əl˩˧
眼白兒	ʔiɛ̃˥˧ bɑʔ˨ əl˩˧
眼皮儿	ʔiɛ̃˥˧ bi˧˩ əl˧˩
眼皮兒	ʔiɛ̃˥˧ bi˧˩ əl˧˩
眼看	ʔiɛ̃˥˧ kʰɛ̃˧˩
眼眵污	ʔiɛ̃˥˧ ʦʰɿ˧˩ ʔu˧
眼眶儿	ʔiɛ̃˥˧ kʰuɑŋ˧˩ əl˧˩
眼眶兒	ʔiɛ̃˥˧ kʰuɑŋ˧˩ əl˧˩
眼睛	ʔiɛ̃˥˧ ʨin˧˩
眼睛乱转	ʔiɛ̃˥˧ ʨin˧˩ luõ˩˧ ʦʮõ˥˧
眼睛亂轉	ʔiɛ̃˥˧ ʨin˧˩ luõ˩˧ ʦʮõ˥˧
眼睛尖	ʔiɛ̃˥˧ ʨin˧˩ ʥiɛ̃˧
眼睛张开	ʔiɛ̃˥˧ ʨin˧˩ ʦɑŋ˧ kʰɛ˧
眼睛張開	ʔiɛ̃˥˧ ʨin˧˩ ʦɑŋ˧ kʰɛ˧
眼睛盠儿	ʔiɛ̃˥˧ ʨin˧˩ loʔ˨ əl˩˧
眼睛盠兒	ʔiɛ̃˥˧ ʨin˧˩ loʔ˨ əl˩˧
眼睛眨眨	ʔiɛ̃˥˧ ʨin˧˩ ʦɑʔ˥ ʦɑʔ˥
眼睛閉攏	ʔiɛ̃˥˧ ʨin˧˩ pi˥ loŋ˥˧
眼睛闭拢	ʔiɛ̃˥˧ ʨin˧˩ pi˥ loŋ˥˧
眼睫毛	ʔiɛ̃˥˧ ʦəʔ˥ mɔ˧˩
眼紅	ʔiɛ̃˥˧ ɦoŋ˧˩
眼红	ʔiɛ̃˥˧ ɦoŋ˧˩
眼角儿	ʔiɛ̃˥˧ koʔ˥ əl˧˩
眼角兒	ʔiɛ̃˥˧ koʔ˥ əl˧˩
眼鏡兒	ʔiɛ̃˥˧ ʨin˧˩ əl˧˩
眼鏡店	ʔiɛ̃˥˧ ʨin˧˩ tiɛ̃˧˩
眼镜儿	ʔiɛ̃˥˧ ʨin˧˩ əl˧˩
眼镜店	ʔiɛ̃˥˧ ʨin˧˩ tiɛ̃˧˩
眼面前	ʔiɛ̃˥˧ miɛ̃˧˩ ʥiɛ̃˧˩
眾	ʦoŋ˦˦˥
着	ʣɑʔ˨
着力	ʣɑʔ˨ liəʔ˨
着敲	ʣɑʔ˨ kʰɔ˧
着魇得	ʣɑʔ˨ ʔiɛ̃˥˧ tɛ
着魘得	ʣɑʔ˨ ʔiɛ̃˥˧ tɛ
睁	ʦen˧
睏	kʰun˥
睏不着	kʰun˥ pəʔ˥ ʣɑʔ˨
睏勒鼓裡	kʰun˥ ləʔ˨ ku˥˧ li
睏勒鼓里	kʰun˥ ləʔ˨ ku˥˧ li
睏坦覺	kʰun˥ tʰɛ̃˥˧ ʨiɔ˧˩
睏坦觉	kʰun˥ tʰɛ̃˥˧ ʨiɔ˧˩
睏夢頭裡	kʰun˥ moŋ˥ dei li
睏懒觉	kʰun˥ lɛ̃˥˧ ʨiɔ˧˩
睏懶覺	kʰun˥ lɛ̃˥˧ ʨiɔ˧˩
睏晏覺	kʰun˥ ɛ̃˥ ʨiɔ˧˩
睏晏觉	kʰun˥ ɛ̃˥ ʨiɔ˧˩
睏梦头里	kʰun˥ moŋ˥ dei li
睏椅	kʰun˥ ʔi˥˧
睏着得來	kʰun˥ ʣɑʔ˨ tɛ lɛ
睏着得来	kʰun˥ ʣɑʔ˨ tɛ lɛ
睏落去	kʰun˥ loʔ˥ ʨʰi˥
睏覺	kʰun˥ ʨiɔ˥
睏觉	kʰun˥ ʨiɔ˥
睛	ʨin˧
睜	ʦen˧
督	toʔ˥
睬	ʦʰᴇ˥˧
瞄	miɔ˨˩˧
瞇	mi˧
瞌𥅻懵懂	kʰəʔ˥ ʦʰoŋ˧ moŋ˧˩ toŋ˥˧
瞌𥅻煞得	kʰəʔ˥ ʦʰoŋ˧ sɑʔ˥ tɛ
瞎	ɕiɑʔ˥
瞎七搭八	ɕiɑʔ˥ ʨʰiəʔ˥ tɑʔ˥ pɑʔ˥
瞎三話四	ɕiɑʔ˥ sɛ̃˧ ɦuo˩˧ sɿ˥
瞎三话四	ɕiɑʔ˥ sɛ̃˧ ɦuo˩˧ sɿ˥
瞎子	ɕiɑʔ˥ ʦɿ
瞎起忙头	ɕiɑʔ˥ ʨʰi˥˧ mɑŋ˧˩ dei
瞎起忙頭	ɕiɑʔ˥ ʨʰi˥˧ mɑŋ˧˩ dei
瞎起潮头	ɕiɑʔ˥ ʨʰi˥˧ ʣɔ˧˩ dei
瞎起潮頭	ɕiɑʔ˥ ʨʰi˥˧ ʣɔ˧˩ dei
瞒	muõ˨˩˧
瞞	muõ˨˩˧
瞧	ʥiɔ˨˩˧
瞧不起	ʥiɔ˧˩ pəʔ˥ ʨʰi˥˧
瞧得起	ʥiɔ˧˩ təʔ ʨʰi˥˧
瞪头呆	ten˥ dei ŋɛ˧˩
瞪頭呆	ten˥ dei ŋɛ˧˩
瞳	doŋ˨˩˧
瞳人儿	doŋ˧˩ zen˧˩ əl˩˧
瞳人兒	doŋ˧˩ zen˧˩ əl˩˧
瞻	ʦʮõ˧
瞿	ʥy˨˩˧
矛	mɔ˨˩˧
矢	sɿ˦˦˥
矣	ɦi˩˧
知	ʦɿ˧
知了儿	ʦɿ˧ liɔ˧ əl˧˩
知了兒	ʦɿ˧ liɔ˧ əl˧˩
知己	ʦɿ˧ ʨi˥˧
知心	ʦɿ˧ ɕin˧
矩	ʨy˥˧
矫	ʨiɔ˧
短	tuõ˥˧
短命鬼	tuõ˥˧ min˧˩ kui˧˩
短大衣	tuõ˥˧ dɑ˧˩ ʔi˥˧
短工	tuõ˥˧ koŋ˧˩
短柱	tuõ˥˧ ʣʮ˧˩
短笔头儿	tuõ˥˧ piəʔ˥ dei əl
短筆頭兒	tuõ˥˧ piəʔ˥ dei əl
短筒袜儿	tuõ˥˧ tʰoŋ˧˩ mɑʔ˨ əl˩˧
短筒襪兒	tuõ˥˧ tʰoŋ˧˩ mɑʔ˨ əl˩˧
短裤	tuõ˥˧ kʰu˧˩
短褲	tuõ˥˧ kʰu˧˩
矮	ʔiɛ˥˧
矮冬瓜	ʔiɛ˥˧ toŋ˧˩ kuɑ˧˩
矮凳儿	ʔiɛ˥˧ ten˧˩ əl˧˩
矮凳兒	ʔiɛ˥˧ ten˧˩ əl˧˩
矮墩墩	ʔiɛ˥˧ ten˧˩ ten˧˩
矮柱	ʔiɛ˥˧ ʣɿ˧˩
矮笃笃	ʔiɛ˥˧ toʔ˥ toʔ˥
矮篤篤	ʔiɛ˥˧ toʔ˥ toʔ˥
矯	ʨiɔ˧
石	zɑʔ˨
石刮鐵硬	zɑʔ˨ kuɑʔ˥ tʰiəʔ˥ ŋɑŋ˩˧
石刮铁硬	zɑʔ˨ kuɑʔ˥ tʰiəʔ˥ ŋɑŋ˩˧
石埠头	zɑʔ˨ bu˩˧ dei
石埠頭	zɑʔ˨ bu˩˧ dei
石头	zɑʔ˨ dei
石头儿	zɑʔ˨ dei əl
石榴	zɑʔ˨ liø˧˩
石灰	zɑʔ˨ hui˧
石石	zɑʔ˨ zɑʔ˨
石硬	zɑʔ˨ ŋɑŋ˩˧
石碾	zɑʔ˨ niɛ̃˥˧
石頭	zɑʔ˨ dei
石頭兒	zɑʔ˨ dei əl
石鼓儿	zɑʔ˨ ku˥˧ əl˧˩
石鼓兒	zɑʔ˨ ku˥˧ əl˧˩
矾	vᴇ̃˨˩˧
矿	kʰuɑŋ˦˦˥
码	mɑ˥˧
码头	mɑ˥˧ dei
码头桌儿	mɑ˥˧ dei ʦoʔ˥ əl˧˩
砌	ʨʰi˦˦˥
砍	kʰᴇ̃˥˧
研	ȵiᴇ̃˧
砖	ʦʮõ˧
砖坯	ʦʮõ˧ pʰei˧
砖头	ʦʮõ˧ dei
砚	iᴇ̃˦˦˥
砚瓦	ɦiɛ̃˩˧ ʔuɑ˥˧
砧板	ʦen˧ pɛ̃˧
破	pʰo˦˦˥
础	ʦʰu˥˧
硌落山門	goʔ˨ loʔ˨ sɛ̃˧ men˧
硌落山门	goʔ˨ loʔ˨ sɛ̃˧ men˧
硝	ɕiɔ˧
硫	liø˨˩˧
硫磺膏	liø˧˩ ɦuɑŋ˩˧ kɔ˧
硬	ŋɑŋ˩˧
硬做	ŋɑŋ˩˧ ʦo˥
硬劲	ŋɑŋ˩˧ ʨin˥˧
硬勁	ŋɑŋ˩˧ ʨin˥˧
硬声硬气	ŋɑŋ˩˧ sen˥˧ ŋɑŋ˩˧ ʨʰi˥˧
硬好汉	ŋɑŋ˩˧ hɔ˥˧ hɛ̃˧˩
硬好漢	ŋɑŋ˩˧ hɔ˥˧ hɛ̃˧˩
硬气	ŋɑŋ˩˧ ʨʰi˥˧
硬氣	ŋɑŋ˩˧ ʨʰi˥˧
硬聲硬氣	ŋɑŋ˩˧ sen˥˧ ŋɑŋ˩˧ ʨʰi˥˧
硬腔腔	ŋɑŋ˩˧ ʨʰiɑŋ˧ ʨʰiɑŋ˧
硬邦邦	ŋɑŋ˩˧ pɑŋ˥˧ pɑŋ˧˩
确	kʰoʔ˥
硯	iᴇ̃˦˦˥
硯瓦	ɦiɛ̃˩˧ ʔuɑ˥˧
硷	liᴇ̃˩˧
碍	ŋᴇ˩˧
碎	sʮei˦˦˥
碎瓦爿儿	sʮei˥ ʔuɑ˥˧ bɛ˧˩ əl˧˩
碎瓦爿兒	sʮei˥ ʔuɑ˥˧ bɛ˧˩ əl˧˩
碎砖头	sʮei˥ ʦʮõ˧ dei
碎磚頭	sʮei˥ ʦʮõ˧ dei
碎肉儿	sʮei˥ zoʔ˨ əl˧˩
碎肉兒	sʮei˥ zoʔ˨ əl˧˩
碑	pei˧
碓	tui˦˦˥
碗	uõ˥˧
碗口	ʔuõ˥˧ kʰø˥˧
碗底儿	ʔuõ˥˧ ti˥˧ əl˧˩
碗底兒	ʔuõ˥˧ ti˥˧ əl˧˩
碗店	ʔuõ˥˧ tiɛ̃˧˩
碗橱	ʔuõ˥˧ ʣʮ˧˩
碗櫥	ʔuõ˥˧ ʣʮ˧˩
碗盏	ʔuõ˥˧ ʦɛ̃˧˩
碗盞	ʔuõ˥˧ ʦɛ̃˧˩
碗脚儿	ʔuõ˥˧ ʨiɑʔ˥ əl˧˩
碗腳兒	ʔuõ˥˧ ʨiɑʔ˥ əl˧˩
碘	tiᴇ̃˥˧
碟	diəʔ˨
碟儿	diəʔ˨ əl˩˧
碟兒	diəʔ˨ əl˩˧
碧清	piəʔ˥ ʨʰin˧
碧綠	piəʔ˥ loʔ˨
碧绿	piəʔ˥ loʔ˨
碧蟢	piəʔ˥ ɕi˥˧
碰	pʰoŋ˥˥(或bɑŋ˩˧)
碰伤	pʰoŋ˥˥(或bɑŋ˩˧) sɑŋ˧˩
碰傷	pʰoŋ˥˥(或bɑŋ˩˧) sɑŋ˧˩
碰到	pʰoŋ˥˥(或bɑŋ˩˧) tɔ˧˩
碰碰額角頭	pʰoŋ˥˥(或bɑŋ˩˧) pʰoŋ˧˩ ŋɑʔ˨ koʔ˥ dei
碰碰额角头	pʰoŋ˥˥(或bɑŋ˩˧) pʰoŋ˧˩ ŋɑʔ˨ koʔ˥ dei
碰鼻头	pʰoŋ˥˥(或bɑŋ˩˧) bɑʔ˨ dei
碰鼻头转弯	pʰoŋ˥˥(或bɑŋ˩˧) bɑʔ˨ dei ʦʮõ˥˧ ʔuõ˧
碰鼻頭	pʰoŋ˥˥(或bɑŋ˩˧) bɑʔ˨ dei
碰鼻頭轉彎	pʰoŋ˥˥(或bɑŋ˩˧) bɑʔ˨ dei ʦʮõ˥˧ ʔuõ˧
碳	tʰᴇ̃˦˦˥
確	kʰoʔ˥
碼	mɑ˥˧
碼頭	mɑ˥˧ dei
碼頭桌兒	mɑ˥˧ dei ʦoʔ˥ əl˧˩
碾	ȵiᴇ̃˥˧
磁	ʣɿ˨˩˧
磅秤	pɑŋ˥˧ ʦʰen˧˩
磉	sɑŋ˥˧
磕	kʰɑʔ˥
磕头磕脑	kʰəʔ˥ dei˧˩ kʰəʔ˥ nɔ˥˧
磕头虫儿	kʰəʔ˥ dei˨˩˧ ʣoŋ˧˩ əl˩˧
磕頭磕腦	kʰəʔ˥ dei˧˩ kʰəʔ˥ nɔ˥˧
磕頭蟲兒	kʰəʔ˥ dei˨˩˧ ʣoŋ˧˩ əl˩˧
磚	ʦʮõ˧
磚坯	ʦʮõ˧ pʰei˧
磚頭	ʦʮõ˧ dei
磨	mo˨˩˧
磨嘴唇皮	mo˧˩ ʦʮei˥˧ ʣʮen˧˩ bi˧˩
磨嘴脣皮	mo˧˩ ʦʮei˥˧ ʣʮen˧˩ bi˧˩
磨墨	mo˧˩ moʔ˨
磨子	mo˩˧ ʦɿ
磨心子	mo˩˧ ɕin˥˧ ʦɿ
磨房	mo˩˧ vɑŋ˥˧
磨柄儿	mo˩˧ pin˥ əl˧˩
磨柄兒	mo˩˧ pin˥ əl˧˩
磨盘	mo˩˧ buõ˥˧
磨盤	mo˩˧ buõ˥˧
磨窟	mo˩˧ kʰo˥
磷	lin˨˩˧
礎	ʦʰu˥˧
礙	ŋᴇ˩˧
礦	kʰuɑŋ˦˦˥
礧礧儿	lei˩˧ lei˥˧ əl˧˩
礧礧兒	lei˩˧ lei˥˧ əl˧˩
礧礧盘儿	lei˩˧ lei˥˧ buõ˧˩ əl˧˨
礧礧盤兒	lei˩˧ lei˥˧ buõ˧˩ əl˧˨
礬	vᴇ̃˨˩˧
示	zɿ˩˧
示字旁	zɿ˩˧ zɿ˩˧ bɑŋ˥˧
礼	li˥˧
礼品	li˥˧ pʰin˧˩
礼拜	li˥˧ pɛ˧˩
礼拜天	li˥˧ pɛ˧˩ tʰiɛ̃˧˩
社	zʮei˩˧
祀	zɿ˩˧
祁	ʥi˨˩˧
祈	ʥi˨˩˧
祕方	pi˥ fɑŋ˧
祖	ʦu˥˧
祖传秘方	ʦu˥˧ ʣuõ˧˩ pi˥ fɑŋ˧˩
祖傳祕方	ʦu˥˧ ʣuõ˧˩ pi˥ fɑŋ˧˩
祖孙两个	ʦu˥˧ sʮen˧˩ liɑŋ˥˧ ko˧˩
祖孫兩個	ʦu˥˧ sʮen˧˩ liɑŋ˥˧ ko˧˩
祝	ʦoʔ˥
祝壽	ʦoʔ˥ zei˩˧
祝寿	ʦoʔ˥ zei˩˧
神	zen˨˩˧
神志无知	zen˧˩ ʦɿ˥ ɦu˧˩ ʦɿ˧
神志無知	zen˧˩ ʦɿ˥ ɦu˧˩ ʦɿ˧
神气	zen˧˩ ʨʰi˥
神气活现	zen˧˩ ʨʰi˥ ɦuoʔ˨ ɦiɛ̃˩˧
神氣	zen˧˩ ʨʰi˥
神氣活現	zen˧˩ ʨʰi˥ ɦuoʔ˨ ɦiɛ̃˩˧
神經兮兮	zen˧˩ ʨin˧ ɕi˧ ɕi˧
神经兮兮	zen˧˩ ʨin˧ ɕi˧ ɕi˧
神馬兒	zen˧˩ mɑ˥˧ əl˧˩
神马儿	zen˧˩ mɑ˥˧ əl˧˩
神龕兒	zen˧˩ kʰɛ̃˧ əl˧
神龛儿	zen˧˩ kʰɛ̃˧ əl˧
祠	ʣɿ˨˩˧
祠堂	ʣɿ˧˩ dɑŋ˧˩
祥	ʥiɑŋ˨˩˧
票	pʰiɔ˥
票子	pʰiɔ˥ ʦɿ
祭	ʨi˦˦˥
祷	tɔ˥˧
祸	ɦo˩˧
祿	loʔ˨
禀	pin˥˧
禁	ʨin˧
禄	loʔ˨
禅	zʮõ˨˩˧
禍	ɦo˩˧
福	foʔ˥
福橘	foʔ˥ ʨiəʔ˥
福相	foʔ˥ ɕiɑŋ˥
禦	ɦy˩˧
禪	zʮõ˨˩˧
禮	li˥˧
禮品	li˥˧ pʰin˧˩
禮拜	li˥˧ pɛ˧˩
禮拜天	li˥˧ pɛ˧˩ tʰiɛ̃˧˩
禱	tɔ˥˧
禹	y˥˧
离	li˩˧
离婚	li˩˧ hun˧
禽	ʥin˨˩˧
禾	ɦo˨˩˧
禾木旁	ɦo˧˩ moʔ˨ bɑŋ˨˩˧
禿	tʰoʔ˥
禿頂	tʰoʔ˥ tin˥˧
禿頭	tʰoʔ˥ dei˧˩
秀	ɕiø˦˦˥
私	sɿ˧
私了	sɿ˧ liɔ˥˧
私人察訪	sɿ˧ zen˧ ʦʰɑʔ˥ fɑŋ˥˧
私人察访	sɿ˧ zen˧ ʦʰɑʔ˥ fɑŋ˥˧
私伢儿	sɿ˧ ɦiɑ˧ əl˧
私伢兒	sɿ˧ ɦiɑ˧ əl˧
私塾	sɿ˧ zoʔ˥
私底下	sɿ˧ ti˥˧ ɦiɑ˧˩
私心	sɿ˧ ɕin˧
私房	sɿ˧ vɑŋ˧
私貨	sɿ˧ hu˧
私货	sɿ˧ hu˧
秃	tʰoʔ˥
秃头	tʰoʔ˥ dei˧˩
秃顶	tʰoʔ˥ tin˥˧
秆	kᴇ̃˥˧
秈米	ɕiɛ̃˧ mi˧
秉	pin˥˧
秋	ʨʰiø˧
秋分	ʨʰiø˧ fen˧
秋天	ʨʰiø˧ tʰiɛ̃˧
秋收	ʨʰiø˧ sei˧
种	ʦoŋ˥˧
种树	ʦoŋ˥ zʮ˩˧
种牛痘	ʦoŋ˥ niø˧˩ dei˩˧
种猪	ʦoŋ˥˧ ʦʮ˧˩
种田	ʦoŋ˥ diɛ̃˨˩˧
种花儿	ʦoŋ˥ huɑ˧ əl˧
种草	ʦoŋ˥˧ ʦʰɔ˧˩
科	kʰo˧
秒	miɔ˥˧
秘	mi˩˧
秘方	pi˥ fɑŋ˧
租	ʦu˧
租房子	ʦu˧ vɑŋ˧˩ ʦɿ
租米	ʦu˧ mi˧
租金	ʦu˧ ʨin˧
秤	ʦʰen˥
秤倒拖得	ʦʰen˥ tɔ˥ tʰo˧˩ tɛ
秤杆儿	ʦʰen˥ kɛ̃˥˧ əl˧˩
秤桿兒	ʦʰen˥ kɛ̃˥˧ əl˧˩
秤盘儿	ʦʰen˥ buõ˧˩ əl˩˧
秤盤兒	ʦʰen˥ buõ˧˩ əl˩˧
秤砣	ʦʰen˥ do˧˩
秤砣式	ʦʰen˥ do˧˩ səʔ˥
秤紐	ʦʰen˥ niø˥˧
秤纽	ʦʰen˥ niø˥˧
秤翘得高	ʦʰen˥ ʨʰiɔ˥ tɛ kɔ˧
秤翹得高	ʦʰen˥ ʨʰiɔ˥ tɛ kɔ˧
秤花儿	ʦʰen˥ huɑ˧ əl˧
秤花兒	ʦʰen˥ huɑ˧ əl˧
秤鉤兒	ʦʰen˥ kø˧ əl˧
秤钩儿	ʦʰen˥ kø˧ əl˧
秦	ʥin˨˩˧
秧	iɑŋ˧
秩	ʣəʔ˨
积	ʨiəʔ˥
积肥	ʨiəʔ˥ vi˨˩˧
积钞票	ʨiəʔ˥ ʦʰɔ˥˧ pʰiɔ˧˩
积食	ʨiəʔ˥ zəʔ˨
称	ʦʰen˧
称心	ʦʰen˥ ɕin˧
称手	ʦʰen˥ sei˥˧
移	ɦi˨˩˧
秽	ui˦˦˥
稀	ɕi˧
稀朗朗	ɕi˧ lɑŋ˧ lɑŋ˧
稀汤广水	ɕi˧ tʰɑŋ˧ kuɑŋ˥˧ sʮei˧˩
稀湯廣水	ɕi˧ tʰɑŋ˧ kuɑŋ˥˧ sʮei˧˩
稀裏糊塗	ɕi˧ li˧ ɦu˧˩ du
稀里糊涂	ɕi˧ li˧ ɦu˧˩ du
稀飯	ɕi˧ vɛ̃˧
稀饭	ɕi˧ vɛ̃˧
稅	sʮei˦˦˥
稈	kᴇ̃˥˧
程	ʣen˨˩˧
稍	sɔ˧
稍为	sɔ˧ ɦui˧
稍爲	sɔ˧ ɦui˧
稍瓜	sɔ˧ kuɑ˧
税	sʮei˦˦˥
稗	bᴇ˩˧
稗子	bo˩˧ ʦɿ˥˧
稗草	bo˩˧ ʦʰɔ˥˧
稚	ʣɿ˩˧
稠	ʣei˨˩˧
種	ʦoŋ˦˦˥
種樹	ʦoŋ˥ zʮ˩˧
種牛痘	ʦoŋ˥ niø˧˩ dei˩˧
種田	ʦoŋ˥ diɛ̃˨˩˧
種花兒	ʦoŋ˥ huɑ˧ əl˧
種草	ʦoŋ˥˧ ʦʰɔ˧˩
種豬	ʦoŋ˥˧ ʦʮ˧˩
稱	ʦʰen˧
稱心	ʦʰen˥ ɕin˧
稱手	ʦʰen˥ sei˥˧
稳	ʔun˥˧
稳当当	ʔun˥˧ tɑŋ˧˩ tɑŋ˧˩
稻	dɔ˩˧
稻头	dɔ˩˧ sei˥˧
稻草	dɔ˩˧ ʦʰɔ˥˧
稻草索儿	dɔ˩˧ ʦʰɔ˥˧ soʔ˥ əl˧
稻草索兒	dɔ˩˧ ʦʰɔ˥˧ soʔ˥ əl˧
稻頭	dɔ˩˧ sei˥˧
稼	ʨiɑ˦˦˥
稽	ʨi˧
稿	kɔ˥˧
穀	koʔ˥
穀子	koʔ˥ ʦɿ
穆	moʔ˨
積	ʨiəʔ˥
積肥	ʨiəʔ˥ vi˨˩˧
