㒼	mũ˨˩˧
斫	ʦoʔ˥
斫柴刀	ʦoʔ˥ za˨˦ tɔ˧˥
斬	ʦɛ˦˦
斬齊	ʦɛ˦˦ ʑi˨˦
断命	dø˨˩˧ miŋ˨˩˧
断头烂脚	dœʏ˨˦ dœʏ˨˦ lɛ˨˩˧ ʨiɐʔ˥
断头落环	dœʏ˨˦ dœʏ˨˦ loʔ˩˨ guɛ˨˦
断橛	dø˨˩˧ ʥyəʔ˩˨
断窍	dø˨˩˧ ʨʰio˦˦
断绞	dø˨˩˧ gɔ˨˩˧
斯文	sɿ˥˧ vəŋ˨˦
新妇	ɕiŋ˥˧ vu˨˩˧
新婦	ɕiŋ˥˧ vu˨˩˧
新年新岁	ɕiŋ˥˧ ȵi˨˦ ɕiŋ˥˧ sʮ˦˦
新年新歲	ɕiŋ˥˧ ȵi˨˦ ɕiŋ˥˧ sʮ˦˦
新花暴热	ɕiŋ˥˧ huo˦˦ pɔ˦˦ ȵiɪʔ˩˨
新花暴熱	ɕiŋ˥˧ huo˦˦ pɔ˦˦ ȵiɪʔ˩˨
斷命	dø˨˩˧ miŋ˨˩˧
斷橛	dø˨˩˧ ʥyəʔ˩˨
斷竅	dø˨˩˧ ʨʰio˦˦
斷絞	dø˨˩˧ gɔ˨˩˧
斷頭爛腳	dœʏ˨˦ dœʏ˨˦ lɛ˨˩˧ ʨiɐʔ˥
斷頭落環	dœʏ˨˦ dœʏ˨˦ loʔ˩˨ guɛ˨˦
方糕	fɔ̃˥˧ kɔ˥˧
方頓頓	fɔ̃˥˧ təŋ˦˦ təŋ˦˦
方顿顿	fɔ̃˥˧ təŋ˦˦ təŋ˦˦
旁边	bɔ̃˨˦ pi˥˧
旁边头	bɔ̃˨˦ pi˥˧ dœʏ˨˦
旁邊	bɔ̃˨˦ pi˥˧
旁邊頭	bɔ̃˨˦ pi˥˧ dœʏ˨˦
旋	zʏ˨˩˧
旋凿	zʏ˨˩˧ zoʔ˩˨
旋鑿	zʏ˨˩˧ zoʔ˩˨
无千大万	vu˨˦ ʨʰi˥˧ da˨˩˧ vɛ˨˩˧
无常	vu˨˦ ʣɔ̃˨˦
既	ʨi˦˦
日加日	ȵiɪʔ˩˨ ko˥˧ ȵiɪʔ˩˨
日头	ȵiɪʔ˩˨ dœʏ˨˦
日头发猛	ȵiɪʔ˩˨ dœʏ˨˦ fɐʔ˥ mã˨˩˧
日头菩	ȵiɪʔ˩˨ dœʏ˨˦ bu˨˦
日头菩萨	ȵiɪʔ˩˨ dœʏ˨˦ bu˨˦ sɐʔ˥
日脚	ȵiɪʔ˩˨ ʨiɐʔ˥
日腳	ȵiɪʔ˩˨ ʨiɐʔ˥
日裡	ȵiɪʔ˩˨ li˨˩˧
日裡頭	ȵiɪʔ˩˨ li˨˩˧ dœʏ˨˦
日里	ȵiɪʔ˩˨ li˨˩˧
日里头	ȵiɪʔ˩˨ li˨˩˧ dœʏ˨˦
日長夜大	ȵiɪʔ˩˨ ʨiã˧˥ ɦia˨˩˧ dəu˨˩˧
日長時久	ȵiɪʔ˩˨ ʥiã˨˦ sɿ˦˦ ʨiʏ˧˥
日长夜大	ȵiɪʔ˩˨ ʨiã˧˥ ɦia˨˩˧ dəu˨˩˧
日长时久	ȵiɪʔ˩˨ ʥiã˨˦ sɿ˦˦ ʨiʏ˧˥
日頭	ȵiɪʔ˩˨ dœʏ˨˦
日頭菩	ȵiɪʔ˩˨ dœʏ˨˦ bu˨˦
日頭菩薩	ȵiɪʔ˩˨ dœʏ˨˦ bu˨˦ sɐʔ˥
日頭髮猛	ȵiɪʔ˩˨ dœʏ˨˦ fɐʔ˥ mã˨˩˧
旧年	ʥiʏ˨˩˧ ȵi˨˦
旧年子	ʥiʏ˨˩˧ ȵi˨˦ ʦɿ˧˥
旧那那	ʥiʏ˨˩˧ ʔna˦˦ ʔna˦˦
早	ʦɔ˧˥
早半晌	ʦɔ˧˥ pũ˦˦ zɔ̃˨˩˧
早半晌飯	ʦɔ˧˥ pũ˦˦ zɔ̃˨˩˧ vɛ˨˩˧
早半晌饭	ʦɔ˧˥ pũ˦˦ zɔ̃˨˩˧ vɛ˨˩˧
早夜晚头	ʦɔ˧˥ ɦia˨˩˧ mɛ˨˩˧ dœʏ˨˦
早夜晚頭	ʦɔ˧˥ ɦia˨˩˧ mɛ˨˩˧ dœʏ˨˦
早夜飯	ʦɔ˧˥ ɦia˨˩˧ vɛ˨˩˧
早夜饭	ʦɔ˧˥ ɦia˨˩˧ vɛ˨˩˧
早昼过饭	ʦɔ˧˥ ʨiʏ˦˦ kəu˦˦ vɛ˨˩˧
早昼饭	ʦɔ˧˥ ʨiʏ˦˦ vɛ˨˩˧
早晏	ʦɔ˧˥ ɛ˦˦
早晝過飯	ʦɔ˧˥ ʨiʏ˦˦ kəu˦˦ vɛ˨˩˧
早晝飯	ʦɔ˧˥ ʨiʏ˦˦ vɛ˨˩˧
早稻时	ʦɔ˧˥ dɔ˨˩˧ zɿ˨˦
早稻時	ʦɔ˧˥ dɔ˨˩˧ zɿ˨˦
早稻汛裏	ʦɔ˧˥ dɔ˨˩˧ ɕiŋ˦˦ li˨˩˧
早稻汛里	ʦɔ˧˥ dɔ˨˩˧ ɕiŋ˦˦ li˨˩˧
早米	ʦɔ˧˥ mi˨˩˧
早蒲	ʦɔ˧˥ bu˨˩˧
早辰光	ʦɔ˧˥ zʮøŋ˨˦ kuɔ̃˥˧
时晌	zɿ˨˦ zɔ̃˨˩˧
时格	zɿ˨˦ kɐʔ˥
时眼	zɿ˨˦ ŋɛ˨˩˧
时道	zɿ˨˦ dɔ˨˩˧
时𪰻	zɿ˨˦ ʨʰiã˧˥
旺	ɦuɔ̃˨˩˧
旺七旺八	ɦuɔ̃˨˩˧ ʨʰiɪʔ˥ ɦuɔ̃˨˩˧ pɐʔ˥
旺三无程	ɦuɔ̃˨˩˧ sɛ˥˧ vu˨˦ ʥiŋ˨˦
旺三無程	ɦuɔ̃˨˩˧ sɛ˥˧ vu˨˦ ʥiŋ˨˦
旺兴	ɦuɔ̃˨˩˧ ɕiŋ˦˦
旺兴丁	ɦuɔ̃˨˩˧ ɕiŋ˦˦ tiŋ˥˧
旺兴夹结	ɦuɔ̃˨˩˧ ɕiŋ˦˦ kɐʔ˥ ʨiɪʔ˥
旺兴带烂泥	ɦuɔ̃˨˩˧ ɕiŋ˦˦ ta˦˦ na˨˩˧ ȵi˨˦
旺兴结夹	ɦuɔ̃˨˩˧ ɕiŋ˦˦ ʨiɪʔ˥ kɐʔ˥
旺旺动	ɦuɔ̃˨˩˧ ɦuɔ̃˨˩˧ doŋ˨˩˧
旺旺動	ɦuɔ̃˨˩˧ ɦuɔ̃˨˩˧ doŋ˨˩˧
旺興	ɦuɔ̃˨˩˧ ɕiŋ˦˦
旺興丁	ɦuɔ̃˨˩˧ ɕiŋ˦˦ tiŋ˥˧
旺興夾結	ɦuɔ̃˨˩˧ ɕiŋ˦˦ kɐʔ˥ ʨiɪʔ˥
旺興帶爛泥	ɦuɔ̃˨˩˧ ɕiŋ˦˦ ta˦˦ na˨˩˧ ȵi˨˦
旺興結夾	ɦuɔ̃˨˩˧ ɕiŋ˦˦ ʨiɪʔ˥ kɐʔ˥
明噹噹	miŋ˨˦ tɔ̃˥˧ tɔ̃˥˧
明席	miŋ˨˦ ʑiɪʔ˩˨
明府鯗	miŋ˨˦ fu˧˥ ɕiã˧˥
明府鲞	miŋ˨˦ fu˧˥ ɕiã˧˥
明当当	miŋ˨˦ tɔ̃˥˧ tɔ̃˥˧
明显显	miŋ˨˦ ɕi˧˥ ɕi˧˥
明朝	məŋ˨˦ ʨio˥˧
明朝子	məŋ˨˦ ʨio˥˧ ʦɿ˧˥
明瓦	miŋ˨˦ ŋo˨˩˧
明角	miŋ˨˦ koʔ˥
明顯顯	miŋ˨˦ ɕi˧˥ ɕi˧˥
昏頓頓	huəŋ˥˧ təŋ˦˦ təŋ˦˦
昏顿顿	huəŋ˥˧ təŋ˦˦ təŋ˦˦
易	ɦi˨˦
星	ɕiŋ˥˧
映起	iŋ˦˦ ʨʰi˧˥
春卷	ʦʰʮøŋ˥˧ ʨy˧˥
春花	ʦʰʮøŋ˥˧ huo˦˦
春餅	ʦʰʮøŋ˥˧ piŋ˧˥
春饼	ʦʰʮøŋ˥˧ piŋ˧˥
昨日	zɔ̃˨˩˧ ȵiɪʔ˩˨
昨日子	zɔ̃˨˩˧ ȵiɪʔ˩˨ ʦɿ˧˥
昨末	zɔ̃˨˩˧ mɐʔ˩˨
昨末子	zɔ̃˨˩˧ mɐʔ˩˨ ʦɿ˧˥
是	zɿ˨˩˧
是介	zɿ˨˩˧ ka˦˦
是介光景	zɿ˨˩˧ ka˦˦ kuɔ̃˥˧ ʨiŋ˧˥
是介話	zɿ˨˩˧ ka˦˦ ɦuo˨˩˧
是介講	zɿ˨˩˧ ka˦˦ kɔ̃˧˥
是介讲	zɿ˨˩˧ ka˦˦ kɔ̃˧˥
是介话	zɿ˨˩˧ ka˦˦ ɦuo˨˩˧
是会	zɿ˨˩˧ ɦuɐɪ˨˩˧
是只	zɿ˨˩˧ ʨiɪʔ˥
是會	zɿ˨˩˧ ɦuɐɪ˨˩˧
是話	zɿ˨˩˧ ɦuo˨˩˧
是话	zɿ˨˩˧ ɦuo˨˩˧
昼过	ʨiʏ˦˦ kəu˦˦
昼过头	ʨiʏ˦˦ kəu˦˦ dœʏ˨˦
昼过饭	ʨiʏ˦˦ kəu˦˦ vɛ˨˩˧
昼饭	ʨiʏ˦˦ vɛ˨˩˧
時晌	zɿ˨˦ zɔ̃˨˩˧
時格	zɿ˨˦ kɐʔ˥
時眼	zɿ˨˦ ŋɛ˨˩˧
時道	zɿ˨˦ dɔ˨˩˧
時𪰻	zɿ˨˦ ʨʰiã˧˥
晏	ɛ˦˦
晏到	ɛ˦˦ tɔ˦˦
晏眼	ɛ˦˦ ŋɛ˨˩˧
晐	ɦɐɪ˨˦
晐到各处	ɦɐɪ˨˦ tɔ˦˦ koʔ˥ ʦʰʮ˧˥
晐到各採	ɦɐɪ˨˦ tɔ˦˦ koʔ˥ ʦʰe˧˥
晐到各處	ɦɐɪ˨˦ tɔ˦˦ koʔ˥ ʦʰʮ˧˥
晐到各采	ɦɐɪ˨˦ tɔ˦˦ koʔ˥ ʦʰe˧˥
晐到四採	ɦɐɪ˨˦ tɔ˦˦ sɿ˦˦ ʦʰe˧˥
晐到四采	ɦɐɪ˨˦ tɔ˦˦ sɿ˦˦ ʦʰe˧˥
晒场地	sa˦˦ ʥiã˨˩˧ di˨˩˧
晒干	sa˦˦ ki˥˧
晒日头菩	sa˦˦ ȵiɪʔ˩˨ dœʏ˨˦ bu˨˦
晓得心相	ɕio˧˥ tɐʔ˥ ɕiŋ˥˧ ɕiã˦˦
晕	ɦyəŋ˨˩˧
晕晕动	ɦyəŋ˨˩˧ ɦyəŋ˨˩˧ doŋ˨˩˧
晚头	mɛ˨˩˧ dœʏ˨˦
晚娘	mɛ˨˩˧ ȵiã˨˦
晚爹	mɛ˨˩˧ tia˥˧
晚稻时	mɛ˨˩˧ dɔ˨˩˧ zɿ˨˦
晚稻時	mɛ˨˩˧ dɔ˨˩˧ zɿ˨˦
晚稻汛裏	mɛ˨˩˧ dɔ˨˩˧ ɕiŋ˦˦ li˨˩˧
晚稻汛里	mɛ˨˩˧ dɔ˨˩˧ ɕiŋ˦˦ li˨˩˧
晚青	mɛ˨˩˧ ʨʰiŋ˥˧
晚頭	mɛ˨˩˧ dœʏ˨˦
晝過	ʨiʏ˦˦ kəu˦˦
晝過頭	ʨiʏ˦˦ kəu˦˦ dœʏ˨˦
晝過飯	ʨiʏ˦˦ kəu˦˦ vɛ˨˩˧
晝飯	ʨiʏ˦˦ vɛ˨˩˧
晦气	huɐɪ˦˦ ʨʰi˦˦
晦氣	huɐɪ˦˦ ʨʰi˦˦
暂眼一看	ʣɛ˨˩˧ ŋɛ˨˩˧ iɪʔ˥ kʰi˦˦
暈	ɦyəŋ˨˩˧
暈暈動	ɦyəŋ˨˩˧ ɦyəŋ˨˩˧ doŋ˨˩˧
暖鍋	nø˨˩˧ kəu˥˧
暖锅	nø˨˩˧ kəu˥˧
暗力卜朧	ɐɪ˦˦ liɪʔ˩˨ boʔ˩˨ loŋ˨˦
暗力卜胧	ɐɪ˦˦ liɪʔ˩˨ boʔ˩˨ loŋ˨˦
暗墨仑寸	ɐɪ˦˦ moʔ˩˨ ləŋ˨˦ ʦʰəŋ˦˦
暗墨侖寸	ɐɪ˦˦ moʔ˩˨ ləŋ˨˦ ʦʰəŋ˦˦
暗墨朧充	ɐɪ˦˦ moʔ˩˨ loŋ˨˦ ʦʰoŋ˥˧
暗墨胧充	ɐɪ˦˦ moʔ˩˨ loŋ˨˦ ʦʰoŋ˥˧
暗头	ɐɪ˦˦ dœʏ˨˦
暗头里	ɐɪ˦˦ dœʏ˨˦ li˨˩˧
暗寸寸	ɐɪ˦˦ ʦʰəŋ˦˦ ʦʰəŋ˦˦
暗手	ɐɪ˦˦ ɕiʏ˧˥
暗气一样	ɐɪ˦˦ ʨʰi˦˦ iɪʔ˥ ɦiã˨˩˧
暗气介	ɐɪ˦˦ ʨʰi˦˦ ka˦˦
暗氣一樣	ɐɪ˦˦ ʨʰi˦˦ iɪʔ˥ ɦiã˨˩˧
暗氣介	ɐɪ˦˦ ʨʰi˦˦ ka˦˦
暗洞洞	ɐɪ˦˦ doŋ˨˩˧ doŋ˨˩˧
暗笛卜朧	ɐɪ˦˦ diɪʔ˩˨ boʔ˩˨ loŋ˨˦
暗笛卜胧	ɐɪ˦˦ diɪʔ˩˨ boʔ˩˨ loŋ˨˦
暗肉	ɐɪ˦˦ ȵyoʔ˩˨
暗行生意	ɐɪ˦˦ ɦɔ̃˨˦ sã˥˧ i˦˦
暗鐵撲朧	ɐɪ˦˦ tʰiɪʔ˥ pʰoʔ˥ loŋ˨˦
暗铁扑胧	ɐɪ˦˦ tʰiɪʔ˥ pʰoʔ˥ loŋ˨˦
暗頭	ɐɪ˦˦ dœʏ˨˦
暗頭裡	ɐɪ˦˦ dœʏ˨˦ li˨˩˧
暗黢黢	ɐɪ˦˦ ʦʰʮœʔ˥ ʦʰʮœʔ˥
暫眼一看	ʣɛ˨˩˧ ŋɛ˨˩˧ iɪʔ˥ kʰi˦˦
暴	bɔ˨˩˧
暴时	bɔ˨˩˧ zɿ˨˦
暴時	bɔ˨˩˧ zɿ˨˦
暴生	bɔ˨˩˧ sã˥˧
暴盐	bɔ˨˩˧ ɦi˨˩˧
暴腌	bɔ˨˩˧ ɦi˨˩˧
暴醃	bɔ˨˩˧ ɦi˨˩˧
暴鹽	bɔ˨˩˧ ɦi˨˩˧
曂亮	uɔ̃˦˦ liã˨˩˧
曉得心相	ɕio˧˥ tɐʔ˥ ɕiŋ˥˧ ɕiã˦˦
曬乾	sa˦˦ ki˥˧
曬場地	sa˦˦ ʥiã˨˩˧ di˨˩˧
曬日頭菩	sa˦˦ ȵiɪʔ˩˨ dœʏ˨˦ bu˨˦
曲死	ʨʰyəʔ˥ ɕi˧˥
曲蟮	ʦʰoʔ˥ ɦi˨˩˧
書包架	sʮ˥˧ pɔ˥˧ ko˦˦
書毒頭	sʮ˥˧ doʔ˩˨ dœʏ˨˦
書獨頭	sʮ˥˧ doʔ˩˨ dœʏ˨˦
替手	tʰi˦˦ ɕiʏ˧˥
月亮菩萨	ɦyəʔ˩˨ liã˨˩˧ bu˨˦ sɐʔ˥
月亮菩薩	ɦyəʔ˩˨ liã˨˩˧ bu˨˦ sɐʔ˥
月半边	ɦyəʔ˩˨ pũ˦˦ pi˥˧
月半邊	ɦyəʔ˩˨ pũ˦˦ pi˥˧
月底边	ɦyəʔ˩˨ ti˧˥ pi˥˧
月底邊	ɦyəʔ˩˨ ti˧˥ pi˥˧
有	ɦiʏ˨˩˧
有一𪰻	ɦiʏ˨˩˧ iɪʔ˥ ʨʰiã˧˥
有两	ɦiʏ˨˩˧ liã˨˩˧
有两遭	ɦiʏ˨˩˧ liã˨˩˧ ʦɔ˥˧
有佬	ɦiʏ˨˩˧ lɔ˨˩˧
有兩	ɦiʏ˨˩˧ liã˨˩˧
有兩遭	ɦiʏ˨˩˧ liã˨˩˧ ʦɔ˥˧
有写呒写	ɦiʏ˨˩˧ ɕia˧˥ ʔm̩˦˦ ɕia˧˥
有力	ɦiʏ˨˩˧ liɪʔ˩˨
有势蛋	ɦiʏ˨˩˧ sʮ˦˦ dɛ˨˩˧
有勢蛋	ɦiʏ˨˩˧ sʮ˦˦ dɛ˨˩˧
有句閒話份	ɦiʏ˨˩˧ ʨy˦˦ ɦɛ˨˦ ɦuo˨˩˧ vəŋ˨˩˧
有句閒話成份	ɦiʏ˨˩˧ ʨy˦˦ ɦɛ˨˦ ɦuo˨˩˧ ʥiŋ˨˦ vəŋ˨˩˧
有句闲话份	ɦiʏ˨˩˧ ʨy˦˦ ɦɛ˨˦ ɦuo˨˩˧ vəŋ˨˩˧
有句闲话成份	ɦiʏ˨˩˧ ʨy˦˦ ɦɛ˨˦ ɦuo˨˩˧ ʥiŋ˨˦ vəŋ˨˩˧
有吃呒吃	ɦiʏ˨˩˧ ʨʰyoʔ˥ ʔm̩˦˦ ʨʰyoʔ˥
有听呒听	ɦiʏ˨˩˧ tʰiŋ˥˧ ʔm̩˦˦ tʰiŋ˥˧
有告	ɦiʏ˨˩˧ kɔ˦˦
有呒	ɦiʏ˨˩˧ ʔm̩˦˦
有喫嘸喫	ɦiʏ˨˩˧ ʨʰyoʔ˥ ʔm̩˦˦ ʨʰyoʔ˥
有嘸	ɦiʏ˨˩˧ ʔm̩˦˦
有多	ɦiʏ˨˩˧ təu˧˥
有多有少	ɦiʏ˨˩˧ təu˧˥ ɦiʏ˨˩˧ ɕio˧˥
有夥	ɦiʏ˨˩˧ həu˧˥
有寫嘸寫	ɦiʏ˨˩˧ ɕia˧˥ ʔm̩˦˦ ɕia˧˥
有得呒便	ɦiʏ˨˩˧ tɐʔ˥ ʔm̩˦˦ bi˨˩˧
有得嘸便	ɦiʏ˨˩˧ tɐʔ˥ ʔm̩˦˦ bi˨˩˧
有心相	ɦiʏ˨˩˧ ɕiŋ˥˧ ɕiã˦˦
有揩呒揩	ɦiʏ˨˩˧ kʰa˥˧ ʔm̩˦˦ kʰa˥˧
有揩嘸揩	ɦiʏ˨˩˧ kʰa˥˧ ʔm̩˦˦ kʰa˥˧
有数	ɦiʏ˨˩˧ su˧˥
有数有目	ɦiʏ˨˩˧ su˧˥ ɦiʏ˨˩˧ moʔ˩˨
有数目	ɦiʏ˨˩˧ su˧˥ moʔ˩˨
有数目账	ɦiʏ˨˩˧ su˧˥ moʔ˩˨ ʨiã˦˦
有数账	ɦiʏ˨˩˧ su˧˥ ʨiã˦˦
有數	ɦiʏ˨˩˧ su˧˥
有數有目	ɦiʏ˨˩˧ su˧˥ ɦiʏ˨˩˧ moʔ˩˨
有數目	ɦiʏ˨˩˧ su˧˥ moʔ˩˨
有數目賬	ɦiʏ˨˩˧ su˧˥ moʔ˩˨ ʨiã˦˦
有數賬	ɦiʏ˨˩˧ su˧˥ ʨiã˦˦
有星	ɦiʏ˨˩˧ ɕiŋ˥˧
有晌	ɦiʏ˨˩˧ zɔ̃˨˩˧
有滰呒滰	ɦiʏ˨˩˧ ʥiã˨˩˧ ʔm̩˦˦ ʥiã˨˩˧
有滰嘸滰	ɦiʏ˨˩˧ ʥiã˨˩˧ ʔm̩˦˦ ʥiã˨˩˧
有猛	ɦiʏ˨˩˧ mã˨˩˧
有生	ɦiʏ˨˩˧ sã˥˧
有看呒看	ɦiʏ˨˩˧ kʰi˦˦ ʔm̩˦˦ kʰi˦˦
有看嘸看	ɦiʏ˨˩˧ kʰi˦˦ ʔm̩˦˦ kʰi˦˦
有眼	ɦiʏ˨˩˧ ŋɛ˨˩˧
有聽嘸聽	ɦiʏ˨˩˧ tʰiŋ˥˧ ʔm̩˦˦ tʰiŋ˥˧
有脚力	ɦiʏ˨˩˧ ʨiɐʔ˥ liɪʔ˩˨
有腳力	ɦiʏ˨˩˧ ʨiɐʔ˥ liɪʔ˩˨
有要呒紧	ɦiʏ˨˩˧ io˦˦ ʔm̩˦˦ ʨiŋ˧˥
有要嘸緊	ɦiʏ˨˩˧ io˦˦ ʔm̩˦˦ ʨiŋ˧˥
有講嘸講	ɦiʏ˨˩˧ kɔ̃˧˥ ʔm̩˦˦ kɔ̃˧˥
有讲呒讲	ɦiʏ˨˩˧ kɔ̃˧˥ ʔm̩˦˦ kɔ̃˧˥
有身	ɦiʏ˨˩˧ ɕiŋ˥˧
有辰光	ɦiʏ˨˩˧ zʮøŋ˨˦ kuɔ̃˥˧
有还	ɦiʏ˨˩˧ ɦuɛ˨˦
有還	ɦiʏ˨˩˧ ɦuɛ˨˦
有队	ɦiʏ˨˩˧ dɐɪ˨˩˧
有陶成	ɦiʏ˨˩˧ dɔ˨˦ ʥiŋ˨˦
有隊	ɦiʏ˨˩˧ dɐɪ˨˩˧
有𪰻	ɦiʏ˨˩˧ ʨʰiã˧˥
朋	bã˨˦
朋友家	bã˨˦ ɦiʏ˨˩˧ ko˥˧
朗	lɔ̃˨˦
朗泛泛	lɔ̃˨˦ fɛ˦˦ fɛ˦˦
朗炕	lɔ̃˨˦ hɔ̃˥˧
朗稀稀	lɔ̃˨˦ ɕi˥˧ ɕi˥˧
望	mɔ̃˨˩˧
望娘盘	mɔ̃˨˩˧ ȵiã˨˦ bũ˨˦
望娘盤	mɔ̃˨˩˧ ȵiã˨˦ bũ˨˦
望潮	mɔ̃˨˩˧ ʥio˨˦
朝日头花	ʥio˨˦ ȵiɪʔ˩˨ dœʏ˨˦ huo˦˦
朝日頭花	ʥio˨˦ ȵiɪʔ˩˨ dœʏ˨˦ huo˦˦
朝白笑	ʥio˨˦ bɐʔ˩˨ ɕio˦˦
木	moʔ˩˨
木东东	moʔ˩˨ toŋ˥˧ toŋ˥˧
木人	moʔ˩˨ ȵiŋ˨˦
木佬佬	moʔ˩˨ lɔ˨˩˧ lɔ˨˩˧
木倭树	moʔ˩˨ əu˦˦ zʮ˨˩˧
木倭樹	moʔ˩˨ əu˦˦ zʮ˨˩˧
木大	moʔ˩˨ dəu˨˩˧
木夫夫	moʔ˩˨ fu˥˧ fu˥˧
木头	moʔ˩˨ dœʏ˨˦
木头人案	moʔ˩˨ dœʏ˨˦ ȵiŋ˨˦ e˦˦
木头戏	moʔ˩˨ dœʏ˨˦ ɕi˦˦
木头木绪	moʔ˩˨ dœʏ˨˦ moʔ˩˨ zʮ˨˩˧
木头木脑	moʔ˩˨ dœʏ˨˦ moʔ˩˨ nɔ˨˩˧
木家	moʔ˩˨ ko˥˧
木屐	moʔ˩˨ ʥiɪʔ˩˨
木屐鞋	moʔ˩˨ ʥiɪʔ˩˨ ɦa˨˦
木屑板	moʔ˩˨ ɕiɪʔ˥ pɛ˧˥
木性性	moʔ˩˨ ɕiŋ˦˦ ɕiŋ˦˦
木杮	moʔ˩˨ fi˦˦
木東東	moʔ˩˨ toŋ˥˧ toŋ˥˧
木知木覺	moʔ˩˨ ʦʮ˥˧ moʔ˩˨ koʔ˥
木知木觉	moʔ˩˨ ʦʮ˥˧ moʔ˩˨ koʔ˥
木笃笃	moʔ˩˨ toʔ˥ toʔ˥
木篤篤	moʔ˩˨ toʔ˥ toʔ˥
木而覺知	moʔ˩˨ əl˨˦ koʔ˥ ʦʮ˥˧
木而觉知	moʔ˩˨ əl˨˦ koʔ˥ ʦʮ˥˧
木莲	moʔ˩˨ li˨˦
木莲藤	moʔ˩˨ li˨˦ dəŋ˨˦
木蓮	moʔ˩˨ li˨˦
木蓮藤	moʔ˩˨ li˨˦ dəŋ˨˦
木頭	moʔ˩˨ dœʏ˨˦
木頭人案	moʔ˩˨ dœʏ˨˦ ȵiŋ˨˦ e˦˦
木頭戲	moʔ˩˨ dœʏ˨˦ ɕi˦˦
木頭木緒	moʔ˩˨ dœʏ˨˦ moʔ˩˨ zʮ˨˩˧
木頭木腦	moʔ˩˨ dœʏ˨˦ moʔ˩˨ nɔ˨˩˧
木馬	moʔ˩˨ mo˨˩˧
木马	moʔ˩˨ mo˨˩˧
未	mi˨˩˧
未見得	mi˨˩˧ ʨi˦˦ tɐʔ˥
未见得	mi˨˩˧ ʨi˦˦ tɐʔ˥
末	mɐʔ˩˨
末末头腐	mɐʔ˩˨ mɐʔ˩˨ dœʏ˨˦ vu˨˩˧
末末碎	mɐʔ˩˨ mɐʔ˩˨ sɐɪ˦˦
末末腐	mɐʔ˩˨ mɐʔ˩˨ vu˨˩˧
末末頭腐	mɐʔ˩˨ mɐʔ˩˨ dœʏ˨˦ vu˨˩˧
末肚儿子	mɐʔ˩˨ tu˧˥ ŋ̩˨˦ ʦɿ˧˥
末肚兒子	mɐʔ˩˨ tu˧˥ ŋ̩˨˦ ʦɿ˧˥
末肚囡	mɐʔ˩˨ tu˧˥ nø˨˦
末脚	mɐʔ˩˨ ʨiɐʔ˥
末腳	mɐʔ˩˨ ʨiɐʔ˥
本当	pəŋ˧˥ tɔ̃˥˧
本格	pəŋ˧˥ kɐʔ˥
本生	pəŋ˧˥ sã˥˧
本當	pəŋ˧˥ tɔ̃˥˧
本白	pəŋ˧˥ bɐʔ˩˨
札	ʦɐʔ˥
朴尸	pʰoʔ˥ sɿ˥˧
朵开	to˧˥ kʰe˥˧
朵拄	to˧˥ ʦʮ˦˦
朵開	to˧˥ kʰe˥˧
机器脚踏车	ʨi˥˧ ʨʰi˦˦ ʨiɐʔ˥ dɐʔ˩˨ ʦʰo˥˧
机耕路	ʨi˥˧ kã˥˧ lu˨˩˧
杂七格勒	zɐʔ˩˨ ʨʰiɪʔ˥ kɐʔ˥ lɐʔ˩˨
杂格楞敦	zɐʔ˩˨ kɐʔ˥ ləŋ˨˩˧ təŋ˦˦
杂角	zɐʔ˩˨ koʔ˥
杏梅	ɦã˨˩˧ mɐɪ˨˦
杜路克	du˨˩˧ lu˨˩˧ kʰɐʔ˥
杜路克牌	du˨˩˧ lu˨˩˧ kʰɐʔ˥ bɛ˨˦
杠棍	kɔ̃˦˦ kuəŋ˦˦
杠箱	kɔ̃˦˦ ɕiã˥˧
条子	dio˨˦ ʦɿ˧˥
条石	dio˨˦ zɐʔ˩˨
条肉	dio˨˦ ȵyoʔ˩˨
来	le˨˦
来东	le˨˦ toŋ˥˧
来勒	le˨˦ lɐʔ˩˨
来去	le˨˦ ʨʰi˦˦
来当	le˨˦ tɔ̃˥˧
来的	le˨˦ tiɪʔ˥
来的𡀂	le˨˦ tiɪʔ˥ lɐɪ˨˦
来该	le˨˦ ke˥˧
杨梅时	ɦiã˨˦ mɐɪ˨˦ zɿ˨˦
杨梅汛里	ɦiã˨˦ mɐɪ˨˦ ɕiŋ˦˦ li˨˩˧
杨梅疮	ɦiã˨˦ mɐɪ˨˦ ʦʰɔ̃˥˧
杨辣	ɦiã˨˦ lɐʔ˩˨
杭	ɦɔ̃˨˦
杭勒住	ɦɔ̃˨˦ lɐʔ˩˨ ʣʮ˨˩˧
杭勒消	ɦɔ̃˨˦ lɐʔ˩˨ ɕio˥˧
杭勿住	ɦɔ̃˨˦ vɐʔ˩˨ ʣʮ˨˩˧
杭勿消	ɦɔ̃˨˦ vɐʔ˩˨ ɕio˥˧
杭州篮	ɦɔ̃˨˦ ʨiʏ˥˧ lɛ˨˦
杭州籃	ɦɔ̃˨˦ ʨiʏ˥˧ lɛ˨˦
東	toŋ˥˧
東借西拽	toŋ˥˧ ʨia˦˦ ɕi˥˧ ɦiɪʔ˩˨
東西	toŋ˥˧ ɕi˥˧
松勃勃	soŋ˥˧ bɐʔ˩˨ bɐʔ˩˨
