姐	ʦia˦$
姑	ku˥˧$
姒	zɿ˩˧$
姓	ɤ˥˧$
委	vɛ˩˧$
姘	pʰin˥˧$
姚	jiɔ˧˩$
姜	ʨiɛ̃˥˧$
姨	ji˧˩$
姻	in˥˧$
姿	ʦɿ˥˧$
威	ʋɛ˥˧$
娃	ua˥˧$
娅	ia˧˥$
娇	ʨiɔ˥˧$
娌	li˩˧$
娘	ȵiɛ̃˧˩$
娛	ȵy˧˩$
娟	ʨiø˥˧$
娠	zən˧˩$
娣	di˩˧$
娩	miɪ˩˧$
娱	ȵy˧˩$
娶	ʦʰy˧˥$
婆	bu˧˩$
婊	piɔ˦$
婚	fən˥˧$
婭	ia˧˥$
婴	in˥˧$
婶	sən˦$
婺	vu˩˧$
婿	si˧˥$
媒	mɛ˧˩$
媚	mɛ˩˧$
媳	siɪʔ˥$
媸	ʦʰɿ˥˧$
媽	ma˩˧$
嫁	ka˧˥$
嫂	sɔ˦$
嫋	ȵiɔ˦$
嫌	iɪ˥˧$
嫖	biɔ˧˩$
嫩	nən˩˧$
嫪	lɔ˧˩$
嫫	mu˧˩$
嬉	ɕi˥˧$
嬌	ʨiɔ˥˧$
嬖	pi˧˥$
嬰	in˥˧$
嬸	sən˦$
子	ʦɿ˦$
孔	kʰoŋ˧˥$
孕	in˧˥$
字	zɿ˩˧$
存	zən˧˩$
孙	sən˥˧$
孜	ʦɿ˥˧$
孝	hɔ˧˥$
孟	mɛ̃˩˧$
季	ʨi˧˥$
孤	ku˥˧$
学	jioʔ˨$
孩	ɦɛ˧˩$
孫	sən˥˧$
孳	zɿ˩˧$
孵	bu˩˧$
學	jioʔ˨$
孽	ȵiɪʔ˨$
宁	ȵin˧˩$
宅	zaʔ˨$
宇	y˦$
守	sɤ˦$
安	ø˥˧$
宋	soŋ˧˥$
完	ɦø˧˩$
宏	ɦoŋ˧˩$
宕	dɛ̃˩˧$
宗	ʦoŋ˥˧$
官	kø˥˧$
宙	zɤ˩˧$
定	din˩˧$
宜	ȵi˧˩$
宝	pɔ˦$
实	zəʔ˨$
客	kʰaʔ˥$
宣	siɪ˥˧$
室	səʔ˥$
宰	ʦɛ˥˧$
害	ɦɛ˩˧$
宵	siɔ˥˧$
家	ka˥˧$
容	jioŋ˧˩$
宽	kʰø˥˧$
宾	pin˥˧$
宿	soʔ˥$
寂	ziɪʔ˨$
寄	kɛ˧˥$
寅	jin˧˩$
密	miɪʔ˨$
寇	kʰɤ˧˥$
寐	mɛ˩˧$
寒	ɦø˧˩$
寓	ȵy˩˧$
寝	ʦʰin˧˥$
寞	moʔ˨$
察	ʦʰaʔ˥$
寡	ko˦$
寢	ʦʰin˧˥$
寣	foʔ˥$
寤	ŋu˩˧$
寥	liɔ˧˩$
實	zəʔ˨$
寧	ȵin˧˩$
寫	sia˦$
寬	kʰø˥˧$
寶	pɔ˦$
寸	ʦʰən˧˥$
对	tɛ˧˥$
寺	zɿ˩˧$
寻	zin˧˩$
导	dɔ˩˧$
寿	zɤ˩˧$
封	foŋ˥˧$
射	ia˧˥$
将	ʦiɛ̃˧˥$
將	ʦiɛ̃˧˥$
尋	zin˧˩$
對	tɛ˧˥$
導	dɔ˩˧$
小	siɔ˦$
少	sɔ˧˥$
尔	ɚ˩˧$
尖	ʦiɪ˥˧$
尘	zən˧˩$
尚	zɑ̃˩˧$
尝	zɛ̃˧˩$
尬	ka˧˥$
就	ziɤ˩˧$
尴	kɛ˥˧$
尷	kɛ˥˧$
尸	sɿ˥˧$
尹	in˦$
尺	ʦʰaʔ˥$
尼	ȵi˧˩$
尽	zin˩˧$
