六	lɔʔ˨$
兰	lɛ˨˩˧$
共	goŋ˨˦$
关	kuɛ˥$
兴	ɕin˦˨˧$
兵	pin˥$
其	ʥi˨˩˧$
具	ʥy˨˦$
典	tiɪ˧˦$
兹	ʦɿ˥$
养	iaŋ˧˦$
兼	ʨiɪ˥$
兽	sei˦˨˧$
冀	ʨi˦˨˧$
冈	kaŋ˥$
冉	zɤ˨˦$
冊	ʦʰaʔ˥$
册	ʦʰaʔ˥$
再	ʦæi˦˨˧$
冒	maɤ˨˦$
冕	miɪ˧˦$
写	sia˧˦$
军	ʨyən˥$
农	ȵioŋ˨˩˧$
冠	kuɤ˥$
冤	iɤ˥$
冥	min˧˦$
冪	miəʔ˨$
冬	toŋ˥$
冯	voŋ˨˩˧$
冰	pin˥$
冲	ʦʰoŋ˥$
决	ʨyəʔ˥$
况	huaŋ˦˨˧$
冶	ɦia˨˦$
冷	laŋ˧˦$
冻	toŋ˦˨˧$
冽	liəʔ˨$
净	zin˨˦$
凄	ʦʰi˥$
准	ʦuən˧˦$
凉	liaŋ˨˩˧$
凋	tiaɤ˥$
凌	lin˨˩˧$
凍	toŋ˦˨˧$
减	kɛ˧˦$
凑	ʦʰei˦˨˧$
凙	dɔʔ˨$
凝	ȵin˨˩˧$
几	ʨi˥$
凡	vɛ˨˩˧$
凤	voŋ˨˦$
凭	bin˨˩˧$
凯	kʰæi˧˦$
凰	ɦuaŋ˨˩˧$
凱	kʰæi˧˦$
凳	tən˦˨˧$
凶	ɕioŋ˥$
凸	dəʔ˨$
凹	aɤ˥$
出	ʦʰuəʔ˥$
击	ʨiəʔ˥$
函	ɦɤ˨˩˧$
凿	zɔʔ˨$
刀	taɤ˥$
刁	tiaɤ˥$
刃	zən˨˦$
分	fən˥$
切	ʦʰiəʔ˥$
刊	kʰɤ˧˦$
刎	vən˨˦$
刑	ɦin˨˩˧$
划	ɦo˨˩˧$
列	liəʔ˨$
刘	lei˨˩˧$
则	ʦəʔ˥$
刚	kaŋ˥$
创	ʦʰaŋ˦˨˧$
初	ʦʰɤɯ˥$
删	sɛ˥$
判	pʰɤ˦˨˧$
別	biəʔ˨$
刨	baɤ˨˦$
利	li˨˦$
刪	sɛ˥$
别	biəʔ˨$
刮	kuaʔ˥$
到	taɤ˦˨˧$
制	ʦɿ˦˨˧$
券	ʨʰiɤ˧˦$
刺	ʦʰɿ˦˨˧$
刻	kʰəʔ˥$
刽	kuæi˦˨˧$
剁	tɤɯ˧˦$
剂	ʦi˦˨˧$
剃	tʰi˦˨˧$
則	ʦəʔ˥$
削	siaʔ˥$
剋	kʰəʔ˥$
前	ziɪ˨˩˧$
剐	ko˧˦$
剑	ʨiɪ˦˨˧$
剔	tʰiəʔ˥$
剖	pei˥$
剛	kaŋ˥$
剜	uɤ˥$
剝	pɔʔ˥$
剥	pɔʔ˥$
剧	ʥiaʔ˨$
剩	ʣən˨˦$
剪	ʦiɪ˧˦$
剮	ko˧˦$
副	fu˦˨˧$
割	kəʔ˥$
創	ʦʰaŋ˦˨˧$
剽	biaɤ˨˩˧$
劃	ɦɔʔ˨$
劄	ʦaʔ˥$
劇	ʥiaʔ˨$
劈	pʰiəʔ˥$
劉	lei˨˩˧$
劊	kuæi˦˨˧$
劍	ʨiɪ˦˨˧$
劑	ʦi˦˨˧$
力	liəʔ˨$
劝	ʨʰiɤ˦˨˧$
办	bɛ˨˦$
功	koŋ˥$
加	ko˥$
务	vu˨˦$
劣	liəʔ˨$
动	doŋ˨˦$
助	ʣʮ˨˦$
努	nu˧˦$
劫	ʨiəʔ˥$
励	li˨˦$
劲	ʨin˦˨˧$
劳	laɤ˨˩˧$
劾	kʰəʔ˥$
势	sɿ˧˦$
勁	ʨin˦˨˧$
勃	bəʔ˨$
勇	ioŋ˧˦$
勉	miɪ˧˦$
勋	ɕyən˥$
勒	ləʔ˨$
動	doŋ˨˦$
勘	kʰɤ˥$
務	vu˨˦$
勝	sən˦˨˧$
勞	laɤ˨˩˧$
募	mɤɯ˨˦$
勢	sɿ˧˦$
勤	ʥin˨˩˧$
勳	ɕyən˥$
勵	li˨˦$
勸	ʨʰiɤ˦˨˧$
勺	zɔʔ˨$
勾	kei˥$
勿	fəʔ˥$
包	paɤ˥$
匆	ʦʰoŋ˥$
匈	ɕioŋ˥$
匐	vɔʔ˨$
匕	pʰi˧˦$
化	ho˦˨˧$
北	pɔʔ˥$
匝	ʦaʔ˥$
匠	ziaŋ˨˦$
匡	kʰuaŋ˥$
匣	ɦaʔ˨$
匪	fi˦˨˧$
匮	guæi˨˦$
匯	ɦuæi˨˦$
匱	guæi˨˦$
匹	pʰiəʔ˥$
区	ei˥$
医	i˥$
匽	iɪ˧˦$
匾	piɪ˧˦$
匿	ȵiəʔ˨$
區	ei˥$
十	zəʔ˨$
千	ʦʰiɪ˥$
升	sən˥$
午	u˧˦$
卉	huæi˦˨˧$
半	pɤ˦˨˧$
华	ɦo˨˩˧$
协	ɦiəʔ˨$
卑	pæi˥$
卒	ʦyəʔ˥$
卓	ʦɔʔ˥$
協	ɦiəʔ˨$
单	tɛ˥$
卖	ma˦˨˧$
南	nɤ˨˩˧$
博	pɔʔ˥$
卜	bɔʔ˨$
卞	biɪ˨˦$
占	ʦɤ˦˨˧$
卡	kʰa˧˦$
卢	lu˨˩˧$
卤	lu˧˦$
卦	ko˦˨˧$
卧	ŋɤɯ˨˦$
卫	ɦuæi˨˦$
卮	ʦɿ˥$
卯	maɤ˧˦$
印	in˦˨˧$
危	ɦuæi˨˩˧$
即	ʦiəʔ˥$
却	ʨʰiaʔ˥$
卵	lɤ˧˦$
卷	ʨiɤ˧˦$
卻	ʨʰiaʔ˥$
卿	ʦiəʔ˥$
厂	ʦʰaŋ˧˦$
厄	əʔ˥$
厅	tʰin˥$
历	liəʔ˨$
厉	li˨˦$
压	aʔ˥$
厌	iɪ˦˨˧$
厕	ʦʰɿ˦˨˧$
厘	li˨˩˧$
厚	gei˨˦$
原	ɦyɤ˨˩˧$
厢	siaŋ˥$
厣	iɪ˧˦$
厥	ʨyəʔ˥$
厨	ʣʮ˨˩˧$
厭	iɪ˦˨˧$
厮	sɿ˥$
厲	li˨˦$
厴	iɪ˧˦$
去	ʨʰi˦˨˧$
县	ɦyɤ˨˦$
叁	sɛ˥$
参	sən˥$
參	sən˥$
又	ɦiɤɯ˨˦$
叉	ʦʰo˥$
及	ʥiəʔ˨$
友	iɤɯ˧˦$
双	suaŋ˥$
反	fɛ˧˦$
发	faʔ˥$
叔	sɔʔ˥$
取	ʦʰy˧˦$
受	zei˨˦$
变	piɪ˦˨˧$
叙	zy˨˦$
