㪕	ʨʰiɑʔ˥$
标	piɒ˦˧˧$
栈	ʣæ̃˧˩$
栋	toŋ˥˩$
栏	læ̃˨˨˧$
树	ʑy˧˩$
栖	si˦˧˧$
栗	liɪʔ˧˦$
校	ʨiɒ˥˩$
株	ʨy˦˧˧$
样	iɪ̃˥˩$
核	ɦuəʔ˧˦$
根	kᴇŋ˦˧˧$
格	kəʔ˥$
栽	ʦæ˦˧˧$
桂	kue˥˩$
桃	dɒ˨˨˧$
桅	ɦue˨˨˧$
案	ɯ̃˥˩$
桌	ʨyɔʔ˥$
桐	doŋ˨˨˧$
桑	sɑŋ˦˧˧$
桓	ɦuɯ̃˨˨˧$
桠	o˦˧˧$
桥	ʥiɒ˨˨˧$
桧	kue˥˩$
桨	ʦiɪ̃˧˧˦$
桩	ʨyɑŋ˦˧˧$
桶	tʰoŋ˧˧˦$
桿	kɯ̃˧˧˦$
梁	liɪ̃˨˨˧$
梅	me˨˨˧$
梓	ʦɿ˧˧˦$
梔	ʦɿ˦˧˧$
梗	kᴇŋ˧˧˦$
條	diɒ˨˨˧$
梢	sɒ˦˧˧$
梦	moŋ˧˩$
梧	ɦu˨˨˧$
梨	li˨˨˧$
梭	sʌɤ˦˧˧$
梯	tʰi˦˧˧$
械	ʨiæ˥˩$
梳	sʌɤ˦˧˧$
检	ʨiɪ̃˧˧˦$
棄	ʨʰi˥˩$
棉	miɪ̃˨˨˧$
棋	ʥi˨˨˧$
棍	kuᴇŋ˥˩$
棒	bɑŋ˧˩$
棕	ʦoŋ˦˧˧$
棗	ʦɒ˧˧˦$
棚	boŋ˨˨˧$
棟	toŋ˥˩$
棠	dɑŋ˨˨˧$
棧	ʣæ̃˧˩$
森	sᴇŋ˦˧˧$
棲	si˦˧˧$
棵	kʰʌɤ˦˧˧$
棹	ʣɒ˧˩$
棺	kɯ̃˦˧˧$
椅	i˧˧˦$
植	ʥiɘʔ˧˦$
椏	o˦˧˧$
椒	ʦiɒ˦˧˧$
椭	tʰʌɤ˧˧˦$
椴	dɯ̃˧˩$
椽	ʥyɯ̃˨˨˧$
椿	ʨʰyᴇŋ˦˧˧$
楂	ʦo˦˧˧$
楊	ɦiɪ̃˨˨˧$
楓	foŋ˦˧˧$
楔	siɪʔ˥$
楚	ʦʰu˧˧˦$
楝	liɪ̃˧˩$
楞	lᴇŋ˨˨˧$
楣	me˨˨˧$
業	ȵiɪʔ˧˦$
極	ʥiɪʔ˧˦$
楷	kʰæ˧˧˦$
楼	løʏ˨˨˧$
概	kæ˥˩$
榄	læ̃˧˧˦$
榆	ɦy˨˨˧$
榛	ʨiᴇŋ˦˧˧$
榜	pɑŋ˧˧˦$
榨	ʦo˥˩$
榫	sᴇŋ˧˧˦$
榮	ɦioŋ˨˨˧$
榴	løʏ˨˨˧$
榻	tʰɑʔ˥$
構	køʏ˥˩$
槌	ʥye˨˨˧$
槍	ʦʰiɪ̃˦˧˧$
槐	ɦuæ˨˨˧$
槟	piŋ˦˧˧$
槳	ʦiɪ̃˧˧˦$
槽	zɒ˨˨˧$
樁	ʨyɑŋ˦˧˧$
樂	lɔʔ˧˦$
樓	løʏ˨˨˧$
標	piɒ˦˧˧$
樞	ʨʰy˦˧˧$
模	mʌɤ˨˨˧$
樣	iɪ̃˥˩$
横	ɦoŋ˨˨˧$
樱	iŋ˦˧˧$
樵	ziɒ˨˨˧$
樸	pʰɔʔ˥$
樹	ʑy˧˩$
橄	kɯ̃˧˧˦$
橋	ʥiɒ˨˨˧$
橘	ʨyʊʔ˥$
橙	ʣᴇŋ˨˨˧$
機	ʨi˦˧˧$
橡	ziɪ̃˧˩$
橢	tʰʌɤ˧˧˦$
橫	ɦoŋ˨˨˧$
橹	lu˧˧˦$
檀	dæ̃˨˨˧$
檁	liŋ˧˧˦$
檐	ɦiɪ̃˨˨˧$
檜	kue˥˩$
檢	ʨiɪ̃˧˧˦$
檩	liŋ˧˧˦$
檳	piŋ˦˧˧$
櫃	gue˧˩$
櫓	lu˧˧˦$
櫻	iŋ˦˧˧$
欄	læ̃˨˨˧$
權	ʥyɯ̃˨˨˧$
欖	læ̃˧˧˦$
欠	ʨʰiɪ̃˥˩$
次	ʦʰɿ˥˩$
欢	hɯ̃˦˧˧$
欣	ɕiŋ˦˧˧$
欧	øʏ˦˧˧$
欲	ɦyɔʔ˧˦$
欺	ʨʰi˦˧˧$
欽	ʨʰiŋ˦˧˧$
款	kʰɯ̃˧˧˦$
歇	ɕiɪʔ˥$
歉	ʨʰiɪ̃˥˩$
歌	kʌɤ˦˧˧$
歎	tʰæ̃˥˩$
歐	øʏ˦˧˧$
歡	hɯ̃˦˧˧$
止	ʦɿ˧˧˦$
正	ʨiᴇŋ˦˧˧$
此	ʦʰɿ˧˧˦$
步	bu˧˩$
武	fu˧˧˦$
歪	huæ˦˧˧$
歲	se˥˩$
歴	liɪʔ˧˦$
歸	kue˦˧˧$
死	sɿ˧˧˦$
歼	ʦiɪ̃˦˧˧$
殃	iɪ̃˦˧˧$
殆	dæ˧˩$
殉	siŋ˧˧˦$
殊	ʥy˨˨˧$
残	zæ̃˨˨˧$
殓	liɪ̃˧˩$
殖	ʥiɘʔ˧˦$
殘	zæ̃˨˨˧$
殡	piŋ˥˩$
殮	liɪ̃˧˩$
殯	piŋ˥˩$
殲	ʦiɪ̃˦˧˧$
段	dɯ̃˧˩$
殷	iŋ˦˧˧$
殺	sɑʔ˥$
殼	kʰɔʔ˥$
殿	diɪ̃˧˩$
毀	hue˧˧˦$
毁	hue˧˧˦$
毅	i˥˩$
母	mʌɤ˧˧˦$
每	me˧˧˦$
毒	dɔʔ˧˦$
比	pi˧˧˦$
毕	piɪʔ˥$
毙	bi˧˩$
毛	mɒ˨˨˧$
毡	ʨyɯ̃˦˧˧$
毫	ɦɒ˨˨˧$
毯	tʰæ̃˧˧˦$
氈	ʨyɯ̃˦˧˧$
氏	zɿ˧˩$
民	miŋ˨˨˧$
气	ʨʰi˥˩$
氣	ʨʰi˥˩$
水	ɕye˧˧˦$
永	ioŋ˧˧˦$
汀	tʰiŋ˦˧˧$
汁	ʨiɪʔ˥$
求	ʥiøʏ˨˨˧$
汆	ʦʰɯ̃˦˧˧$
汇	ɦue˧˩$
汉	hɯ̃˥˩$
汗	ɦɯ̃˧˩$
汙	u˦˧˧$
汝	ɕy˧˧˦$
汞	koŋ˧˧˦$
江	kɑŋ˦˧˧$
池	ʣɿ˨˨˧$
污	u˦˧˧$
汤	tʰɑŋ˦˧˧$
汪	uɑŋ˦˧˧$
汴	biɪ̃˧˩$
決	ʨyʊʔ˥$
汽	ʨʰi˥˩$
沂	ɦi˨˨˧$
沃	ɔʔ˥$
沈	ɕiᴇŋ˧˧˦$
沉	ʥiᴇŋ˨˨˧$
沌	dᴇŋ˧˩$
沒	məʔ˧˦$
沓	tɑʔ˥$
沙	so˦˧˧$
沛	pʰe˥˩$
沟	køʏ˦˧˧$
没	məʔ˧˦$
沤	øʏ˥˩$
沦	lᴇŋ˨˨˧$
沪	ɦu˧˩$
沫	mɑʔ˧˦$
河	ɦʌɤ˨˨˧$
油	ɦiøʏ˨˨˧$
治	ʣɿ˧˩$
沼	ʨiɒ˧˧˦$
沾	ʦæ̃˦˧˧$
沿	ɦiɪ̃˨˨˧$
況	kuɑŋ˥˩$
泄	siɪʔ˥$
泉	ziɪ̃˨˨˧$
泊	bɔʔ˧˦$
泌	pi˥˩$
泔	kɯ̃˦˧˧$
法	fɑʔ˥$
泛	fæ̃˥˩$
泡	pʰɒ˥˩$
波	pu˦˧˧$
泣	ʨʰiɪʔ˥$
泥	ȵi˨˨˧$
注	ʨy˥˩$
泪	le˧˩$
泰	tʰæ˥˩$
泳	ioŋ˧˧˦$
泻	siɑ˥˩$
泼	pʰʊʔ˥$
泽	ʣəʔ˧˦$
洁	ʨiɪʔ˥$
洋	ɦiɪ̃˨˨˧$
洒	sæ˧˧˦$
洗	si˧˧˦$
洛	lɔʔ˧˦$
洞	doŋ˧˩$
津	ʦiŋ˦˧˧$
洪	ɦoŋ˨˨˧$
洲	ʨiøʏ˦˧˧$
活	ɦuəʔ˧˦$
洼	uɑ˦˧˧$
派	pʰæ˥˩$
流	løʏ˨˨˧$
浅	ʦʰiɪ̃˧˧˦$
浆	ʦiɪ̃˦˧˧$
浇	ʨiɒ˦˧˧$
浊	ʥyɔʔ˧˦$
测	ʦʰəʔ˥$
济	ʦi˧˧˦$
浑	ɦuᴇŋ˨˨˧$
浒	hu˧˧˦$
浓	noŋ˨˨˧$
浙	ʨiɘʔ˥$
浜	pɑŋ˦˧˧$
浦	pʰu˧˧˦$
浩	ɦɒ˧˩$
浪	lɑŋ˧˩$
浮	ve˨˨˧$
浴	ɦyɔʔ˧˦$
海	hæ˧˧˦$
浸	ʦiŋ˥˩$
涂	du˨˨˧$
消	siɒ˦˧˧$
涉	ʥiɘʔ˧˦$
涌	ioŋ˧˧˦$
涎	ziɪ̃˨˨˧$
涕	tʰi˥˩$
涛	dɒ˨˨˧$
涝	lɒ˧˩$
润	ʑyᴇŋ˧˩$
涧	ʨiɪ̃˥˩$
涨	ʨiæ̃˧˧˦$
涩	səʔ˥$
涮	ʑyɑʔ˥$
涯	ŋæ˨˨˧$
液	ɦiɪʔ˧˦$
涼	liɪ̃˨˨˧$
涿	ʨyɔʔ˥$
淆	ɦɒ˨˨˧$
淋	liŋ˨˨˧$
淑	ʑyɔʔ˧˦$
淘	dɒ˨˨˧$
淚	le˧˩$
淡	dæ̃˧˩$
淤	y˦˧˧$
淨	ziŋ˧˩$
淩	liŋ˨˨˧$
淪	lᴇŋ˨˨˧$
淫	ɦiŋ˨˨˧$
淮	ɦuæ˨˨˧$
深	ɕiᴇŋ˦˧˧$
淵	yɯ̃˦˧˧$
混	huᴇŋ˥˩$
淹	iɪ̃˦˧˧$
淺	ʦʰiɪ̃˧˧˦$
添	tʰiɪ̃˦˧˧$
清	ʦʰiŋ˦˧˧$
渊	yɯ̃˦˧˧$
渐	ʣiɪ̃˧˩$
渑	miɪ̃˧˧˦$
渔	ɦy˨˨˧$
渗	sᴇŋ˥˩$
減	kæ̃˧˧˦$
渠	ʥy˨˨˧$
渡	du˧˩$
渣	ʦo˦˧˧$
温	uᴇŋ˦˧˧$
測	ʦʰəʔ˥$
港	kɑŋ˧˧˦$
渴	kʰʊʔ˥$
游	ɦiøʏ˨˨˧$
渺	miɒ˧˧˦$
渾	ɦuᴇŋ˨˨˧$
湊	ʦʰʌɤ˥˩$
湖	ɦu˨˨˧$
湘	siɪ̃˦˧˧$
湧	ioŋ˧˧˦$
湮	iŋ˦˧˧$
湯	tʰɑŋ˦˧˧$
湾	uæ̃˦˧˧$
湿	ɕiɘʔ˥$
溃	gue˧˩$
溅	ʦiɪ̃˥˩$
溉	kæ˥˩$
源	ɦyɯ̃˨˨˧$
溜	løʏ˦˧˧$
溝	køʏ˦˧˧$
溪	ʨʰi˦˧˧$
溫	uᴇŋ˦˧˧$
溺	ȵiɪʔ˧˦$
溻	tʰɔʔ˥$
滂	pʰɑŋ˦˧˧$
滅	miɪʔ˧˦$
滋	ʦɿ˦˧˧$
滑	ɦuɑʔ˧˦$
滓	ʦɿ˧˧˦$
滔	tʰɒ˦˧˧$
滚	kuᴇŋ˧˧˦$
滞	ʦɿ˥˩$
满	mɯ̃˧˧˦$
滤	lu˧˩$
滥	læ̃˧˩$
滩	tʰæ̃˦˧˧$
滬	ɦu˧˩$
滯	ʦɿ˥˩$
滲	sᴇŋ˥˩$
滴	tiɪʔ˥$
滸	hu˧˧˦$
滾	kuᴇŋ˧˧˦$
滿	mɯ̃˧˧˦$
漁	ɦy˨˨˧$
漂	pʰiɒ˧˧˦$
漆	ʦʰiɪʔ˥$
漏	løʏ˧˩$
演	iɪ̃˧˧˦$
漚	øʏ˥˩$
漢	hɯ̃˥˩$
漫	mæ̃˧˩$
漱	su˥˩$
漲	ʨiæ̃˧˧˦$
漸	ʣiɪ̃˧˩$
漿	ʦiɪ̃˦˧˧$
潑	pʰʊʔ˥$
潔	ʨiɪʔ˥$
潘	pʰɯ̃˦˧˧$
潛	ziɪ̃˨˨˧$
潜	ziɪ̃˨˨˧$
潤	ʑyᴇŋ˧˩$
潭	dɯ̃˨˨˧$
潮	ʥiɒ˨˨˧$
潰	gue˧˩$
澀	səʔ˥$
澄	ʣᴇŋ˨˨˧$
澆	ʨiɒ˦˧˧$
澇	lɒ˧˩$
澗	ʨiɪ̃˥˩$
澠	miɪ̃˧˧˦$
澡	ʦɒ˧˧˦$
澤	ʣəʔ˧˦$
激	ʨiɪʔ˥$
濁	ʥyɔʔ˧˦$
濃	noŋ˨˨˧$
濕	ɕiɘʔ˥$
濟	ʦi˧˧˦$
濤	dɒ˨˨˧$
濫	læ̃˧˩$
濺	ʦiɪ̃˥˩$
濾	lu˧˩$
瀉	siɑ˥˩$
瀑	pʰu˥˩$
灌	kɯ̃˥˩$
灑	sæ˧˧˦$
灒	ʦæ̃˥˩$
灘	tʰæ̃˦˧˧$
灣	uæ̃˦˧˧$
火	hʌɤ˧˧˦$
灭	miɪʔ˧˦$
灯	tᴇŋ˦˧˧$
灰	hue˦˧˧$
灵	liŋ˨˨˧$
灶	ʦɒ˥˩$
灸	ʨiøʏ˦˧˧$
災	ʦæ˦˧˧$
灾	ʦæ˦˧˧$
灿	ʦʰæ̃˥˩$
炉	lu˨˨˧$
炊	ʨʰye˦˧˧$
炎	ɦiɪ̃˨˨˧$
炒	ʦʰɒ˧˧˦$
炕	kʰɑŋ˥˩$
炙	ʨiɘʔ˥$
炭	tʰæ̃˥˩$
炮	pʰɒ˥˩$
炸	ʦo˥˩$
点	tiɪ̃˧˧˦$
為	ɦue˨˨˧$
炼	liɪ̃˧˩$
烂	læ̃˧˩$
烈	liɪʔ˧˦$
烊	ɦiɪ̃˨˨˧$
烏	u˦˧˧$
烘	hoŋ˦˧˧$
烙	lɔʔ˧˦$
烛	ʨyɔʔ˥$
烟	iɪ̃˦˧˧$
烤	kʰɒ˧˧˦$
烦	væ̃˨˨˧$
烧	ɕiɒ˦˧˧$
烫	tʰɑŋ˥˩$
热	ȵiɪʔ˧˦$
烹	pʰᴇŋ˦˧˧$
焉	iɪ̃˦˧˧$
焊	ɦɯ̃˧˩$
焕	hɯ̃˥˩$
焙	be˨˨˧$
焚	vᴇŋ˨˨˧$
無	vu˨˨˧$
焦	ʦiɒ˦˧˧$
焯	ʨʰyɔʔ˥$
焰	ɦiɪ̃˧˩$
然	læ̃˨˨˧$
煉	liɪ̃˧˩$
煎	ʦiɪ̃˦˧˧$
煙	iɪ̃˦˧˧$
煤	me˨˨˧$
煥	hɯ̃˥˩$
照	ʨiɒ˥˩$
煨	ue˦˧˧$
煩	væ̃˨˨˧$
煮	ʨy˧˧˦$
熄	siɪʔ˥$
熊	ɦioŋ˨˨˧$
熏	ɕyŋ˦˧˧$
熔	ɦioŋ˨˨˧$
熙	ɕi˦˧˧$
熟	ʑyɔʔ˧˦$
熨	yŋ˥˩$
熬	ŋɒ˨˨˧$
熱	ȵiɪʔ˧˦$
燃	ɦyɯ̃˨˨˧$
燈	tᴇŋ˦˧˧$
燎	liɒ˨˨˧$
燒	ɕiɒ˦˧˧$
燕	iɪ̃˦˧˧$
燙	tʰɑŋ˥˩$
營	ɦioŋ˨˨˧$
燦	ʦʰæ̃˥˩$
燭	ʨyɔʔ˥$
爆	pɒ˥˩$
爐	lu˨˨˧$
爛	læ̃˧˩$
爪	ʦɒ˧˧˦$
爬	bo˨˨˧$
爭	ʦᴇŋ˦˧˧$
爱	æ˥˩$
爵	ʦiɑʔ˥$
父	vu˧˩$
爷	ɦiæ˨˨˧$
爸	pɑ˦˧˧$
爹	tiæ˦˧˧$
爺	ɦiæ˨˨˧$
爽	ɕyɑŋ˧˧˦$
爾	ɚ˧˧˦$
爿	bæ̃˨˨˧$
牆	ziɪ̃˨˨˧$
片	pʰiɪ̃˥˩$
版	pæ̃˧˧˦$
牌	bæ˨˨˧$
牍	dɔʔ˧˦$
牒	diɪʔ˧˦$
牘	dɔʔ˧˦$
牙	ŋo˨˨˧$
牛	ŋøʏ˨˨˧$
牡	me˧˧˦$
牢	lɒ˨˨˧$
牧	mɔʔ˧˦$
物	məʔ˧˦$
牲	sᴇŋ˦˧˧$
牵	ʨʰiɪ̃˦˧˧$
特	dəʔ˧˦$
牺	ɕi˦˧˧$
牽	ʨʰiɪ̃˦˧˧$
犀	si˦˧˧$
犁	li˨˨˧$
犊	dɔʔ˧˦$
犒	kʰɒ˥˩$
犢	dɔʔ˧˦$
犧	ɕi˦˧˧$
犬	ʨʰyɯ̃˧˧˦$
犯	væ̃˧˩$
状	ʥyɑŋ˧˩$
犹	ɦiøʏ˨˨˧$
狀	ʥyɑŋ˧˩$
狂	guɑŋ˨˨˧$
狄	diɪʔ˧˦$
狍	bɒ˨˨˧$
狐	ɦu˨˨˧$
狗	køʏ˧˧˦$
狡	kɒ˧˧˦$
独	dɔʔ˧˦$
狭	ɦɑʔ˧˦$
狮	sɿ˦˧˧$
狱	ɦyɔʔ˧˦$
狸	li˨˨˧$
狹	ɦɑʔ˧˦$
狼	lɑŋ˨˨˧$
猎	liɪʔ˧˦$
猛	moŋ˧˧˦$
猜	ʦʰæ˦˧˧$
猝	ʦʰʊʔ˥$
猪	ʦɿ˦˧˧$
猫	mɒ˨˨˧$
猬	ɦue˧˩$
献	ɕiɪ̃˥˩$
猴	ɦøʏ˨˨˧$
猶	ɦiøʏ˨˨˧$
猾	ɦuɑʔ˧˦$
獃	tæ˦˧˧$
獄	ɦyɔʔ˧˦$
獅	sɿ˦˧˧$
獎	ʦiɪ̃˧˧˦$
獨	dɔʔ˧˦$
獭	tʰɑʔ˥$
獲	ɦɔʔ˧˦$
獵	liɪʔ˧˦$
獸	ɕiøʏ˥˩$
獺	tʰɑʔ˥$
獻	ɕiɪ̃˥˩$
玄	ɦyɯ̃˨˨˧$
率	liɪʔ˧˦$
玉	ɦyɔʔ˧˦$
王	ɦuɑŋ˨˨˧$
玩	ɦɯ̃˨˨˧$
环	guæ̃˨˨˧$
现	ɦiɪ̃˧˩$
玺	si˧˧˦$
玻	pu˦˧˧$
珊	sæ̃˦˧˧$
珍	ʨiᴇŋ˦˧˧$
珠	ʨy˦˧˧$
班	pæ̃˦˧˧$
現	ɦiɪ̃˧˩$
球	ʥiøʏ˨˨˧$
理	li˧˧˦$
琉	løʏ˨˨˧$
琐	sʌɤ˧˧˦$
琢	ʨyɔʔ˥$
琴	ʥiŋ˨˨˧$
琵	bi˨˨˧$
琶	bo˨˨˧$
琼	ʥioŋ˨˨˧$
瑕	ɦiɑ˨˨˧$
瑞	ʑye˧˩$
瑟	səʔ˥$
瑣	sʌɤ˧˧˦$
璃	li˨˨˧$
璧	piɪʔ˥$
環	guæ̃˨˨˧$
璺	mᴇŋ˧˩$
璽	si˧˧˦$
瓊	ʥioŋ˨˨˧$
瓜	ko˦˧˧$
瓠	ɦu˧˩$
瓢	biɒ˨˨˧$
瓣	pæ̃˥˩$
瓤	nɑŋ˨˨˧$
瓦	ŋo˧˧˦$
瓮	oŋ˥˩$
瓯	øʏ˦˧˧$
瓶	biŋ˨˨˧$
瓷	zɿ˨˨˧$
甌	øʏ˦˧˧$
甕	oŋ˥˩$
甘	kɯ̃˦˧˧$
甚	ʑiᴇŋ˧˩$
甜	diɪ̃˨˨˧$
生	sɑŋ˦˧˧$
產	ʦʰæ̃˧˧˦$
甥	sᴇŋ˦˧˧$
用	ɦioŋ˧˩$
甫	fu˧˧˦$
甬	ioŋ˧˧˦$
田	diɪ̃˨˨˧$
由	ɦiøʏ˨˨˧$
甲	kɑʔ˥$
申	ɕiᴇŋ˦˧˧$
电	diɪ̃˧˩$
男	nɯ̃˨˨˧$
画	o˥˩$
畅	ʨʰiæ̃˥˩$
界	kæ˥˩$
畏	ue˥˩$
留	løʏ˨˨˧$
畜	ʨʰyɔʔ˥$
畝	mʌɤ˧˧˦$
畢	piɪʔ˥$
略	liɑʔ˧˦$
番	fæ̃˦˧˧$
畫	o˥˩$
異	i˥˩$
當	tɑŋ˦˧˧$
疆	ʨiɪ̃˦˧˧$
疊	diɪʔ˧˦$
疏	sʌɤ˦˧˧$
疑	ȵi˨˨˧$
疔	tiŋ˦˧˧$
疗	liɒ˨˨˧$
疝	ɕyæ̃˥˩$
疟	ȵiɑʔ˧˦$
疡	ɦiɪ̃˨˨˧$
疤	po˦˧˧$
疥	ʨiæ˥˩$
疫	ɦyʊʔ˧˦$
疮	ʨʰyɑŋ˦˧˧$
疯	foŋ˦˧˧$
疲	bi˨˨˧$
疵	ʦʰɿ˦˧˧$
疹	ʨiᴇŋ˧˧˦$
疼	dᴇŋ˨˨˧$
疾	ziɪʔ˧˦$
痂	ʨiɑ˦˧˧$
病	biŋ˧˩$
症	ʨiᴇŋ˥˩$
痈	ioŋ˦˧˧$
痒	iɪ̃˧˧˦$
痔	zɿ˧˩$
痕	ɦᴇŋ˨˨˧$
痛	tʰoŋ˥˩$
痢	li˧˩$
痣	ʦɿ˥˩$
痰	dæ̃˨˨˧$
痱	fi˥˩$
痲	mo˨˨˧$
痴	ʦʰɿ˦˧˧$
痹	pi˥˩$
瘊	ɦøʏ˨˨˧$
瘋	foŋ˦˧˧$
瘌	lɑʔ˧˦$
瘍	ɦiɪ̃˨˨˧$
瘟	uᴇŋ˦˧˧$
瘡	ʨʰyɑŋ˦˧˧$
瘦	sʌɤ˥˩$
瘧	ȵiɑʔ˧˦$
瘰	lʌɤ˧˧˦$
瘴	ʨiæ̃˥˩$
瘸	ʥyæ˨˨˧$
療	liɒ˨˨˧$
癞	lɑʔ˧˦$
癡	ʦʰɿ˦˧˧$
癢	iɪ̃˧˧˦$
癩	lɑʔ˧˦$
癰	ioŋ˦˧˧$
癸	kue˧˧˦$
登	tᴇŋ˦˧˧$
發	fɑʔ˥$
白	bɔʔ˧˦$
百	pɔʔ˥$
皂	zɒ˧˩$
的	tiɪʔ˥$
皆	kæ˦˧˧$
皇	ɦuɑŋ˨˨˧$
皖	ɯ̃˧˧˦$
皮	bi˨˨˧$
皱	ʦiøʏ˥˩$
皴	ʦʰᴇŋ˦˧˧$
皺	ʦiøʏ˥˩$
皿	miŋ˧˧˦$
盂	ɦy˨˨˧$
盅	ʨioŋ˦˧˧$
盆	bᴇŋ˨˨˧$
盈	ɦiŋ˨˨˧$
益	iɪʔ˥$
盏	ʦæ̃˧˧˦$
盐	ɦiɪ̃˨˨˧$
监	kæ̃˦˧˧$
盒	ɦɑʔ˧˦$
盔	kue˦˧˧$
盖	kæ˥˩$
盗	dɒ˧˩$
盘	bɯ̃˨˨˧$
盛	ʑiᴇŋ˨˨˧$
盜	dɒ˧˩$
盞	ʦæ̃˧˧˦$
盟	moŋ˨˨˧$
盡	ʦiŋ˧˧˦$
監	kæ̃˦˧˧$
盤	bɯ̃˨˨˧$
盧	lu˨˨˧$
目	mɔʔ˧˦$
盲	mɑŋ˨˨˧$
直	ʥiɘʔ˧˦$
相	siɪ̃˦˧˧$
盼	pʰæ̃˥˩$
盾	dᴇŋ˧˩$
省	siŋ˧˧˦$
眉	mi˨˨˧$
看	kʰɯ̃˦˧˧$
真	ʨiᴇŋ˦˧˧$
眠	miɪ̃˨˨˧$
眨	ʦɑʔ˥$
眩	yɯ̃˧˩$
眵	ʦʰɿ˦˧˧$
眶	kʰuɑŋ˦˧˧$
眷	ʨyɯ̃˥˩$
眼	ŋæ̃˧˧˦$
眾	ʨioŋ˥˩$
着	ʥiɑʔ˧˦$
睁	ʦᴇŋ˦˧˧$
睛	ʦiŋ˦˧˧$
睜	ʦᴇŋ˦˧˧$
睡	ʑye˧˩$
督	tɔʔ˥$
睬	ʦʰæ˧˧˦$
瞎	hɑʔ˥$
瞒	mɯ̃˨˨˧$
瞞	mɯ̃˨˨˧$
瞧	ziɒ˨˨˧$
瞪	tᴇŋ˥˩$
瞭	liɒ˧˧˦$
瞳	doŋ˨˨˧$
瞻	ʨyɯ̃˦˧˧$
瞿	ʥy˨˨˧$
矛	mɒ˨˨˧$
矢	sɿ˧˧˦$
矣	i˧˧˦$
知	ʦɿ˦˧˧$
矩	ʨy˥˩$
矫	ʨiɒ˧˧˦$
矬	zʌɤ˨˨˧$
短	tɯ̃˧˧˦$
矮	æ˧˧˦$
矯	ʨiɒ˧˧˦$
石	ʑiɘʔ˧˦$
矾	væ̃˨˨˧$
矿	kʰuɑŋ˥˩$
码	mo˧˧˦$
砌	ʦʰi˥˩$
砍	kʰɯ̃˧˧˦$
砑	ɦiɑ˧˩$
研	ȵiɪ̃˧˧˦$
砖	ʨyɯ̃˦˧˧$
砚	ȵiɪ̃˧˩$
破	pʰu˥˩$
础	ʦʰu˧˧˦$
硝	siɒ˦˧˧$
硫	løʏ˨˨˧$
硬	ŋᴇŋ˧˩$
确	ʨʰiɑʔ˥$
硯	ȵiɪ̃˧˩$
碍	ŋæ˧˩$
碎	se˥˩$
碑	pe˦˧˧$
碓	te˥˩$
碗	ɯ̃˧˧˦$
碟	diɪʔ˧˦$
碧	piɪʔ˥$
碹	ziɪ̃˧˩$
確	ʨʰiɑʔ˥$
碼	mo˧˧˦$
碾	ȵiɪ̃˧˧˦$
磁	zɿ˨˨˧$
磉	sɑŋ˧˧˦$
磕	kʰʊʔ˥$
磚	ʨyɯ̃˦˧˧$
磨	mʌɤ˨˨˧$
磬	ʨʰiŋ˥˩$
磷	liŋ˨˨˧$
礎	ʦʰu˧˧˦$
礓	ʨiɪ̃˦˧˧$
礙	ŋæ˧˩$
礦	kʰuɑŋ˥˩$
礬	væ̃˨˨˧$
示	zɿ˧˩$
礼	li˧˧˦$
社	ʑiæ˨˨˧$
祀	zɿ˧˩$
祁	ʥi˨˨˧$
祈	ʨʰi˧˧˦$
祖	ʦu˧˧˦$
祝	ʨyɔʔ˥$
神	ʑiᴇŋ˨˨˧$
祠	zɿ˨˨˧$
祥	ziɪ̃˨˨˧$
票	pʰiɒ˥˩$
祭	ʦi˥˩$
祷	tɒ˧˧˦$
祸	ɦʌɤ˧˩$
祿	lɔʔ˧˦$
禀	piŋ˧˧˦$
禁	ʨiŋ˦˧˧$
禄	lɔʔ˧˦$
禅	ʑyɯ̃˨˨˧$
禍	ɦʌɤ˧˩$
福	fɔʔ˥$
禦	y˥˩$
禪	ʑyɯ̃˨˨˧$
禮	li˧˧˦$
禱	tɒ˧˧˦$
禹	y˧˧˦$
离	li˨˨˧$
禽	ʥiŋ˨˨˧$
禾	ɦʌɤ˨˨˧$
禿	tʰɔʔ˥$
秀	siøʏ˥˩$
私	sɿ˦˧˧$
秃	tʰɔʔ˥$
秆	kɯ̃˧˧˦$
秉	piŋ˧˧˦$
秋	ʦʰiøʏ˦˧˧$
种	ʨioŋ˧˧˦$
科	kʰʌɤ˦˧˧$
秒	miɒ˧˧˦$
秘	pi˥˩$
租	ʦu˦˧˧$
秤	ʨʰiᴇŋ˥˩$
秦	ziŋ˨˨˧$
秧	iɪ̃˦˧˧$
秩	ʥiɘʔ˧˦$
积	ʦiɪʔ˥$
称	ʨʰiᴇŋ˦˧˧$
秸	kæ˦˧˧$
移	ɦi˨˨˧$
秽	ue˥˩$
稀	ɕi˦˧˧$
稅	ɕye˥˩$
稈	kɯ̃˧˧˦$
程	ʥiᴇŋ˨˨˧$
稍	sɒ˥˩$
税	ɕye˥˩$
稗	bæ˧˩$
稚	ʦɿ˧˩$
稟	piŋ˧˧˦$
稠	ʥiøʏ˨˨˧$
種	ʨioŋ˧˧˦$
稱	ʨʰiᴇŋ˦˧˧$
稳	uᴇŋ˧˧˦$
稻	dɒ˧˩$
稼	ʨiɑ˥˩$
稽	ʨi˦˧˧$
稿	kɒ˧˧˦$
穀	kɔʔ˥$
