㪕	ʨʰiɑʔ˥$
先	siɪ̃˦˧˧$
光	kuɑŋ˦˧˧$
克	kʰəʔ˥$
兌	de˧˩$
免	miɪ̃˧˧˦$
兑	de˧˩$
兒	ɦɚ˨˨˧$
兔	tʰu˥˩$
兖	iɪ̃˧˧˦$
兗	iɪ̃˧˧˦$
党	tɑŋ˧˧˦$
兜	tøʏ˦˧˧$
入	ʑyəʔ˧˦$
內	ne˧˩$
全	ziɪ̃˨˨˧$
兩	liɪ̃˧˧˦$
八	pɑʔ˥$
公	koŋ˦˧˧$
六	lɔʔ˧˦$
兮	ɦi˨˨˧$
兰	læ̃˨˨˧$
共	goŋ˧˩$
关	kuæ̃˦˧˧$
兴	ɕiŋ˦˧˧$
兵	piŋ˦˧˧$
其	ʥi˨˨˧$
具	ʥy˧˩$
典	tiɪ̃˧˧˦$
兹	ʦɿ˦˧˧$
养	iɪ̃˧˧˦$
兼	ʨiɪ̃˦˧˧$
兽	ɕiøʏ˥˩$
冀	ʨi˥˩$
内	ne˧˩$
冈	kɑŋ˦˧˧$
冉	ɕyɯ̃˧˧˦$
冊	ʦʰəʔ˥$
册	ʦʰəʔ˥$
再	ʦæ˥˩$
冒	mɒ˧˩$
冗	ȵioŋ˨˧˧$
写	siɑ˧˧˦$
军	ʨyŋ˦˧˧$
农	noŋ˨˨˧$
冠	kɯ̃˦˧˧$
冢	ʨioŋ˧˧˦$
冤	yɯ̃˦˧˧$
冬	toŋ˦˧˧$
冯	voŋ˨˨˧$
冰	piŋ˦˧˧$
冲	ʨʰioŋ˦˧˧$
决	ʨyʊʔ˥$
况	kuɑŋ˥˩$
冷	lᴇŋ˧˧˦$
冻	toŋ˥˩$
净	ziŋ˧˩$
准	ʨyᴇŋ˧˧˦$
凉	liɪ̃˨˨˧$
凌	liŋ˨˨˧$
凍	toŋ˥˩$
减	kæ̃˧˧˦$
凑	ʦʰʌɤ˥˩$
凖	ʨyᴇŋ˧˧˦$
凝	ȵiŋ˨˨˧$
几	ʨi˧˧˦$
凡	væ̃˨˨˧$
凤	voŋ˧˩$
凭	biŋ˨˨˧$
凯	kʰæ˧˧˦$
凱	kʰæ˧˧˦$
凳	tᴇŋ˥˩$
凶	ɕioŋ˦˧˧$
出	ʨyəʔ˥$
击	ʨiɪʔ˥$
函	ɦɯ̃˨˨˧$
凿	zɔʔ˧˦$
刀	tɒ˦˧˧$
刁	tiɒ˦˧˧$
刃	iᴇŋ˧˧˦$
分	fᴇŋ˦˧˧$
切	ʦʰiɪʔ˥$
刈	ȵi˧˩$
刊	kʰɯ̃˦˧˧$
刎	uᴇŋ˧˧˦$
刑	ɦiŋ˨˨˧$
划	ɦuɑʔ˧˦$
列	liɪʔ˧˦$
刘	løʏ˨˨˧$
则	ʦəʔ˥$
刚	kɑŋ˦˧˧$
创	ʦʰyɑŋ˥˩$
初	ʦʰʌɤ˦˧˧$
删	sæ̃˦˧˧$
判	pʰɯ̃˥˩$
別	biɪʔ˧˦$
刨	bɒ˨˨˧$
利	li˧˩$
刪	sæ̃˦˧˧$
别	biɪʔ˧˦$
刮	kuɑʔ˥$
到	tɒ˥˩$
制	ʦɿ˥˩$
刷	ɕyɑʔ˥$
券	ʨʰyɯ̃˥˩$
刺	ʦʰɿ˥˩$
刻	kʰəʔ˥$
刽	kue˥˩$
剁	tʌɤ˥˩$
剂	zi˧˩$
剃	tʰi˥˩$
則	ʦəʔ˥$
削	siɑʔ˥$
前	ziɪ̃˨˨˧$
剑	ʨiɪ̃˥˩$
剔	tʰiɪʔ˥$
剖	pʰe˦˧˧$
剛	kɑŋ˦˧˧$
剜	ɯ̃˦˧˧$
剝	pɔʔ˥$
剥	pɔʔ˥$
剧	ʥiɑʔ˧˦$
剩	ʑiᴇŋ˧˩$
剪	ʦiɪ̃˧˧˦$
副	fu˥˩$
割	kʊʔ˥$
創	ʦʰyɑŋ˥˩$
剿	ʦiɒ˧˧˦$
劃	ɦuɑʔ˧˦$
劄	ʦɑʔ˥$
劇	ʥiɑʔ˧˦$
劈	pʰiɪʔ˥$
劉	løʏ˨˨˧$
劊	kue˥˩$
劍	ʨiɪ̃˥˩$
劐	ho˦˧˧$
劑	zi˧˩$
力	liɪʔ˧˦$
劝	ʨʰyɯ̃˥˩$
办	bæ̃˧˩$
功	koŋ˦˧˧$
加	ko˦˧˧$
务	vu˧˩$
劣	liɪʔ˧˦$
动	doŋ˧˩$
助	zu˧˩$
努	nu˧˧˦$
劫	ʨiɪʔ˥$
励	li˧˩$
劲	ʨiŋ˥˩$
劳	lɒ˨˨˧$
势	sɿ˥˩$
勁	ʨiŋ˥˩$
勃	bəʔ˧˦$
勇	ioŋ˧˧˦$
勉	miɪ̃˧˧˦$
勋	ɕyŋ˦˧˧$
勒	ləʔ˧˦$
動	doŋ˧˩$
勘	kʰɯ̃˥˩$
務	vu˧˩$
勝	ɕiᴇŋ˥˩$
勞	lɒ˨˨˧$
募	mʌɤ˧˩$
勢	sɿ˥˩$
勤	ʥiŋ˨˨˧$
勳	ɕyŋ˦˧˧$
勵	li˧˩$
勸	ʨʰyɯ̃˥˩$
勺	ʑiɑʔ˧˦$
勻	ɦyŋ˨˨˧$
勾	køʏ˦˧˧$
勿	vəʔ˧˦$
匀	ɦyŋ˨˨˧$
