㞞	zəŋ˧$
瞞	mɜ̃˧$
瞧	ʥiɔ˧$
瞪	tẽŋ˥˧˧$
瞳	dəŋ˧$
瞻	ʦɜ̃˥˧˧$
知	ʦɿ˥˧˧$
矩	ʨy˥˧˧$
短	tɜ̃˦˥˨$
矮	ᴀ˦˥˨$
石	zɛʔ˨˧$
矿	kʰɔ̃˦˨˦$
码	mɔ˨˦˧$
研	ȵiɛ̃˥˧˧$
砖	ʦɜ̃˥˧˧$
破	pʰᴀ˦˨˦$
础	ʦʰu˦˥˨$
硫	le˧$
硬	ŋᴀ̃˩˩˧$
确	kʰɔʔ˥$
碌	lɤʔ˨˧$
碎	sᴇ˦˨˦$
碑	pe˥˧˧$
碗	uɜ̃˦˥˨$
碘	tiɛ̃˦˥˨$
碧	piʔ˥$
碰	bᴀ̃˩˩˧$
確	kʰɔʔ˥$
碼	mɔ˨˦˧$
磁	ʣɿ˧$
磕	kʰeʔ˥$
磚	ʦɜ̃˥˧˧$
礎	ʦʰu˦˥˨$
礦	kʰɔ̃˦˨˦$
示	zɿ˨˦˧$
礼	li˨˦˧$
社	zɔ˨˦˧$
祖	ʦu˦˥˨$
祝	ʦɤʔ˥$
神	zẽŋ˧$
祠	zɿ˧$
祥	ɦiᴀ̃˧$
票	pʰiɔ˦˨˦$
祭	ʨi˦˨˦$
祸	ɦɯ˨˦˧$
禁	ʨiŋ˦˨˦$
禍	ɦɯ˨˦˧$
福	fɤʔ˥$
禮	li˨˦˧$
离	li˧$
禾	ɦɯ˧$
秀	ɕiʊ˦˨˦$
私	sɿ˥˧˧$
秆	kɜ̃˦˥˨$
秋	ʨʰiʊ˥˧˧$
种	ʦəŋ˦˨˦$
科	kʰɯ˥˧˧$
秒	miɔ˧$
租	ʦu˥˧˧$
秤	ʦʰẽŋ˦˨˦$
秧	iᴀ̃˥˧˧$
积	ʨiʔ˥$
称	ʦʰẽŋ˦˨˦$
移	ɦi˧$
稀	ɕi˥˧˧$
稅	se˦˨˦$
稈	kɜ̃˦˥˨$
稍	sɒ˥˧˧$
税	se˦˨˦$
稗	bᴀ˩˩˧$
種	ʦəŋ˦˨˦$
稱	ʦʰẽŋ˦˨˦$
稳	uẽŋ˦˥˨$
稻	dɒ˨˦˧$
稿	kɒ˦˥˨$
積	ʨiʔ˥$
穩	uẽŋ˦˥˨$
穷	ʥyoŋ˧$
空	kʰoŋ˦˨˦$
穿	ʦʰɜ̃˥˧˧$
突	dəʔ˨˧$
窍	ʨʰiɔ˦˨˦$
窑	ɦiɔ˧$
窗	ʦʰɔ̃˥˧˧$
窝	ɯ˥˧˧$
窟	kʰuʔ˥$
窠	kʰɯ˥˧˧$
窩	ɯ˥˧˧$
窮	ʥyoŋ˧$
窯	ɦiɔ˧$
竅	ʨʰiɔ˦˨˦$
立	liʔ˨˧$
站	ʣɛ̃˨˦˧$
章	ʦɔ̃˥˧˧$
童	dəŋ˧$
端	tẽŋ˥˧˧$
竹	ʦɤʔ˥$
竿	kɜ̃˦˥˨$
笃	tɔʔ˥$
笆	pɔ˥˧˧$
笋	sẽŋ˦˥˨$
笑	ɕiɔ˦˨˦$
笔	piʔ˥$
笛	diʔ˨˧$
笡	ʨʰiᴀ˦˥˨$
符	vu˧$
笨	bẽŋ˩˩˧$
第	di˩˩˧$
笼	ləŋ˧$
筆	piʔ˥$
等	tẽŋ˦˥˨$
筋	ʨiŋ˥˧˧$
筍	sẽŋ˦˥˨$
筏	vɛʔ˨˧$
筐	kʰɔ̃˥˧˧$
筒	dəŋ˧$
答	tɛʔ˥$
策	ʦʰᴀʔ˥$
筛	sɿ˥˧˧$
筷	kʰuᴀ˦˨˦$
筹	ʥiʊ˧$
签	ʨʰiɛ̃˥˧˧$
简	ʨiɛ̃˦˥˨$
箍	kʰu˥˧˧$
算	sɜ̃˦˨˦$
管	kuɜ̃˦˥˨$
箫	ɕiɔ˥˧˧$
箭	ʨiɛ̃˦˨˦$
箱	ɕiᴀ̃˥˧˧$
箸	ʣɿ˩˩˧$
節	ʨiɪʔ˥$
篇	pʰiɛ̃˥˧˧$
篤	tɔʔ˥$
篩	sɿ˥˧˧$
篮	lɛ̃˧$
篱	li˧$
篷	bəŋ˧$
簡	ʨiɛ̃˦˥˨$
簫	ɕiɔ˥˧˧$
簷	ɦiɛ̃˧$
簽	ʨʰiɛ̃˥˧˧$
簾	liɛ̃˧$
簿	bu˨˦˧$
籃	lɛ̃˧$
籌	ʥiʊ˧$
籍	ʥiʔ˨˧$
籠	ləŋ˧$
籬	li˧$
米	mi˨˦˧$
粉	fẽŋ˦˥˨$
粒	liʔ˨˧$
粗	ʦʰu˥˧˧$
粤	ɦyɪʔ˨˧$
粥	ʦɤʔ˥$
粪	fẽŋ˦˨˦$
粮	liᴀ̃˧$
粱	liᴀ̃˧$
粵	ɦyɪʔ˨˧$
粽	ʦəŋ˦˨˦$
精	ʨiŋ˥˧˧$
糊	vu˧$
糕	kɒ˥˧˧$
糖	dɔ̃˧$
糙	ʦʰɒ˦˨˦$
糞	fẽŋ˦˨˦$
糟	ʦɒ˥˧˧$
糠	kʰɔ̃˥˧˧$
糧	liᴀ̃˧$
糯	nɯ˩˩˧$
系	ʨi˦˨˦$
糾	ʨiʊ˥˧˧$
約	iᴀʔ˥$
紅	ɦəŋ˧$
紋	vẽŋ˧$
紐	ȵiʊ˨˦˧$
純	zẽŋ˧$
紗	sɔ˥˧˧$
紙	ʦɿ˦˥˨$
級	ʨiʔ˥$
素	su˦˨˦$
索	sɔʔ˥$
紧	ʨiŋ˦˥˨$
紫	ʦɿ˦˥˨$
細	ɕi˦˨˦$
紹	zɒ˧$
終	ʦəŋ˥˧˧$
組	ʦu˦˥˨$
結	ʨiɪʔ˥$
絞	kɒ˦˥˨$
絨	ȵyoŋ˧$
統	tʰəŋ˦˥˨$
絲	sɿ˥˧˧$
絹	ʨyɛ̃˦˨˦$
綁	pɔ̃˦˥˨$
維	vi˧$
網	mɔ̃˨˦˧$
緊	ʨiŋ˦˥˨$
緑	lɤʔ˨˧$
線	ɕiɛ̃˦˨˦$
緣	ɦyɛ̃˧$
編	piɛ̃˥˧˧$
緩	vɜ̃˨˦˧$
練	liɛ̃˩˩˧$
縣	ɦyɛ̃˩˩˧$
縫	vəŋ˧$
縮	sɤʔ˥$
總	ʦəŋ˦˥˨$
績	ʨiʔ˥$
繁	vɛ̃˧$
繃	pᴀ̃˥˧˧$
繞	ȵiɔ˩˩˧$
繡	ɕiʊ˦˨˦$
繩	zẽŋ˧$
繪	ve˩˩˧$
繭	ʨiɛ̃˦˥˨$
繳	ʨiɔ˦˥˨$
繼	ʨi˦˨˦$
繽	piŋ˥˧˧$
續	zeʔ˨˧$
纏	ʣɛ̃˧$
纠	ʨiʊ˥˧˧$
红	ɦəŋ˧$
约	iᴀʔ˥$
级	ʨiʔ˥$
纯	zẽŋ˧$
纱	sɔ˥˧˧$
纸	ʦɿ˦˥˨$
纹	vẽŋ˧$
纽	ȵiʊ˨˦˧$
线	ɕiɛ̃˦˨˦$
练	liɛ̃˩˩˧$
组	ʦu˦˥˨$
细	ɕi˦˨˦$
终	ʦəŋ˥˧˧$
绍	zɒ˧$
绑	pɔ̃˦˥˨$
绒	ȵyoŋ˧$
结	ʨiɪʔ˥$
绕	ȵiɔ˩˩˧$
绘	ve˩˩˧$
绞	kɒ˦˥˨$
统	tʰəŋ˦˥˨$
绢	ʨyɛ̃˦˨˦$
绣	ɕiʊ˦˨˦$
继	ʨi˦˨˦$
绩	ʨiʔ˥$
续	zeʔ˨˧$
绳	zẽŋ˧$
维	vi˧$
绷	pᴀ̃˥˧˧$
缓	vɜ̃˨˦˧$
编	piɛ̃˥˧˧$
缘	ɦyɛ̃˧$
缝	vəŋ˧$
缠	ʣɛ̃˧$
缤	piŋ˥˧˧$
缩	sɤʔ˥$
缴	ʨiɔ˦˥˨$
缸	kɔ̃˥˧˧$
缺	ʨʰyɪʔ˥$
缽	pəʔ˥$
罐	kuɜ̃˦˨˦$
网	mɔ̃˨˦˧$
罕	hɜ̃˦˥˨$
罚	vɛʔ˨˧$
罢	bᴀ˨˦˧$
罩	ʦɒ˦˨˦$
罪	ʣe˨˦˧$
罰	vɛʔ˨˧$
罵	mɔ˩˩˧$
罷	bᴀ˨˦˧$
羊	ɦiᴀ̃˧$
美	me˨˦˧$
群	ʥyoŋ˧$
義	ȵi˩˩˧$
羹	kᴀ̃˥˧˧$
羽	ɦy˨˦˧$
翁	əŋ˥˧˧$
習	ʥiʔ˨˧$
翘	ʨʰiɔ˦˨˦$
翠	ʦʰe˦˨˦$
翹	ʨʰiɔ˦˨˦$
翻	fɛ̃˥˧˧$
老	lɒ˨˦˧$
考	kʰɒ˦˥˨$
而	ɤ˧$
耐	nᴇ˩˩˧$
耕	kᴀ̃˥˧˧$
耗	hɒ˦˨˦$
耳	ŋ̩˧$
耽	tɛ̃˥˧˧$
聊	liɔ˧$
聋	ləŋ˧$
职	ʦeʔ˥$
联	liɛ̃˧$
聖	sẽŋ˦˨˦$
聘	pʰiŋ˦˨˦$
聚	ʣɿ˩˩˧$
聞	mẽŋ˧$
聪	ʦʰəŋ˥˧˧$
聯	liɛ̃˧$
聰	ʦʰəŋ˥˧˧$
聲	sẽŋ˥˧˧$
職	ʦeʔ˥$
聽	tʰiŋ˦˨˦$
聾	ləŋ˧$
肉	ȵyʔ˨˧$
肌	ʨi˥˧˧$
肚	du˨˦˧$
肝	kɜ̃˥˧˧$
肠	ʥiᴀ̃˧$
股	ku˦˥˨$
肢	ʦɿ˥˧˧$
肤	fu˥˧˧$
肥	bi˧$
肩	ʨiɛ̃˥˧˧$
肯	kʰẽŋ˦˥˨$
育	ɦyʔ˨˧$
肴	ɦiɔ˧$
肺	fi˦˨˦$
肿	ʦəŋ˦˥˨$
胀	ʦᴀ̃˦˨˦$
胃	ve˩˩˧$
胆	tɛ̃˦˥˨$
背	bᴇ˩˩˧$
胎	tʰᴇ˥˧˧$
胖	pʰɔ̃˦˨˦$
胚	pʰᴇ˥˧˧$
胜	sẽŋ˦˨˦$
胞	pɒ˥˧˧$
胡	vu˧$
胶	kɒ˥˧˧$
胸	ɕyoŋ˥˧˧$
能	nẽŋ˧$
脆	ʦʰe˦˨˦$
脈	mᴀʔ˨˧$
脉	mᴀʔ˨˧$
脏	ʦɔ̃˦˨˦$
脑	nɒ˨˦˧$
脓	nəŋ˧$
脚	ʨiᴀʔ˥$
脫	tʰeʔ˥$
脬	pʰɒ˦˥˨$
脱	tʰeʔ˥$
脸	liɛ̃˨˦˧$
脹	ʦᴀ̃˦˨˦$
脾	bi˧$
腊	lɛʔ˨˧$
腐	vu˩˩˧$
腔	ʨʰiᴀ̃˥˧˧$
腕	uɜ̃˦˥˨$
腥	ɕiŋ˥˧˧$
腦	nɒ˨˦˧$
腫	ʦəŋ˦˥˨$
腮	sᴇ˥˧˧$
腰	iɔ˥˧˧$
腳	ʨiᴀʔ˥$
腸	ʥiᴀ̃˧$
腻	ȵi˩˩˧$
腿	tʰᴇ˦˥˨$
膊	pɤʔ˥$
膏	kɒ˥˧˧$
膚	fu˥˧˧$
膝	ɕiʔ˥$
膠	kɒ˥˧˧$
膩	ȵi˩˩˧$
膽	tɛ̃˦˥˨$
膿	nəŋ˧$
臂	piʔ˥$
臉	liɛ̃˨˦˧$
臘	lɛʔ˨˧$
臟	ʦɔ̃˦˨˦$
臣	ʣẽŋ˧$
臥	ŋɯ˩˩˧$
臨	liŋ˧$
自	zɿ˩˩˧$
臭	ʨʰiʊ˦˨˦$
至	ʦɿ˦˨˦$
舀	iɔ˦˥˨$
舅	ʥiʊ˨˦˧$
興	ɕiŋ˦˨˦$
舉	ʨy˦˥˨$
舊	ʥiʊ˩˩˧$
舌	ɦiɪʔ˨˧$
舍	sɔ˦˨˦$
舒	sɿ˥˧˧$
舔	tʰiɛ̃˦˥˨$
舞	vu˨˦˧$
舟	ʨiʊ˥˧˧$
航	ɦɔ̃˧$
般	pɛ̃˥˧˧$
船	zɜ̃˧$
良	liᴀ̃˧$
色	seʔ˥$
艳	ɦiɛ̃˩˩˧$
艷	ɦiɛ̃˩˩˧$
艺	ȵi˩˩˧$
艾	ŋᴇ˩˩˧$
节	ʨiɪʔ˥$
芋	ɦy˩˩˧$
芒	mɔ̃˧$
芜	vu˧$
芦	lu˧$
芭	pɔ˥˧˧$
花	fɔ˥˧˧$
芳	fɔ̃˥˧˧$
芹	ʥiŋ˧$
芽	ŋɔ˧$
苇	ve˧$
苋	hɛ̃˦˨˦$
苍	ʦʰɔ̃˥˧˧$
苏	su˥˧˧$
苔	dᴇ˧$
苗	miɔ˧$
若	zᴀʔ˨˧$
苦	kʰu˦˥˨$
英	iŋ˥˧˧$
苹	biŋ˧$
茄	ʥiᴀ˧$
茅	mɒ˧$
茧	ʨiɛ̃˦˥˨$
茫	mɔ̃˧$
茲	ʦɿ˥˧˧$
茶	ʣɔ˧$
草	ʦʰɒ˦˥˨$
荒	fɔ̃˥˧˧$
荔	li˩˩˧$
荠	ʥi˨˦˧$
荡	dɔ̃˨˦˧$
荣	ɦyoŋ˧$
荤	fẽŋ˥˧˧$
荫	iŋ˥˧˧$
药	ɦiᴀʔ˨˧$
荷	ɦɯ˧$
莉	li˧$
莓	mᴇ˧$
莧	hɛ̃˦˨˦$
莱	lᴇ˧$
莲	liɛ̃˧$
获	ɦɤʔ˨˧$
莽	mɔ̃˨˦˧$
菊	ʨyʔ˥$
菌	ʨʰyoŋ˥˧˧$
菜	ʦʰᴇ˦˨˦$
菩	bɯ˧$
華	vɔ˧$
菲	fi˥˧˧$
萄	dɒ˧$
萊	lᴇ˧$
萍	biŋ˧$
萝	lɯ˧$
萤	iŋ˥˧˧$
营	ɦiŋ˧$
萨	sɛʔ˥$
萬	vɛ̃˩˩˧$
落	lɔʔ˨˧$
葉	ɦiɪʔ˨˧$
著	ʥiᴀʔ˨˧$
葛	kəʔ˥$
葡	bu˧$
董	təŋ˦˥˨$
葦	ve˧$
葫	vu˧$
葬	ʦɔ̃˦˨˦$
葱	ʦʰəŋ˥˧˧$
葵	gue˧$
葷	fẽŋ˥˧˧$
蒂	ti˦˨˦$
蒙	məŋ˧$
蒜	sɜ̃˦˨˦$
蒲	bu˧$
蒸	ʨiŋ˥˧˧$
蒼	ʦʰɔ̃˥˧˧$
蒿	hɒ˥˧˧$
蓋	kᴇ˦˨˦$
蓝	lɛ̃˧$
蓬	bəŋ˧$
蓮	liɛ̃˧$
蔑	miɪʔ˨˧$
蔗	ʦɔ˥˧˧$
蔡	ʦʰᴀ˦˨˦$
蔥	ʦʰəŋ˥˧˧$
蔬	su˥˧˧$
蔭	iŋ˥˧˧$
蕪	vu˧$
蕾	lᴇ˧$
薄	bɤʔ˨˧$
薩	sɛʔ˥$
薪	ɕiŋ˥˧˧$
薯	zɿ˧$
薺	ʥi˨˦˧$
藍	lɛ̃˧$
藏	ʣɔ̃˩˩˧$
藝	ȵi˩˩˧$
藤	dẽŋ˧$
藥	ɦiᴀʔ˨˧$
藿	hɔʔ˥$
蘆	lu˧$
蘇	su˥˧˧$
蘋	biŋ˧$
蘭	lɛ̃˧$
蘸	ʦɛ̃˦˨˦$
蘿	lɯ˧$
虎	fu˦˥˨$
虐	ȵiᴀʔ˨˧$
虑	li˩˩˧$
處	ʦʰɿ˦˥˨$
虚	ɕy˥˧˧$
虛	ɕy˥˧˧$
虞	ȵy˧$
號	ɦɒ˩˩˧$
虧	kʰue˥˧˧$
虫	ʣəŋ˧$
虹	ɦəŋ˧$
虽	se˥˧˧$
虾	fɔ˥˧˧$
蚁	ŋᴀ˧$
蚂	mɔ˨˦˧$
蚊	mẽŋ˧$
蚌	bᴀ̃˧$
蚕	zɜ̃˧$
蚤	ʦɔ˦˥˨$
蛇	zɔ˧$
蛋	dɛ̃˩˩˧$
蛔	ve˧$
蛙	uᴀ˥˧˧$
蛛	ʦɿ˥˧˧$
蛾	ŋɯ˧$
蜂	fəŋ˥˧˧$
蜓	diŋ˧$
蜜	miʔ˨˧$
蜡	lɛʔ˨˧$
蜢	mᴀ̃˨˦˧$
蜻	ʨʰiŋ˥˧˧$
蝇	ɦiŋ˧$
蝗	vɔ̃˧$
蝦	fɔ˥˧˧$
蝶	diɪʔ˨˧$
螂	lɔ̃˧$
螞	mɔ˨˦˧$
螢	iŋ˥˧˧$
螳	dɔ̃˧$
螺	lɯ˧$
蟒	mɔ̃˨˦˧$
蟲	ʣəŋ˧$
蟹	hᴀ˦˥˨$
蟻	ŋᴀ˧$
蠅	ɦiŋ˧$
蠟	lɛʔ˨˧$
蠢	ʦʰẽŋ˦˥˨$
蠶	zɜ̃˧$
血	ɕyɪʔ˥$
行	ɦiŋ˧$
術	ʣeʔ˨˧$
衔	gɛ̃˧$
街	kᴀ˥˧˧$
衛	ve˩˩˧$
衝	ʦʰəŋ˥˧˧$
衡	ɦẽŋ˧$
衢	ʥy˧$
衣	i˥˧˧$
补	pu˦˥˨$
表	piɔ˦˥˨$
袁	ɦyɛ̃˧$
袄	ɒ˦˥˨$
袋	dᴇ˩˩˧$
袍	bɒ˧$
袖	ɦiʊ˩˩˧$
袜	mɛʔ˨˧$
被	be˨˦˧$
袱	vɤʔ˨˧$
裁	ʣᴇ˧$
裂	liɪʔ˨˧$
装	ʦɔ̃˥˧˧$
裙	ʥyoŋ˧$
補	pu˦˥˨$
裝	ʦɔ̃˥˧˧$
裡	li˨˦˧$
裤	kʰu˦˨˦$
裳	zɔ̃˧$
裹	kɯ˦˥˨$
褒	pɒ˥˧˧$
褪	tʰẽŋ˦˨˦$
褲	kʰu˦˨˦$
襖	ɒ˦˥˨$
襪	mɛʔ˨˧$
襻	pʰɛ̃˦˨˦$
西	ɕi˥˧˧$
要	iɔ˦˨˦$
見	ʨiɛ̃˦˨˦$
規	kue˥˧˧$
視	zɿ˩˩˧$
親	ʨʰiŋ˥˧˧$
覺	kɒ˥˧˧$
觀	kuɜ̃˥˧˧$
见	ʨiɛ̃˦˨˦$
观	kuɜ̃˥˧˧$
规	kue˥˧˧$
视	zɿ˩˩˧$
觉	kɒ˥˧˧$
角	kɔʔ˥$
解	kᴀ˦˥˨$
触	ʦʰɤʔ˥$
觸	ʦʰɤʔ˥$
言	ɦiɛ̃˧$
訂	tiŋ˦˨˦$
計	ʨi˦˨˦$
討	tʰɒ˦˥˨$
訓	ɕyoŋ˦˨˦$
記	ʨi˦˨˦$
訣	ʨyɪʔ˥$
訪	fɔ̃˦˥˨$
設	səʔ˥$
許	ɕy˦˥˨$
訴	su˦˨˦$
診	ʦẽŋ˦˥˨$
評	biŋ˧$
詞	zɿ˧$
試	sɿ˦˨˦$
詩	sɿ˥˧˧$
話	vɔ˩˩˧$
該	kᴇ˥˧˧$
詳	ɦiᴀ̃˧$
詹	ʦɜ̃˥˧˧$
誇	kʰɔ˥˧˧$
認	zẽŋ˩˩˧$
語	ȵy˨˦˧$
誠	ʣẽŋ˧$
誤	vu˩˩˧$
誦	ʣəŋ˩˩˧$
說	səʔ˥$
課	kʰɯ˦˨˦$
調	diɔ˧$
談	dɛ̃˧$
請	ʨʰiŋ˦˥˨$
諒	liᴀ̃˩˩˧$
論	lẽŋ˩˩˧$
諜	diɪʔ˨˧$
諾	nɔʔ˨˧$
謂	ve˩˩˧$
謊	fɔ̃˦˥˨$
謎	mi˧$
謗	pɔ̃˦˨˦$
謙	ʨʰiɛ̃˥˧˧$
講	kɔ̃˦˥˨$
謝	ɦiᴀ˩˩˧$
謡	ɦiɔ˧$
證	ʦẽŋ˦˨˦$
識	seʔ˥$
譚	dɜ̃˧$
譜	pu˦˥˨$
警	ʨiŋ˦˥˨$
譯	ɦiʔ˨˧$
護	vu˩˩˧$
讀	dɤʔ˨˧$
變	piɛ̃˦˨˦$
讓	ȵiᴀ̃˩˩˧$
计	ʨi˦˨˦$
订	tiŋ˦˨˦$
认	zẽŋ˩˩˧$
讨	tʰɒ˦˥˨$
让	ȵiᴀ̃˩˩˧$
训	ɕyoŋ˦˨˦$
记	ʨi˦˨˦$
讲	kɔ̃˦˥˨$
许	ɕy˦˥˨$
论	lẽŋ˩˩˧$
设	səʔ˥$
访	fɔ̃˦˥˨$
诀	ʨyɪʔ˥$
证	ʦẽŋ˦˨˦$
评	biŋ˧$
识	seʔ˥$
诉	su˦˨˦$
诊	ʦẽŋ˦˥˨$
词	zɿ˧$
译	ɦiʔ˨˧$
试	sɿ˦˨˦$
诗	sɿ˥˧˧$
诚	ʣẽŋ˧$
话	vɔ˩˩˧$
该	kᴇ˥˧˧$
详	ɦiᴀ̃˧$
语	ȵy˨˦˧$
误	vu˩˩˧$
说	səʔ˥$
诵	ʣəŋ˩˩˧$
请	ʨʰiŋ˦˥˨$
诺	nɔʔ˨˧$
读	dɤʔ˨˧$
课	kʰɯ˦˨˦$
调	diɔ˧$
谅	liᴀ̃˩˩˧$
谈	dɛ̃˧$
谍	diɪʔ˨˧$
谎	fɔ̃˦˥˨$
谓	ve˩˩˧$
谜	mi˧$
谢	ɦiᴀ˩˩˧$
谤	pɔ̃˦˨˦$
谦	ʨʰiɛ̃˥˧˧$
谭	dɜ̃˧$
谱	pu˦˥˨$
谷	kuʔ˥$
豆	de˩˩˧$
豌	uɜ̃˦˥˨$
豐	fəŋ˥˧˧$
象	ʥiᴀ̃˨˦˧$
豪	ɦɒ˧$
豫	ɦy˩˩˧$
豬	ʦɿ˥˧˧$
豹	pɒ˦˨˦$
豺	zᴀ˧$
貌	mɒ˩˩˧$
貓	mɒ˧$
貝	pe˦˨˦$
財	ʣᴇ˧$
貧	biŋ˧$
貨	hɯ˦˨˦$
販	fɛ̃˦˨˦$
貪	tʰɜ̃˥˧˧$
貫	kuɛ̃˦˨˦$
責	ʦeʔ˥$
貴	ʨy˦˨˦$
貶	piɛ̃˦˥˨$
買	mᴀ˨˦˧$
貸	dᴇ˩˩˧$
費	fi˦˨˦$
貼	tʰiɪʔ˥$
賀	ɦɯ˩˩˧$
賄	fe˦˥˨$
資	ʦɿ˥˧˧$
賊	zeʔ˨˧$
賒	sɔ˥˧˧$
賓	piŋ˥˧˧$
賞	sᴀ̃˦˥˨$
賠	bᴇ˧$
賣	mᴀ˩˩˧$
質	ʦeʔ˥$
賭	tu˦˥˨$
賴	lᴀ˩˩˧$
賺	ʣɛ̃˨˦˧$
購	ke˦˨˦$
贊	ʦɛ̃˦˨˦$
贏	ɦiŋ˧$
贓	ʦɔ̃˥˧˧$
贝	pe˦˨˦$
财	ʣᴇ˧$
责	ʦeʔ˥$
败	bᴀ˩˩˧$
货	hɯ˦˨˦$
质	ʦeʔ˥$
贩	fɛ̃˦˨˦$
贪	tʰɜ̃˥˧˧$
贫	biŋ˧$
贬	piɛ̃˦˥˨$
购	ke˦˨˦$
贯	kuɛ̃˦˨˦$
贴	tʰiɪʔ˥$
贵	ʨy˦˨˦$
贷	dᴇ˩˩˧$
费	fi˦˨˦$
贺	ɦɯ˩˩˧$
贼	zeʔ˨˧$
贿	fe˦˥˨$
赃	ʦɔ̃˥˧˧$
资	ʦɿ˥˧˧$
赊	sɔ˥˧˧$
赌	tu˦˥˨$
赏	sᴀ̃˦˥˨$
赔	bᴇ˧$
赖	lᴀ˩˩˧$
赚	ʣɛ̃˨˦˧$
赞	ʦɛ̃˦˨˦$
赢	ɦiŋ˧$
赤	ʦʰeʔ˥$
走	ʨiʊ˦˥˨$
赵	ʣɒ˨˦˧$
赶	kɜ̃˦˥˨$
起	ʨʰi˦˥˨$
超	ʦʰɒ˥˧˧$
越	ɦyɪʔ˨˧$
趋	ʨʰy˥˧˧$
趕	kɜ̃˦˥˨$
趙	ʣɒ˨˦˧$
趟	tʰɔ̃˦˨˦$
趣	ʦʰɿ˦˨˦$
趤	dɔ̃˩˩˧$
趨	ʨʰy˥˧˧$
足	ʦɤʔ˥$
跌	tiɪʔ˥$
跑	bɒ˧$
距	ʥy˩˩˧$
跟	kẽŋ˥˧˧$
跡	ʨiʔ˥$
跪	ʥy˨˦˧$
路	lu˩˩˧$
跳	tʰiɔ˦˨˦$
跷	ʨʰiɔ˥˧˧$
踏	dɛʔ˨˧$
踢	tʰiʔ˥$
踩	ʦʰᴇ˦˥˨$
踪	ʦəŋ˥˧˧$
踱	dɔʔ˨˧$
蹋	tʰɛʔ˥$
蹲	tẽŋ˥˧˧$
蹺	ʨʰiɔ˥˧˧$
身	sẽŋ˥˧˧$
躬	koŋ˥˧˧$
躯	ʨʰy˥˧˧$
躲	tɯ˦˥˨$
躺	tʰɔ̃˦˥˨$
軀	ʨʰy˥˧˧$
車	ʦʰɔ˥˧˧$
軌	kue˥˧˧$
軍	ʨyoŋ˥˧˧$
軟	ȵyɛ̃˨˦˧$
軸	ʥyʔ˨˧$
載	ʦᴇ˦˨˦$
輕	ʨʰiŋ˥˧˧$
輛	liᴀ̃˩˩˧$
輝	fe˥˧˧$
輩	pᴇ˦˨˦$
輪	lẽŋ˧$
輸	sɿ˥˧˧$
輻	fɤʔ˥$
轉	ʦɜ̃˦˥˨$
轎	ʥiɔ˩˩˧$
轟	həŋ˥˧˧$
车	ʦʰɔ˥˧˧$
轨	kue˥˧˧$
转	ʦɜ̃˦˥˨$
轮	lẽŋ˧$
软	ȵyɛ̃˨˦˧$
轰	həŋ˥˧˧$
轴	ʥyʔ˨˧$
轻	ʨʰiŋ˥˧˧$
载	ʦᴇ˦˨˦$
轿	ʥiɔ˩˩˧$
辆	liᴀ̃˩˩˧$
辈	pᴇ˦˨˦$
辉	fe˥˧˧$
辐	fɤʔ˥$
输	sɿ˥˧˧$
辛	ɕiŋ˥˧˧$
辞	zɿ˧$
辟	pʰiʔ˥$
辣	lɛʔ˨˧$
辦	bɛ̃˩˩˧$
辨	biɛ̃˩˩˧$
辫	biɛ̃˩˩˧$
辭	zɿ˧$
辮	biɛ̃˩˩˧$
農	nəŋ˧$
边	piɛ̃˥˧˧$
辽	liɔ˧$
达	dɛʔ˨˧$
迁	ʨʰiɛ̃˥˧˧$
过	kɯ˦˨˦$
迎	ȵiŋ˧$
运	ɦyoŋ˩˩˧$
近	ʥiŋ˨˦˧$
返	fɛ̃˦˥˨$
还	vɛ̃˧$
进	ʨiŋ˦˨˦$
远	ɦyɛ̃˨˦˧$
连	liɛ̃˧$
迟	ʣɿ˧$
迭	diɪʔ˨˧$
迷	mi˧$
迹	ʨiʔ˥$
追	ʦe˥˧˧$
退	tʰᴇ˦˨˦$
送	səŋ˦˨˦$
逃	dɒ˧$
逆	ȵiʔ˨˧$
选	sɜ̃˦˥˨$
透	tʰe˦˨˦$
递	di˩˩˧$
通	tʰəŋ˥˧˧$
逛	gɔ̃˧$
速	sɤʔ˥$
造	zɒ˨˦˧$
連	liɛ̃˧$
週	ʨiʊ˥˧˧$
進	ʨiŋ˦˨˦$
逵	gue˧$
逼	piʔ˥$
遁	dẽŋ˩˩˧$
遂	ʣe˩˩˧$
遇	ȵy˩˩˧$
遊	ɦiʊ˧$
運	ɦyoŋ˩˩˧$
遍	piɛ̃˦˨˦$
過	kɯ˦˨˦$
道	dɒ˨˦˧$
達	dɛʔ˨˧$
遞	di˩˩˧$
遠	ɦyɛ̃˨˦˧$
遭	ʦɒ˥˧˧$
遲	ʣɿ˧$
遷	ʨʰiɛ̃˥˧˧$
選	sɜ̃˦˥˨$
遼	liɔ˧$
避	bi˩˩˧$
邀	iɔ˥˧˧$
還	vɛ̃˧$
邊	piɛ̃˥˧˧$
邋	lɛʔ˨˧$
邓	dẽŋ˩˩˧$
邪	ɦiᴀ˧$
邮	ɦiʊ˧$
邻	liŋ˧$
郁	yʔ˥$
郊	ʨiɔ˥˧˧$
郎	lɔ̃˧$
郑	ʣẽŋ˩˩˧$
部	bu˩˩˧$
郵	ɦiʊ˧$
都	tu˥˧˧$
