㞞	zəŋ˧$
勾	ke˥˧˧$
勿	veʔ˨˧$
包	pɒ˥˧˧$
化	fɔ˦˨˦$
北	peʔ˥$
匠	ɦiᴀ̃˩˩˧$
匣	ɦɛʔ˨˧$
匯	ve˩˩˧$
匹	pʰiʔ˥$
区	ʨʰy˥˧˧$
医	i˥˧˧$
匾	piɛ̃˦˥˨$
區	ʨʰy˥˧˧$
十	zeʔ˨˧$
千	ʨʰiɛ̃˥˧˧$
升	sẽŋ˥˧˧$
午	vu˨˦˧$
半	pɜ̃˦˨˦$
华	vɔ˧$
协	ɦiɪʔ˨˧$
卑	pe˥˧˧$
協	ɦiɪʔ˨˧$
单	tɛ̃˥˧˧$
卖	mᴀ˩˩˧$
南	nɜ̃˧$
博	pɤʔ˥$
卜	pɤʔ˥$
占	ʦɜ̃˥˧˧$
卡	kʰᴀ˦˥˨$
卢	lu˧$
卤	lu˨˦˧$
卦	kɔ˦˨˦$
卧	ŋɯ˩˩˧$
卫	ve˩˩˧$
印	iŋ˦˨˦$
危	ve˧$
即	ʨiʔ˥$
却	ʨʰiᴀʔ˥$
卵	lɜ̃˨˦˧$
卷	ʨyɛ̃˦˥˨$
卸	ɕiᴀ˦˨˦$
卻	ʨʰiᴀʔ˥$
厂	ʦʰᴀ̃˦˥˨$
厅	tʰiŋ˥˧˧$
历	liʔ˨˧$
厉	li˩˩˧$
压	ɛʔ˥$
厌	iɛ̃˦˨˦$
厘	li˨˦˧$
厚	ge˨˦˧$
原	ȵyɛ̃˧$
厢	ɕiᴀ̃˥˧˧$
厣	iɛ̃˦˥˨$
厦	sᴀ˦˨˦$
厨	ʣɿ˧$
厭	iɛ̃˦˨˦$
厲	li˩˩˧$
厴	iɛ̃˦˥˨$
去	ʨʰi˦˨˦$
县	ɦyɛ̃˩˩˧$
参	sẽŋ˥˧˧$
參	sẽŋ˥˧˧$
叉	ʦʰɔ˥˧˧$
及	ʥiʔ˨˧$
友	ɦiʊ˨˦˧$
双	sɔ̃˥˧˧$
反	fɛ̃˦˥˨$
发	fɛʔ˥$
叔	sɤʔ˥$
取	ʦʰɿ˦˥˨$
受	ɦiʊ˨˦˧$
变	piɛ̃˦˨˦$
叠	diɪʔ˨˧$
叢	ʣəŋ˧$
口	kʰe˦˥˨$
古	ku˦˥˨$
句	ʨy˦˨˦$
只	ʦᴀʔ˥$
叫	ʨiɔ˦˨˦$
可	kʰɯ˦˥˨$
台	dᴇ˧$
史	sɿ˦˥˨$
右	ɦiʊ˨˦˧$
叶	ɦiɪʔ˨˧$
号	ɦɒ˩˩˧$
司	sɿ˥˧˧$
各	kɔʔ˥$
合	ɦəʔ˨˧$
吉	ʨiʔ˥$
吊	tiɔ˦˨˦$
同	dəŋ˧$
名	miŋ˧$
后	ɦiʊ˨˦˧$
吐	tʰu˦˥˨$
向	ɕiᴀ̃˦˨˦$
吓	hɤʔ˥$
君	ʨyoŋ˥˧˧$
吞	tʰẽŋ˥˧˧$
含	ɦɜ̃˧$
听	tʰiŋ˦˨˦$
启	ʨʰi˦˥˨$
吳	vu˧$
吴	vu˧$
吵	ʦʰɒ˦˥˨$
吸	ɕiʔ˥$
吹	ʦʰe˥˧˧$
呆	tᴇ˥˧˧$
告	kɒ˦˨˦$
呕	ɯ˥˧˧$
员	ɦyɛ̃˧$
周	ʨiʊ˥˧˧$
味	mi˧$
呷	hɛʔ˥$
呸	pʰᴇ˦˥˨$
呼	fu˥˧˧$
命	miŋ˩˩˧$
咒	ʨiʊ˦˨˦$
咖	kʰᴀ˥˧˧$
咬	ŋɒ˨˦˧$
咸	ɦɛ̃˧$
咽	iɛ̃˦˨˦$
哀	ᴇ˥˧˧$
品	pʰiŋ˦˥˨$
哄	həŋ˦˥˨$
哈	hᴀ˥˧˧$
响	ɕiᴀ̃˦˥˨$
哑	ɔ˦˥˨$
員	ɦyɛ̃˧$
哥	kɯ˥˧˧$
哪	nᴀ˧$
哭	kʰuʔ˥$
哲	ʦəʔ˥$
哽	gᴀ̃˨˦˧$
唇	zẽŋ˧$
唐	dɔ̃˧$
售	ʥiʊ˩˩˧$
唯	vi˧$
唱	ʦʰᴀ̃˦˨˦$
商	sᴀ̃˥˧˧$
問	mẽŋ˩˩˧$
啞	ɔ˦˥˨$
啟	ʨʰi˦˥˨$
啡	fi˥˧˧$
啤	bi˧$
喂	uᴇ˦˨˦$
善	zɜ̃˨˦˧$
喊	hɛ̃˦˨˦$
喘	ʦʰɜ̃˦˥˨$
喜	ɕi˦˥˨$
喝	həʔ˥$
喪	sɔ̃˦˨˦$
單	tɛ̃˥˧˧$
喷	pʰẽŋ˥˧˧$
喻	ɦy˩˩˧$
嗓	sɔ̃˦˥˨$
嗡	əŋ˥˧˧$
嘉	kɔ˥˧˧$
嘔	ɯ˥˧˧$
嘗	zɔ̃˧$
嘴	ʦɿ˦˥˨$
嘻	ɕi˥˧˧$
噢	ɒ˥˧˧$
器	ʨʰi˦˨˦$
噩	ŋɔʔ˨˧$
噴	pʰẽŋ˥˧˧$
嚇	hɤʔ˥$
嚴	ȵiɛ̃˧$
嚼	ɦiᴀʔ˨˧$
四	sɿ˦˨˦$
回	ve˧$
因	iŋ˥˧˧$
团	dɜ̃˧$
囤	dẽŋ˨˦˧$
囪	ʦʰəŋ˥˧˧$
园	ɦyɛ̃˧$
困	kʰuẽŋ˦˨˦$
囱	ʦʰəŋ˥˧˧$
围	ve˧$
固	ku˦˨˦$
国	kuʔ˥$
图	du˧$
圆	ɦyɛ̃˧$
圈	ʨʰyɛ̃˥˧˧$
國	kuʔ˥$
圍	ve˧$
園	ɦyɛ̃˧$
圓	ɦyɛ̃˧$
圖	du˧$
團	dɜ̃˧$
土	tʰu˦˥˨$
圣	sẽŋ˦˨˦$
在	ʣᴇ˩˩˧$
地	di˩˩˧$
场	ʣᴀ̃˧$
址	ʦɿ˦˥˨$
均	ʨyoŋ˥˧˧$
坎	kʰɜ̃˦˨˦$
坏	vᴀ˩˩˧$
坐	zɯ˨˦˧$
坑	kʰᴀ̃˥˧˧$
块	kʰuᴇ˦˨˦$
坚	ʨiɛ̃˥˧˧$
坛	dɛ̃˧$
坝	pᴀ˦˨˦$
坞	u˥˧˧$
坟	vẽŋ˧$
坡	pʰɯ˥˧˧$
坯	pʰᴇ˥˧˧$
垒	le˨˦˧$
垫	diɛ̃˩˩˧$
埋	mᴀ˧$
城	ʣẽŋ˧$
域	ɦyʔ˨˧$
培	be˧$
基	ʨi˥˧˧$
堂	dɔ̃˧$
堅	ʨiɛ̃˥˧˧$
堆	tᴇ˥˧˧$
堡	pɒ˦˥˨$
報	pɒ˦˨˦$
場	ʣᴀ̃˧$
堵	tu˦˥˨$
塊	kʰuᴇ˦˨˦$
塌	tʰɛʔ˥$
塍	ɦiŋ˧$
塑	su˦˨˦$
塔	tʰɛʔ˥$
塗	du˧$
塘	dɔ̃˧$
塞	seʔ˥$
