㑃	æ˥˨˧
楔	siəʔ˦˧
楚	ʦhəu˥˩
楝	li˨˧˩
楞	lən˨˨˧
楠	nø˨˨˧
楠木	nø˨˨˧ moʔ˨
楣	mᴇ˨˨˧
楦	ɕiø˥˨˧
楦头	ɕiø˥ dʏ
楦頭	ɕiø˥ dʏ
楨	ʦən˦
楫	ʦiəˀ˦˧
業	ȵiəʔ˨˧
楯	dən˨˧˩
極	ʥiəʔ˨˧
極發蹦	ʥiəʔ˨˧ faʔ˦˧ poŋ˥˨˧
楷	kʰɑ˥˩
楹	ɦin˨˨˧
楼	løʏ˨˨˧
楼底下	lʏ˨˨˧ ti˧ ɦo
楼房	lʏ˨˨˧ vɑ̃˧
楼浪	lʏ˨˨˧ lɑ̃
概	kᴇ˥˨˧
榄	lᴇ˨˧˩
榆	ɦyⱼ˨˨˧
榆树	ɦy˨˨˧ zɥ˨˩
榆樹	ɦy˨˨˧ zɥ˨˩
榇	ʦhən˥˨˧
榈	liⱼ˨˧˩
榉	ʨyⱼ˥˩
榉树	ʨy˥ zɥ˨˩
榔	lɑ̃˨˨˧
榔头	lɑ̃˨˨˧ dʏ
榔頭	lɑ̃˨˨˧ dʏ
榕	ɦioŋ˨˨˧
榛	ʦən˦
榛慄	ʦən˥ liəʔ˨
榛栗	ʦən˥ liəʔ˨
榜	pɑ̃˥˩
榤	ʥiʔ˨˧
榧	fiⱼ˥˩
榧子	fi˥ ʦɿ
榨	ʦo˥˨˧
榫	sən˥˩
榫头	sən˥˩ dʏ˧
榫頭	sən˥˩ dʏ˧
榭	ziɑ˨˧˩
榮	ɦioŋ˨˨˧
榴	løʏ˨˨˧
榷	ʨʰioʔ˦˧
榻	tʰaʔ˦˧
榼	kʰəʔ˦˧
槁	kæ˥˩
槃	bø˨˨˧
槅	kɑʔ˦˧
槊	soʔ˦˧
構	køʏ˥˨˧
槌	zʮ˨˨˧
槍	ʦʰiã˦
槍對槍	ʦʰiã˥ tᴇ˧ ʦʰiã˨˩
槍斃	ʦʰiã˥ bi˨˩
槍籬笆	ʦʰiã˥ li˧ po˨˩
槍船	ʦʰiã˥ zø˧
槎	zo˨˨˧
槐	wɑ˨˨˧
槐树	ɦuɑ˨˨˧ zɥ˧
槐樹	ɦuɑ˨˨˧ zɥ˧
槓棒	kɑ̃˥ bɑ̃˨˩
槛	kʰᴇ˥˩
槜	ʦᴇ˦
槟	pin˦
槧	ʦʰi˦
槧光荸薺	ʦʰiɪ˥ kuɑ̃˧ bəʔ˨ zi˨˩
槨	koʔ˦˧
槲	ɦoʔ˨˧
槳	ʦiã˥˩
槽	zæ˨˨˧
槽坊	zæ˨˨˧ fɑ̃˧
槿	ʥin˨˧˩
樁	ʦɑ̃˦
樁頭	ʦɑ̃˥ dʏ
樂	loʔ˨˧
樂器	ɦioʔ˨˧ ʨʰi˥˨˧
樂惠	loʔ˨˧ ɦuᴇ˨˩
樊	vᴇ˨˨˧
樓	løʏ˨˨˧
樓底下	lʏ˨˨˧ ti˧ ɦo
樓房	lʏ˨˨˧ vɑ̃˧
樓浪	lʏ˨˨˧ lɑ̃
標	piæ˦
標緻	piæ˥ ʦɥ˨˩
樞	ʦʰʮ˦
樟	ʦã˦
樠	mən˨˨˧
模	mo˨˨˧
樣	iã˥˨˧
樣子	ɦiã˨˨˧ ʦɿ
樨	siⱼ˦
横	ɦuã˨˨˧
横冷横冷	ɦuã˨˨˧ lã˧ ɦuã˧ lã˨˩
横单	uã˥ tᴇ˨˩
横塘	ɦuã˨˨˧ dɑ̃˧
横多里	ɦuã˨˨˧ təu˧ li
横戳枪	ɦuã˨˨˧ ʦʰoʔ˦˧ ʦʰiã˧
横竖	ɦuã˨˨˧ sɥ˧
横良心	ɦuã˨˨˧ liã˧ sin˨˩
樯	ziã˨˨˧
樯夹板	ziã˨˨˧ kaʔ˨ pᴇ˨˩
樯子	ziã˨˨˧ ʦɿ
樯销	ziã˨˨˧ siæ˧
樱	ã˦
樱桃	ã˥ dæ˨˩
樱花	in˥ ho˨˩
樵	ziæ˨˨˧
樸	biæ˨˨˧
樹	zʮ˨˧˩
樹本身	zɥ˨˨˧ pən˥˩ sən˨˩
樹林	zɥ˨˨˧ lin˧
樹根	zɥ˨˨˧ kən˨˩
樹梢	zɥ˨˨˧ sæ˨˩
樹椏枝	zɥ˨˨˧ o˧ ʦɥ˨˩
樹樁	zɥ˨˨˧ ʦɑ̃˧
樹苗	zɥ˨˨˧ miæ˨˩
樹葉	zɥ˧˩ ɦiəʔ˨
樺	ɦo˨˨˧
樽	ʦən˦
樾	ɦyəʔ
橄	kᴇ˥˩
橄榄	kᴇ˥˩ lᴇ˧
橄欖	kᴇ˥˩ lᴇ˧
橇	ʨʰiæ˦
橈	ȵiæ˨˧˩
橋	ʥiæ˨˨˧
橋梁	ʥiæ˨˨˧ liã˧
橐	tʰoʔ˦˧
橑	liæ˨˨˧
橑檐	liæ˨˨˧ ɦiɪ˨˩
橑檐水	liæ˨˨˧ ɦiɪ˧ sɥ˨˩
橕	ʦʰən˦
橘	ʨyəʔ˦˧
橘子	ʨyəʔ˦˧ ʦɿ
橘紅糕	ʨyəʔ˦˧ ɦoŋ˧ kæ˨˩
橘絡	ʨyəʔ˦˧ loʔ˨˧
橘红糕	ʨyəʔ˦˧ ɦoŋ˧ kæ˨˩
橘络	ʨyəʔ˦˧ loʔ˨˧
橙	zã˨˨˧
橙子	zã˨˨˧ ʦɿ
橛	ʨyəʔ˦˧
機	ʨiⱼ˦
機器	ʨi˥ ʨʰi˨˩
機器腳踏車	ʨi˥ ʨʰi˨˩ ʨiɑʔ˦˧ daʔ˨ ʦʰo˨˩
機帆船	ʨi˥ vᴇ˧ zø˨˩
機房	ʨi˥ vɑ̃˨˩
機油	ʨi˥ ɦiʏ˨˩
機骨	ʨi˥ kuəʔ˨
橡	ziã˨˧˩
橡皮	ziã˧˩ bi˧
橢	tʰəu˥˩
橫	uã˦
橫冷橫冷	ɦuã˨˨˧ lã˧ ɦuã˧ lã˨˩
橫單	uã˥ tᴇ˨˩
橫塘	ɦuã˨˨˧ dɑ̃˧
橫多裏	ɦuã˨˨˧ təu˧ li
橫戳槍	ɦuã˨˨˧ ʦʰoʔ˦˧ ʦʰiã˧
橫良心	ɦuã˨˨˧ liã˧ sin˨˩
橫豎	ɦuã˨˨˧ sɥ˧
橱	zɥ˨˨˧
橹	ləu˧˩
橹人头	ləu˨˨˧ ȵin˧ dʏ
橹绷绳	ləu˨˨˧ pã˧ zən˨˩
橼	ɦiø˨˨˧
檀	dᴇ˨˨˧
檀香	dᴇ˨˨˧ ɕiã˧
檀香扇	dᴇ˨˨˧ ɕiã˥ sø˨˩
檀香橄榄	dᴇ˨˨˧ ɕiã˧ kᴇ˧ lᴇ˨˩
檀香橄欖	dᴇ˨˨˧ ɕiã˧ kᴇ˧ lᴇ˨˩
檁	lin˥˩
檄	ɦiəʔ˨˧
檈	zi˨˨˧
檉	ʦhən˦
檎	ʥin˨˨˧
檐	ɦi˨˨˧
檑	lᴇ˨˨˧
檔	tɑ̃˥˨˧
檜	kuᴇ˥˨˧
檠	ʥin˨˨˧
檢	ʨi˥˩
檣	ziã˨˨˧
檣夾板	ziã˨˨˧ kaʔ˨ pᴇ˨˩
檣子	ziã˨˨˧ ʦɿ
檣銷	ziã˨˨˧ siæ˧
檩	lin˥˩
檬	moŋ˨˨˧
檯	dᴇ˨˨˧
檯燈	dᴇ˨˨˧ tən˧
檯球	dᴇ˨˨˧ ʥiʏ˧
檳	pin˦
檸	ȵin˨˨˧
檻	kʰᴇ˥˩
櫃	guᴇ˨˧˩
櫃檯	ʥy˨˨˧ dᴇ˨˩
櫓	ləu˨˧˩
櫓人頭	ləu˨˨˧ ȵin˧ dʏ
櫓繃繩	ləu˨˨˧ pã˧ zən˨˩
櫚	liⱼ˨˧˩
櫛	ʦiəʔ˦˧
櫝	doʔ˨˧
櫞	ɦiø˨˨˧
櫟	liəʔ˨˧
櫟樹	liəʔ˨˧ zɥ˨˩
櫥	zʮ˨˨˧
櫪	liəˀ˨˧
櫬	ʦhən˥˨˧
櫳	loŋ˨˨˧
櫸	ʨyⱼ˥˩
櫸樹	ʨy˥ zɥ˨˩
櫻	ã˦
櫻桃	ã˥ dæ˨˩
櫻花	in˥ ho˨˩
櫽	in˥˩
欄	laʔ˨˧
欄凳	lᴇ˨˨˧ tən˨˩
欄杆	lᴇ˨˨˧ kø˧
權	ʥiø˨˨˧
欒	lø˨˨˧
欖	lᴇ˨˧˩
欛	po˥˨˧
欞	lin˨˨˧
欠	ʨʰiɪ˥˨˧
欠賬	ʨʰiɪ˥ ʦã˨˩
欠账	ʨʰiɪ˥ ʦã˨˩
次	ʦʰɿ˥˨˧
次貨	ʦʰɿ˥ həu˨˩
次货	ʦʰɿ˥ həu˨˩
欢	huø˦
欢喜	huø˥ ɕi˨˩
欣	ɕin˦
欤	ɦyⱼ˨˨˧
欧	øʏ˦
欯	ɕiəʔ˦˧
欲	ɦioʔ˨˧
欷	ɕiⱼ˦
欸	ᴇ˦
欺	ʨʰiⱼ˦
欺瞒	ʨʰi˥ mø˨˩
欺瞞	ʨʰi˥ mø˨˩
欽	ʨʰin˦
款	kʰuø˥˩
歃	ʦʰaʔ˦˧
歅	in˦
歆	ɕin˦
歇	ɕiəʔ˦˧
歇搁	ɕiəʔ˦˧ koʔ˦˧
歇擱	ɕiəʔ˦˧ koʔ˦˧
歇歇	ɕiəʔ˦˧ ɕiəʔ˦˧
歇生意	ɕiəʔ˦˧ sã˥ i˨˩
歉	ʨʰi˥˨˧
歌	kəu˦
歎	tʰᴇ˥˨˧
歐	øʏ˦
歔	ɕyⱼ˦
歙	ɕiəʔ˦˧
歟	ɦyⱼ˨˨˧
歠	ʦʰəʔ˦˧
歡	huø˦
歡喜	huø˥ ɕi˨˩
止	ʦɥ˥˩
正	ʦən˥˨˧
正伏	ʦən˥˩ voʔ˨
正好	ʦən˥ hæ˨˩
正宗	ʦən˥˩ ʦoŋ˧
正式	ʦən˥˩ səʔ˨
正当	ʦən˥ tɑ̃˨˩
正房	ʦən˥ vɑ̃˨˩
正月	ʦən˥ ŋəʔ˨
正月半	ʦən˥ ŋəʔ˨ pø˨˩
正梁	ʦən˥ liã˨˩
正气	ʦən˥ ʨʰi˨˩
正氣	ʦən˥ ʨʰi˨˩
正派	ʦən˥˩ pʰɑ˨˩
正當	ʦən˥ tɑ̃˨˩
正經	ʦən˥ ʨin˨˩
正经	ʦən˥ ʨin˨˩
此	ʦʰɿ˥˩
步	bu˨˧˩
武	vu˨˧˩
武旦	vu˩˧ tᴇ˨˩
武生	vu˨˨˧ sã˨˩
歧	ʥiⱼ˨˨˧
歪	huɑ˥
歪嘴	huɑ˥ ʦɥ˧
歪头	huɑ˥ dʏ˨˩
歪歪嘴	huɑ˥ huɑ˧ ʦɥ˧˩
歪頭	huɑ˥ dʏ˨˩
歲	sᴇ˥˨˧
歲朝	sᴇ˥˩ ʦæ˧
歸	kuᴇ˦
歸亡	kuᴇ˥ mɑ̃˨˩
歸個	kuᴇ˥ kəʔ
歸尚	kuᴇ˥ zã
歸搭	kuᴇ˥ taʔ
歸星	kuᴇ˥ sin
歸槍世裏	kuᴇ˥ ʦʰiã˧ sɥ˧ li
歹	tᴇ˥˩
死	siⱼ˥˩
死人	si˥˩ ȵin˨˩
死人額骨頭	si˥˩ ȵin˧ ŋɑʔ˨ kuəʔ˨ dʏ
死人额骨头	si˥˩ ȵin˧ ŋɑʔ˨ kuəʔ˨ dʏ
死人骨头	si˥˩ ȵin˧ kuəʔ˨ dʏ
死人骨頭	si˥˩ ȵin˧ kuəʔ˨ dʏ
死坯	si˥˩ pʰᴇ˧
死子	si˥˩ ʦɿ˧
死尸	si˥˩ sɥ˧
死屍	si˥˩ sɥ˧
死板板	si˥˩ pᴇ˧ pᴇ˨˩
死水	si˥˩ sɥ˧
死法	si˥˩ faʔ˨
死煞浜	si˥˩ saʔ˨ pã˥
死結	si˥˩ ʨiəʔ˨
死结	si˥˩ ʨiəʔ˨
死腔	si˥˩ ʨʰiã˧
死藤瓜	si˥˩ dən˧ ko˨˩
歼	ʦʰi˦
歿	məʔ˨˧
殁	məʔ˨˧
殃	iã˦
殄	tʰi˥˩
殅	sã˦
殆	dᴇ˨˧˩
殇	sɑ̃˦
殉	zin˨˨˧
殊	zʮ˨˨˧
残	zᴇ˨˨˧
殍	biæ˨˨˧
殒	yn˥˩
殓	liɪ˨˨˧
殖	zəʔ˨˧
殘	zᴇ˨˨˧
殞	yn˥˩
殟	uəʔ˦˧
殟塞	uəʔ˦˧ səʔ˦˧
殡	pin˦
殤	sɑ̃˦
殭	ʨiã˦
殮	li˨˧˩
殯	pin˦
殲	ʦʰi˦
殴	øʏ˦
段	dø˧˩
殷	in˦
殺	saʔ˦˧
殺價	saʔ˦˧ kɑ˥˨˧
殺千刀	saʔ˦˧ ʦʰiɪ˥ tæ˨˩
殺爬	saʔ˦˧ bo˧
殺着	saʔ˦˧ ʦɑʔ˦˧
殺豬屠	saʔ˦˧ ʦɥ˧ dəu˨˩
殺豬戶屠	saʔ˦˧ ʦɥ˧ ɦəu˧ dəu˨˩
殺頭	saʔ˦˧ dʏ˧
殼	kʰoʔ˦˧
殿	di˨˧˩
毀	huᴇ˥˩
毁	huᴇ˥˩
毃	kʰoʔ˦˧
毅	ȵiⱼ˨˧˩
毆	øʏ˦
毋	vu˨˨˧
母	mo˨˧˩
每	mᴇ˦
每日	mᴇ˥˩ ȵiəʔ˨
毐	ᴇ˦
毒	doʔ˨˧
毒头	doʔ˨˧ dʏ˧
毒頭	doʔ˨˧ dʏ˧
毓	ioʔ˦˧
比	pi˥˩
比球	pi˥˩ ʥiʏ˨˨˧
毕	piəʔ˦˧
毕业	piəʔ˦˧ ȵiəʔ˨˧
毖	piⱼ˥˨˧
毗	biⱼ˨˨˧
毙	biⱼ˨˧˩
毛	mæ˨˨˧
毛利	mæ˨˨˧ li˧
毛坯	mæ˨˨˧ pʰᴇ˧
毛头霜	mæ˨˨˧ dʏ˧ sɑ̃˨˩
毛慄子	mæ˨˨˧ liəʔ˨ ʦɿ
毛栗子	mæ˨˨˧ liəʔ˨ ʦɿ
毛梯他通	mæ˨˨˧ tʰi˧ tʰɑ˧ tʰoŋ˨˩
毛毛交	mæ˨˨˧ mæ˧ ʨiæ
毛毛头	mæ˥ mæ˥ dʏ
毛毛雨	mæ˨˨˧ mæ˧ ɦy˨˩
毛毛頭	mæ˥ mæ˥ dʏ
毛竹	mæ˨˨˧ ʦoʔ˨
毛笔	mæ˨˨˧ piəʔ˨
毛筆	mæ˨˨˧ piəʔ˨
毛線衫	mæ˨˨˧ siɪ˧ sᴇ˨˩
毛線褲	mæ˨˨˧ siɪ˧ kʰəu˨˩
毛线衫	mæ˨˨˧ siɪ˧ sᴇ˨˩
毛线裤	mæ˨˨˧ siɪ˧ kʰəu˨˩
毛虫	mæ˨˨˧ zoŋ˨˩
毛蟲	mæ˨˨˧ zoŋ˨˩
毛衫	mæ˨˨˧ sᴇ˨˩
毛豆	mæ˨˨˧ dʏ˧
毛豆萁	mæ˨˨˧ dʏ˧ ʥi˨˩
毛边纸	mæ˨˨˧ piɪ˧ ʦɿ˨˩
毛邊紙	mæ˨˨˧ piɪ˧ ʦɿ˨˩
毛頭霜	mæ˨˨˧ dʏ˧ sɑ̃˨˩
毡	ʦø˦
毡单	ʦø˥ tᴇ˨˩
毡帽	ʦø˥ mæ˨˩
毫	ɦæ˨˨˧
毬	ʥy˨˨˧
毯	tʰᴇ˥˩
毯子	tʰᴇ˥˩ ʦɿ
毻	tʰəu˥˨˧
毻头发	tʰəu˥ dʏ˧ faʔ˨
毻毛	tʰəu˥˩ mæ˨˨˧
毻頭髮	tʰəu˥ dʏ˧ faʔ˨
毽	ʨi˥˨˧
氄	zoŋ˨˧˩
氅	ʦʰã˥˩
氆	phu˥˩
氈	ʦø˦
氈單	ʦø˥ tᴇ˨˩
氈帽	ʦø˥ mæ˨˩
氍	ʥyⱼ˨˨˧
氏	zʮ˨˧˩
氐	tiⱼ˥˩
民	min˨˨˧
民事	min˨˨˧ zɿ˧
民房	min˨˨˧ vɑ̃˧
氓	mɑ̃˨˨˧
气	ʨʰiⱼ˥˨˧
气味	ʨʰi˥˩ mi˨˩
气喘	ʨʰi˥ ʦʰø˨˩
气数	ʨʰi˥ səu˨˩
气窗	ʨʰi˥ ʦʰɑ̃˨˩
气管炎	ʨʰi˥ kuø˧ ɦiɪ˨˩
气血	ʨʰi˥˩ ɕyəʔ˨
气闷	ʨʰi˥ mən˨˩
氕	phiʔ˦˧
氖	nᴇ˨˧˩
氘	tæ˦
氛	fən˦
氡	toŋ˦
氢	ʨʰin˦
氣	ʨʰiⱼ˥˨˧
氣味	ʨʰi˥˩ mi˨˩
氣喘	ʨʰi˥ ʦʰø˨˩
氣悶	ʨʰi˥ mən˨˩
氣數	ʨʰi˥ səu˨˩
氣窗	ʨʰi˥ ʦʰɑ̃˨˩
氣管炎	ʨʰi˥ kuø˧ ɦiɪ˨˩
氣血	ʨʰi˥˩ ɕyəʔ˨
氤	in˦
氧	ɦiã˨˧˩
氨	ø˦
氪	kʰəʔ˦˧
氫	ʨʰin˦
氮	dᴇ˨˧˩
氯	loʔ˨˧
氰	ʦʰin˦
氲	ɦyn˨˨˧
氳	ɦyn˨˨˧
水	sɥ˥˩
水仙花	sɥ˥˩ siɪ˥ ho˨˩
水口	sɥ˥˩ kʰʏ˨˩
水城門	sɥ˥˩ zən˧ mən˨˩
水城门	sɥ˥˩ zən˧ mən˨˩
水塘	sɥ˥˩ dɑ̃˨˩
水晶	sɥ˥˩ ʦin˧
水晶糖	sɥ˥˩ ʦin˧ dɑ̃˨˩
水晶虾	sɥ˥˩ ʦin˥ ho˨˩
水晶蝦	sɥ˥˩ ʦin˥ ho˨˩
水木作	sɥ˥˩ moʔ˨ ʦoʔ˨
水果	sɥ˥˩ kəu˨˩
水果刀	sɥ˥˩ kəu˧ tæ˨˩
水果店	sɥ˥˩ kəu˧ tiɪ˨˩
水果糖	sɥ˥˩ kəu˧ dɑ̃˨˩
水架桩	sɥ˥˩ kɑ˧ ʦɑ̃˨˩
水架樁	sɥ˥˩ kɑ˧ ʦɑ̃˨˩
水汪汪	sɥ˥˩ uɑ̃˧ uɑ̃˨˩
水沟	sɥ˥˩ kʏ˧
水泡眼	sɥ˥˩ pʰæ˧ ŋᴇ˨˩
水泥	sɥ˥˩ ȵi˨˩
水泥船	sɥ˥˩ ȵi˧ zø˨˩
水泥路	sɥ˥˩ ȵi˧ ləu˨˩
水泻	sʮ˥˩ siɑ˨˩
水溝	sɥ˥˩ kʏ˧
水瀉	sʮ˥˩ siɑ˨˩
水烟壶	sɥ˥˩ iɪ˧ ɦəu˨˩
水烟管	sɥ˥˩ iɪ˧ kuø˨˩
水煙壺	sɥ˥˩ iɪ˧ ɦəu˨˩
水煙管	sɥ˥˩ iɪ˧ kuø˨˩
水牌	sɥ˥˩ bɑ˧
水牛	sɥ˥˩ ȵiʏ˨˩
水磨年糕	sɥ˥˩ mo˧ ȵiɪ˧ kæ˨˩
水磨砖	sɥ˥˩ mo˧ ʦø˨˩
水磨磚	sɥ˥˩ mo˧ ʦø˨˩
水笔	sɥ˥˩ piəʔ˨
水筆	sɥ˥˩ piəʔ˨
水筹	sɥ˥˩ zʏ˧
水籌	sɥ˥˩ zʏ˧
水紅	sɥ˥˩ ɦoŋ˧
水紅菱	sɥ˥˩ ɦoŋ˧ lin˨˩
水红	sɥ˥˩ ɦoŋ˧
水红菱	sɥ˥˩ ɦoŋ˧ lin˨˩
水缸	sɥ˥˩ kɑ̃˨˩
水老鴉	sɥ˥˩ læ˧ o˨˩
水老鸦	sɥ˥˩ læ˧ o˨˩
水脚	sɥ˥˩ ʨiɑʔ˨
水腳	sɥ˥˩ ʨiɑʔ˨
水船	sɥ˥˩ zø˧
水芹	sɥ˥˩ ʥin˨˩
水草	sɥ˥˩ ʦʰæ˥˩
水菜	sɥ˥˩ ʦʰᴇ˨˩
水蛆	sɥ˥˩ ʦʰi˨˩
水蛇	sɥ˥˩ zo˨˨˧
水蛇腰	sɥ˥˩ zo˧ iæ˨˩
水蜜桃	sɥ˥˩ miəʔ˨˧ dæ˧
水裡	sɥ˥˩ li
水裡向	sɥ˥˩ li ɕiã
水赤練	sɥ˥˩ ʦʰɑʔ˨ liɪ˨˩
水赤练	sɥ˥˩ ʦʰɑʔ˨ liɪ˨˩
水路	sɥ˥˩ ləu˨˩
水車	sɥ˥˩ ʦʰo˧
水车	sɥ˥˩ ʦʰo˧
水里	sɥ˥˩ li
水里向	sɥ˥˩ li ɕiã
水銀	sɥ˥˩ ȵin˧
水銀魚	sɥ˥˩ ȵi˧ ŋ̍˧
水鋪蛋	sɥ˥˩ pʰu˥ dᴇ˨˩
水鑽	sɥ˥˩ ʦø˨˩
水钻	sɥ˥˩ ʦø˨˩
水银	sɥ˥˩ ȵin˧
水银鱼	sɥ˥˩ ȵi˧ ŋ̍˧
水铺蛋	sɥ˥˩ pʰu˥ dᴇ˨˩
水門汀	sɥ˥˩ mən˧ tʰin˨˩
水门汀	sɥ˥˩ mən˧ tʰin˨˩
水面筋	sɥ˥˩ miɪ˧ ʨin˨˩
水風車	sɥ˥˩ foŋ˥ ʦʰo˨˩
水风车	sɥ˥˩ foŋ˥ ʦʰo˨˩
水魯魯	sɥ˥˩ ləu˧ ləu˨˩
水鲁鲁	sɥ˥˩ ləu˧ ləu˨˩
水麵筋	sɥ˥˩ miɪ˧ ʨin˨˩
水龍	sɥ˥˩ loŋ˧
水龙	sɥ˥˩ loŋ˧
永	ioŋ˥˩
氹	dɑ̃˨˧˩
氽	tʰən˥˩
氽脫哉	tʰən˥˩ tʰəʔ ʦᴇ
氽脱哉	tʰən˥˩ tʰəʔ ʦᴇ
氿	ʨy˥˩
汀	tin˦
汁	ʦəʔ˦˧
求	ʥy˨˨˧
求亲	ʥiʏ˨˨˧ ʦʰin˧
求人	ʥiʏ˨˨˧ ȵin˧
求汉	ʥiʏ˨˨˧ hø˧
求漢	ʥiʏ˨˨˧ hø˧
求签	ʥiʏ˨˨˧ ʦʰiɪ˥
求籤	ʥiʏ˨˨˧ ʦʰiɪ˥
求親	ʥiʏ˨˨˧ ʦʰin˧
求靠	ʥiʏ˨˨˧ kʰæ˧
汆	ʦʰø˥
汆筒	ʦʰø˥ doŋ˨˩
汇	ɦuᴇ˨˧˩
汉	hø˥˨˧
汊	ʦʰo˥˨˧
汏	dɑ˧˩
汏一普	dɑ˨˨˧ iəʔ˨ pʰu˨˩
汏衣裳	dɑ˨˨˧ i˥ zɑ̃˨˩
汏衣裳作	dɑ˨˨˧ i˧ zɑ̃˧ ʦoʔ˨
汏衣裳板	dɑ˨˨˧ i˧ zɑ̃˧ pᴇ˨˩
汏面筋	dɑ˨˨˧ miɪ˧ ʨin˨˩
汏麵筋	dɑ˨˨˧ miɪ˧ ʨin˨˩
汐	ziəʔ˨˧
汕	sᴇ˦
汗	ɦø˧˩
汗巾	ɦø˧˩ ʨin˧
汗斑	ɦø˨˨˧ pᴇ˨˩
汗背心	ɦø˨˨˧ pᴇ˥ sin˨˩
汗衫	ɦø˨˨˧ sᴇ˧
汗裤	ɦø˨˨˧ kʰəu˨˩
汗褲	ɦø˨˨˧ kʰəu˨˩
汗酸臭	ɦø˨˨˧ sø˧ ʦʰʏ˨˩
汙	əu˦
汛	sin˥˨˧
汜	zɿ˨˧˩
汝	zʮ˨˧˩
汞	koŋ˥˨˧
江	kɑ̃˦
江北人	kɑ̃˥ poʔ˨ ȵin˧
江北佬	kɑ̃˥ poʔ˨ læ˨˩
池	zʮ˨˨˧
池塘	zɥ˨˨˧ dɑ̃˧
污	əu˥˨˧
污糟	əu˥ ʦæ˨˩
汤	tʰɑ̃˥
汤包	tʰɑ̃˥ pæ˨˩
汤团	tʰɑ̃˥ dø˨˩
汤头药	tʰɑ̃˥ dʏ˧ ɦiɑʔ˨
汤婆子	tʰɑ̃˥ bu˧ ʦɿ
汤水圆	tʰɑ̃˥ sɥ˧ ɦiø˨˩
汤罐	tʰɑ̃˥ kuø˨˩
汤罐水	tʰɑ̃˥ kuø˧ sɥ˨˩
汤面	tʰɑ̃˥ miɪ˨˩
汨	miəʔ˨˧
汩	kuəʔ˦˧
汪	uɑ̃˥
汰	tʰᴇ˥˨˧
汲	ʥiəʔ˨˧
汴	bi˨˧˩
汶	vən˨˧˩
汹	ɕioŋ˦
決	ʨyəʔ˦˧
決立蝗	ʨyəʔ˦˧ liəʔ˨˧ ɦuɑ̃˧
汽	ʨʰiⱼ˥˨˧
汽油	ʨʰi˥ ɦiʏ˨˩
汽油灯	ʨʰi˥ ɦiʏ˧ tən˨˩
汽油燈	ʨʰi˥ ɦiʏ˧ tən˨˩
汽油船	ʨʰi˥ ɦiʏ˧ zø˨˩
汽車	ʨʰi˥ ʦʰo˨˩
汽車夫	ʨʰi˥ ʦʰo˧ fu˨˩
汽車路	ʨʰi˥ ʦʰo˥ ləu˨˩
汽车	ʨʰi˥ ʦʰo˨˩
汽车夫	ʨʰi˥ ʦʰo˧ fu˨˩
汽车路	ʨʰi˥ ʦʰo˥ ləu˨˩
汾	vən˨˨˧
沁	ʦʰin˥˨˧
沂	ɦiⱼ˨˨˧
沃	oʔ˦˧
沄	ɦyn˨˨˧
沅	ȵiø˨˨˧
沈	sən˥˩
沉	zən˨˨˧
沉倒头	zən˨˨˧ tæ˧ dʏ˨˨˧
沉倒頭	zən˨˨˧ tæ˧ dʏ˨˨˧
沌	dən˨˧˧˩
沐	moʔ˨˧
沑	ȵy˨˧˩
沒	məʔ˨˧
沓	daʔ˨˧
沔	mi˨˧˩
沖	ʦʰoŋ˦
沙	so˥
沙土	so˥ tʰəu˨˩
沙地	so˥ di˨˩
沙斛咙	so˥ ɦoʔ˨ loŋ˨˩
沙斛嚨	so˥ ɦoʔ˨ loŋ˨˩
沙滩	so˥ tʰᴇ˨˩
沙灘	so˥ tʰᴇ˨˩
沙盘	so˥ bø˨˩
沙盤	so˥ bø˨˩
沙眼	so˥ ŋᴇ˨˩
沙袋	so˥ dᴇ˨˩
沙角菱	so˥ koʔ˨ lin˧
沙鍋	so˥ kəu˨˩
沙锅	so˥ kəu˨˩
沛	pʰᴇ˥˨˧
沟	køʏ˦
没	məʔ˨˧
沤	øʏ˥˨˧
沥	liəʔ˨˧
沦	lən˨˨˧
沧	ʦʰɑ̃˦
沧浪亭	ʦʰɑ̃˥ lɑ̃˧ din˨˩
沧浪区	ʦʰɑ̃˥ lɑ̃˧ ʨʰy˨˩
沪	ɦəu˨˧˩
沫	məʔ˨˧
沮	ʦiⱼ˥˨˧
沰	toʔ˦˧
沰雨	toʔ˦˧ ɦy˨˩
沱	dəu˨˨˧
河	ɦəu˨˨˧
河水	ɦəu˨˨˧ sɥ˥˩
河沙	ɦəu˨˨˧ so˧
河滩头	ɦəu˨˨˧ tʰᴇ˧ dʏ
河滩浪	ɦəu˩˧ tʰᴇ˧ lɑ̃
河灘浪	ɦəu˩˧ tʰᴇ˧ lɑ̃
河灘頭	ɦəu˨˨˧ tʰᴇ˧ dʏ
河胶	ɦəu˨˨˧ kæ˧
河膠	ɦəu˨˨˧ kæ˧
河裡	ɦəu˨˨˧ liɪ
河裡向	ɦəu˩˧ li ɕiã
河豚	ɦəu˨˨˧ dən˧
河里	ɦəu˨˨˧ liɪ
河里向	ɦəu˩˧ li ɕiã
沸	fiⱼ˥˨˧
油	ɦy˨˨˧
油堆扇	ɦiʏ˨˨˧ tᴇ˧ sø˨˩
油布伞	ɦiʏ˨˨˧ pu˧ sᴇ˨˩
油布傘	ɦiʏ˨˨˧ pu˧ sᴇ˨˩
