呢	ȵi˩˩˧$
周	ʨiʊ˥˧$
味	bi˨˩˨$
呴	hei˥˧$
呵	ho˥˧$
呷	haʔ˥$
呼	hu˥˧$
命	miŋ˧˧˥$
咆	bɔ˩˩˧$
和	uoʔ˨$
咒	ʨiʊ˧˧˥$
咙	loŋ˩˩˧$
咚	toŋ˥˧$
咨	ʦɿ˥˧$
咪	mi˥˧$
咬	ŋɔ˨˩˨$
咸	ã˩˩˧$
咽	iɛ̃˧˧˥$
哀	ɛ˥˧$
品	pʰiŋ˦˨˦$
哄	hoŋ˦˧˨$
哉	ʦɛ˥˧$
响	ɕiã˦˨˦$
哑	o˦˨˦$
哕	yɛ˦˨˦$
員	yɛ̃˩˩˧$
哥	kʊ˥˧$
哨	sɔ˧˧˥$
哪	naʔ˨$
哭	kʰuoʔ˥$
哮	hɔ˧˧˥$
哲	ʦeʔ˥$
哺	pu˧˧˥$
唇	ʑiŋ˩˩˧$
唐	dɔ̃˩˩˧$
唠	lɔ˩˩˧$
售	ʥiʊ˩˩˧$
唯	vi˩˩˧$
唱	ʦʰɔ̃˧˧˥$
唾	tʰʊ˧˧˥$
啃	kʰiŋ˦˨˦$
啄	teʔ˥$
商	sɔ̃˥˧$
問	meŋ˧˧˥$
啐	ʦʰɛ˦˨˦$
啞	o˦˨˦$
啟	ʨʰi˦˨˦$
啡	fi˥˧$
啤	bi˩˩˧$
啰	lʊ˧˧˥$
啸	ɕiɔ˧˧˥$
喂	uɛ˥˧$
善	ʑyɛ̃˨˩˨$
喇	la˥˧$
喉	ei˩˩˧$
喊	hã˧˧˥$
喘	ʨʰyɛ̃˦˨˦$
喜	ɕi˦˨˦$
喪	sɔ̃˥˧$
喫	ʨʰieʔ˥$
喬	ʥiɔ˩˩˧$
單	tã˥˧$
喷	pʰeŋ˥˧$
喻	y˧˧˥$
嗀	huoʔ˥$
嗅	ɕyŋ˥˧$
嗆	ʨʰiã˧˧˥$
嗍	ɕyoʔ˥$
嗯	eŋ˥˧$
嗷	ŋɔ˩˩˧$
嗽	sʊ˦˨˦$
嘈	ʣɔ˩˩˧$
嘉	ko˥˧$
嘔	ei˥˧$
嘗	zɔ̃˩˩˧$
嘦	ʨiɔ˧˧˥$
嘮	lɔ˩˩˧$
嘯	ɕiɔ˧˧˥$
嘲	ʣɔ˩˩˧$
嘴	ʦɿ˦˨˦$
嘻	ɕi˥˧$
噎	eʔ˥$
噦	yɛ˦˨˦$
器	ʨʰi˧˧˥$
噱	ɕyoʔ˥$
噴	pʰeŋ˥˧$
噸	teŋ˧˧˥$
嚇	haʔ˥$
嚏	tʰi˧˧˥$
嚨	loŋ˩˩˧$
嚴	ȵiɛ̃˩˩˧$
嚼	ʑiaʔ˨$
囊	lɔ̃˩˩˧$
囚	ʥiʊ˩˩˧$
四	sɿ˧˧˥$
回	huɛ˥˧$
囟	ɕiŋ˧˧˥$
因	iŋ˥˧$
团	dɛ̃˩˩˧$
囤	deŋ˨˩˨$
囥	kʰɔ̃˧˧˥$
囪	ʦʰoŋ˥˧$
囫	uoʔ˨$
园	yɛ̃˩˩˧$
困	kʰueŋ˧˧˥$
囱	ʦʰoŋ˥˧$
围	uɛ˩˩˧$
囵	leŋ˩˩˧$
固	ku˦˨˦$
国	kuoʔ˥$
图	dʊ˩˩˧$
圆	yɛ̃˩˩˧$
圇	leŋ˩˩˧$
圈	ʨʰyɛ̃˥˧$
國	kuoʔ˥$
圍	uɛ˩˩˧$
園	yɛ̃˩˩˧$
圓	yɛ̃˩˩˧$
圖	dʊ˩˩˧$
團	dɛ̃˩˩˧$
土	tʰʊ˦˨˦$
圣	seŋ˥˧$
在	ʣɛ˨˩˨$
地	di˨˩˨$
场	ʣã˨˩˨$
圾	seʔ˥$
址	ʦɿ˦˨˦$
均	ʨyŋ˥˧$
坊	fɔ̃˦˨˦$
坌	beŋ˨˩˨$
坍	tʰã˥˧$
坏	ua˧˧˥$
坐	zʊ˨˩˨$
坑	kʰã˥˧$
坒	bi˩˩˧$
块	kʰuɛ˧˧˥$
坚	ʨiɛ̃˥˧$
坛	dɛ̃˩˩˧$
坝	po˧˧˥$
坞	u˥˧$
坟	veŋ˩˩˧$
坠	ʣɿ˨˩˨$
坤	kʰueŋ˥˧$
坦	tʰã˦˨˦$
坪	biŋ˩˩˧$
坯	pʰɛ˥˧$
坺	boʔ˨$
坼	ʦʰaʔ˥$
垂	ʣɛ˩˩˧$
垃	leʔ˨$
垄	loŋ˨˩˨$
型	iŋ˩˩˧$
垟	iã˩˩˧$
垦	kʰiŋ˦˨˦$
垫	diɛ̃˨˩˨$
埃	ɛ˥˧$
埋	ma˩˩˧$
城	ʣeŋ˩˩˧$
域	yoʔ˨$
埠	bu˨˩˨$
埭	da˩˩˧$
埲	boŋ˨˩˨$
執	ʦeʔ˥$
培	bɛ˩˩˧$
基	ʨi˥˧$
堂	dɔ̃˩˩˧$
堅	ʨiɛ̃˥˧$
堆	tɛ˥˧$
堕	dʊ˨˩˨$
堡	pɔ˦˨˦$
堤	di˩˩˧$
堪	kʰã˥˧$
堯	ȵiɔ˩˩˧$
堰	iɛ̃˧˧˥$
報	pɔ˧˧˥$
場	ʣã˨˩˨$
堵	toʔ˥$
堿	kã˦˨˦$
塊	kʰuɛ˧˧˥$
塍	ʑiŋ˩˩˧$
塑	sʊ˧˧˥$
塔	tʰaʔ˥$
塕	oŋ˦˨˦$
塗	dʊ˩˩˧$
塘	dɔ̃˩˩˧$
塚	ʨyoŋ˦˨˦$
塞	seʔ˥$
塢	u˥˧$
